learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.03018921,2.387789054401219E-9,1000.0,81.3,54.05405405405405,58.53658536585365,45.63953488372091,1000.0,3024.0,0.0,6.0
2000.0,0.108129239,8.88177228073486E-9,2000.0,84.05,58.534809962044406,63.33333333333334,49.684542586750794,2000.0,3024.0,0.0,0.0
3000.0,0.151754123,1.2516608815716786E-8,3000.0,84.39999999999999,60.07527687113016,64.27480916030534,51.85185185185184,3000.0,3024.0,0.0,0.0
4000.0,0.193072336,1.5959252930771973E-8,4000.0,85.05,61.68568873978914,65.8675799086758,53.64341085271319,4000.0,3024.0,0.0,0.0
5000.0,0.224188537,1.8551862786757863E-8,5000.0,85.42,62.4885150021241,66.43646408839778,54.522769806612594,5000.0,3024.0,0.0,0.0
6000.0,0.250653664,2.075694396296309E-8,6000.0,85.41666666666666,62.57224625836527,66.62852784134247,54.780361757105936,6000.0,3024.0,0.0,0.0
7000.0,0.273941352,2.2697280105923612E-8,7000.0,85.52857142857142,63.14578552229661,67.13173264114212,55.589653660675154,7000.0,3024.0,0.0,0.0
8000.0,0.299792419,2.48511976452772E-8,8000.0,85.6875,63.63829792301641,67.50851305334848,56.19739862280032,8000.0,3024.0,0.0,0.0
9000.0,0.325009143,2.6952261563011755E-8,9000.0,85.62222222222222,63.63741273728415,67.38089236198638,56.32804589942625,9000.0,3024.0,0.0,0.0
10000.0,0.350181074,2.904959331648631E-8,10000.0,85.88,64.47723496432302,68.18386660657953,57.31559854897219,10000.0,3024.0,0.0,0.0
11000.0,0.37471266,3.10935713601609E-8,11000.0,85.9090909090909,64.5991798720031,68.36088997754645,57.48765770707626,11000.0,3024.0,0.0,0.0
12000.0,0.398655802,3.308852009868042E-8,12000.0,86.05833333333334,64.95655492562537,68.66454392208279,57.869554268446244,12000.0,3024.0,0.0,0.0
13000.0,0.422659938,3.508855087293933E-8,13000.0,86.21538461538462,65.43371649540262,69.02333621434745,58.422273781902554,13000.0,3024.0,0.0,0.0
14000.0,0.447066114,3.71220797232166E-8,14000.0,86.34285714285714,65.7273079325329,69.23076923076923,58.72193436960277,14000.0,3024.0,0.0,0.0
15000.0,0.471344592,3.914496874334912E-8,15000.0,86.55333333333334,66.36341299903165,69.69196093163036,59.44913550462406,15000.0,3024.0,0.0,0.0
16000.0,0.495337473,4.1144061748118455E-8,16000.0,86.6375,66.70142406702078,69.90427927927928,59.87990242071683,16000.0,3024.0,0.0,0.0
17000.0,0.518030287,4.303483283667308E-8,17000.0,86.70588235294117,66.85544569426963,69.99468932554434,60.04243281471005,17000.0,3024.0,0.0,0.0
18000.0,0.538119164,4.470864322586192E-8,18000.0,86.86111111111111,67.33733193342431,70.40790790790791,60.60303181742462,18000.0,3024.0,0.0,0.0
19000.0,0.558101408,4.637356892611418E-8,19000.0,87.05263157894737,67.71261045685897,70.77343471545682,60.94618193364026,19000.0,3024.0,0.0,0.0
20000.0,0.577667347,4.800380798688572E-8,20000.0,87.16000000000001,68.05573825857127,71.04847801578354,61.34858518964481,20000.0,3024.0,0.0,0.0
21000.0,0.601981052,5.0018863696145514E-8,21000.0,85.79523809523809,65.90652303681266,68.07235363373648,58.90618542498965,896.0,3024.0,1.0,2.0
22000.0,0.623672035,5.181655512711447E-8,22000.0,84.89545454545454,64.91230225769411,66.12640163098877,57.829949238578656,1896.0,3024.0,0.0,0.0
23000.0,0.644070461,5.350712284483637E-8,23000.0,84.11739130434782,63.979652214043895,64.55118874332847,56.901840490797525,2896.0,3024.0,0.0,0.0
24000.0,0.663982829,5.51574073581708E-8,24000.0,83.34583333333333,63.029223439490835,62.897985705003244,56.072095834707106,3896.0,3024.0,0.0,0.0
25000.0,0.683540403,5.67782874810468E-8,25000.0,82.592,61.9968569863836,61.370495295579616,55.14326942898371,4896.0,3024.0,0.0,0.0
26000.0,0.703070092,5.839685656870819E-8,26000.0,81.91153846153846,61.04597237883623,60.05266287267476,54.43271000872008,5896.0,3024.0,0.0,0.0
27000.0,0.723082327,6.005541779546481E-8,27000.0,81.27037037037037,60.140149358937734,58.72173700106115,53.804695350324295,6896.0,3024.0,0.0,0.0
28000.0,0.743091434,6.171371978183587E-8,28000.0,80.72857142857143,59.43474466742805,57.655183237856065,53.446639634198945,7896.0,3024.0,0.0,0.0
29000.0,0.762800342,6.334714206727843E-8,29000.0,80.13793103448276,58.546289857206254,56.35702379148355,52.8062269561655,8896.0,3024.0,0.0,0.0
30000.0,0.782301975,6.496338594769645E-8,30000.0,79.60000000000001,57.72415299960605,55.282770714598875,52.217364147407885,9896.0,3024.0,0.0,0.0
31000.0,0.801679773,6.656936671010115E-8,31000.0,79.14193548387097,57.04395017701697,54.39734819098668,51.861226920786194,10896.0,3024.0,0.0,0.0
32000.0,0.821508312,6.82127036971309E-8,32000.0,78.765625,56.49644974296771,53.703072835048026,51.65765509391006,11896.0,3024.0,0.0,0.0
33000.0,0.841343694,6.985660781394275E-8,33000.0,78.3060606060606,55.749525460313784,52.70216701902747,51.213029848712,12896.0,3024.0,0.0,0.0
34000.0,0.86085775,7.147388127981788E-8,34000.0,77.90882352941176,55.104389405877775,51.883408071748875,50.8731767937733,13896.0,3024.0,0.0,0.0
35000.0,0.879986125,7.30591905221819E-8,35000.0,77.55142857142857,54.50833688428413,51.19269474468877,50.556919010760815,14896.0,3024.0,0.0,0.0
36000.0,0.899147119,7.464720314118803E-8,36000.0,77.15277777777779,53.81882017363625,50.3680907554912,50.115235322658904,15896.0,3024.0,0.0,0.0
37000.0,0.919032382,7.629524126364952E-8,37000.0,76.82702702702703,53.27523574120702,49.718508092892336,49.89773856132766,16896.0,3024.0,0.0,0.0
38000.0,0.938554363,7.791317153261146E-8,38000.0,76.52894736842106,52.7621222895971,49.156310568920304,49.686918260280926,17896.0,3024.0,0.0,0.0
39000.0,0.957935413,7.95194218121945E-8,39000.0,76.26923076923077,52.3080781375188,48.63184769939502,49.51451014619245,18896.0,3024.0,0.0,0.0
40000.0,0.977449487,8.113669676986212E-8,40000.0,75.94,51.71060854106469,47.936164457668376,49.22711685571089,19896.0,3024.0,0.0,0.0
41000.0,0.998393447,8.287247690590098E-8,41000.0,75.37073170731708,50.58509950105056,46.821844225604295,47.97259003555052,677.0,3024.0,1.0,4.0
42000.0,1.018458933,8.453545143501418E-8,42000.0,75.02857142857144,49.88991197162238,46.24846248462485,47.16638960253893,1677.0,3024.0,0.0,0.0
43000.0,1.037947556,8.615061708096414E-8,43000.0,74.86511627906977,49.54596700753262,45.93567105197338,46.742879668867644,2677.0,3024.0,0.0,0.0
44000.0,1.05734447,8.775818212700385E-8,44000.0,74.66818181818182,49.14047470700276,45.59211168602949,46.31538387438591,3677.0,3024.0,0.0,0.0
45000.0,1.071062347,8.88950835728252E-8,45000.0,74.44222222222223,48.676560640133346,45.17328502645754,45.78835729436719,4677.0,3024.0,0.0,0.0
46000.0,1.084042354,8.99708323002027E-8,46000.0,74.23260869565217,48.24844981119594,44.774728602711626,45.395494540931494,5677.0,3024.0,0.0,0.0
47000.0,1.096953592,9.104088163433387E-8,47000.0,74.06382978723404,47.89922685973758,44.51777342861045,44.99593899467558,6677.0,3024.0,0.0,0.0
48000.0,1.110590098,9.217103926640415E-8,48000.0,73.92916666666667,47.61495898088867,44.27820821088254,44.616065501217086,7677.0,3024.0,0.0,0.0
