learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.032350975,2.4480973885705074E-9,1000.0,88.4,71.9913656140893,73.63636363636363,64.19753086419753,1000.0,3024.0,0.0,0.0
2000.0,0.140276543,1.1191879988602465E-8,2000.0,87.25,67.19202315857189,69.67895362663496,58.87096774193551,2000.0,3024.0,0.0,0.0
3000.0,0.20262387,1.6215188583851688E-8,3000.0,86.2,63.80505085652637,67.29857819905213,55.29157667386608,3000.0,3024.0,0.0,0.0
4000.0,0.2432555,1.9504509895249372E-8,4000.0,85.575,62.58562509888548,66.17819460726847,54.42338072669827,4000.0,3024.0,0.0,0.0
5000.0,0.289343789,2.3216591852056896E-8,5000.0,80.72,56.711068656424736,55.71887919154801,48.614072494669514,969.0,3024.0,1.0,0.0
6000.0,0.323021489,2.5942053770296688E-8,6000.0,77.88333333333334,53.39868832700942,49.734848484848484,46.77095868431609,1969.0,3024.0,0.0,0.0
7000.0,0.362848991,2.918053705288511E-8,7000.0,75.71428571428571,50.36441694290189,45.231958762886585,45.56516170349023,2969.0,3024.0,0.0,0.0
8000.0,0.399449871,3.2137566015888E-8,8000.0,74.2625,48.10252209392082,42.46996367700474,45.02002670226969,3969.0,3024.0,0.0,0.0
9000.0,0.448640172,3.610254698291421E-8,9000.0,72.55555555555556,44.69051869594823,39.47561872090173,41.48306088604595,73.0,3024.0,2.0,0.0
10000.0,0.488739844,3.933527634216679E-8,10000.0,71.48,42.537742045154296,37.91902481497606,39.34495959166311,1073.0,3024.0,0.0,0.0
11000.0,0.51694107,4.161964046385139E-8,11000.0,70.91818181818181,41.3651526815499,36.816116926723275,37.94374393792433,2073.0,3024.0,0.0,0.0
12000.0,0.545296972,4.392744920691682E-8,12000.0,70.73333333333333,40.96979467085997,36.800431887709195,37.37517831669045,3073.0,3024.0,0.0,0.0
13000.0,0.573653103,4.6214501739783836E-8,13000.0,70.13076923076923,40.01451183227687,35.250958812739704,37.78240666559846,329.0,3024.0,2.0,0.0
14000.0,0.598162639,4.8200743538118486E-8,14000.0,70.10714285714286,40.14363810543244,35.015527950310556,39.136125654450254,1329.0,3024.0,0.0,0.0
15000.0,0.622536872,5.0166334992055266E-8,15000.0,70.02000000000001,40.03937960744767,34.712543554006984,39.97597437266418,2329.0,3024.0,0.0,0.0
16000.0,0.647331327,5.217535860981171E-8,16000.0,70.06875000000001,40.15101090928723,34.728090500204445,39.23359979698009,3329.0,3024.0,0.0,0.0
17000.0,0.668775874,5.390682410202506E-8,17000.0,69.55882352941177,39.09946034541748,33.56014892797534,37.356252269700995,841.0,3024.0,1.0,0.0
18000.0,0.688334838,5.5488959254386525E-8,18000.0,69.15555555555557,38.24433875540987,32.808907176570266,36.1178230353239,1841.0,3024.0,0.0,0.0
19000.0,0.70787609,5.707718401328143E-8,19000.0,69.08421052631579,38.053049404499795,32.79945086374558,35.35820402773193,2841.0,3024.0,0.0,0.0
20000.0,0.728617268,5.874979796677E-8,20000.0,68.645,37.11903293865693,32.08793588910548,33.85021097046413,705.0,3024.0,2.0,0.0
