learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.036227251,2.771792399839809E-9,1000.0,86.7,67.66036084228955,70.04504504504504,59.57446808510638,1000.0,3024.0,0.0,3.0
2000.0,0.146833822,1.1706456365933022E-8,2000.0,86.3,66.5873217177531,69.55555555555554,59.286775631500745,2000.0,3024.0,0.0,6.0
3000.0,0.194513866,1.5554439753914876E-8,3000.0,86.56666666666666,67.1331636980492,70.23633677991138,60.09900990099011,3000.0,3024.0,0.0,1.0
4000.0,0.234105781,1.874934879538293E-8,4000.0,87.075,67.69965300555666,70.69160997732426,60.47400611620796,4000.0,3024.0,0.0,2.0
5000.0,0.266685721,2.1375317854527385E-8,5000.0,87.03999999999999,67.98871938279089,70.91561938958706,61.08108108108106,5000.0,3024.0,0.0,4.0
6000.0,0.289810632,2.3241644893092E-8,6000.0,87.01666666666667,68.0484711665138,70.93283582089552,61.28230616302187,6000.0,3024.0,0.0,1.0
7000.0,0.313537975,2.5153645641623686E-8,7000.0,87.35714285714286,68.59341701797763,71.34067357512953,61.738002594033716,7000.0,3024.0,0.0,3.0
8000.0,0.337784973,2.71113853097438E-8,8000.0,87.55,69.06442481067295,71.70454545454544,62.272727272727245,8000.0,3024.0,0.0,2.0
9000.0,0.358991036,2.882363912758107E-8,9000.0,87.78888888888889,69.54383181765836,72.15606789967065,62.745762711864415,9000.0,3024.0,0.0,1.0
10000.0,0.37954578,3.0480197670412144E-8,10000.0,87.67,69.24739164007927,72.06615314907114,62.4543239951279,10000.0,3024.0,0.0,11.0
11000.0,0.399519438,3.209013171824523E-8,11000.0,87.57272727272726,69.00499457190614,71.8492586490939,62.21669430624653,11000.0,3024.0,0.0,1.0
12000.0,0.419460762,3.370100883138883E-8,12000.0,87.60833333333333,69.0417688371572,71.87972768532525,62.23971559167091,12000.0,3024.0,0.0,1.0
13000.0,0.439115644,3.528874691614881E-8,13000.0,87.71538461538462,69.42512579864912,72.18254659466993,62.71305159934626,13000.0,3024.0,0.0,0.0
14000.0,0.459534964,3.693468711762999E-8,14000.0,87.62142857142857,69.00505485116499,71.78902816213576,62.17808817110433,14000.0,3024.0,0.0,8.0
15000.0,0.479353404,3.853530942588423E-8,15000.0,87.76666666666667,69.3111077890672,72.16322815533982,62.48210999795544,15000.0,3024.0,0.0,0.0
16000.0,0.499018058,4.0122778751024353E-8,16000.0,87.8,69.39971053960306,72.31205673758866,62.59103104637792,16000.0,3024.0,0.0,5.0
17000.0,0.518225037,4.167330132778113E-8,17000.0,87.79411764705883,69.46672164359074,72.24451578384162,62.713387241689134,17000.0,3024.0,0.0,0.0
18000.0,0.537969536,4.326758407344421E-8,18000.0,87.71111111111111,69.25294241140053,72.09889001009081,62.49576127500846,18000.0,3024.0,0.0,6.0
19000.0,0.55807171,4.4890872336352866E-8,19000.0,87.71578947368421,69.26135122652725,72.21097749732111,62.51204625762931,19000.0,3024.0,0.0,5.0
20000.0,0.57789864,4.6488446246033745E-8,20000.0,87.76,69.32616808658443,72.24489795918369,62.56308304022022,20000.0,3024.0,0.0,6.0
21000.0,0.606610045,4.879018926019056E-8,21000.0,86.4857142857143,67.48080866811765,69.40491591203106,60.31324290309049,133.0,3024.0,2.0,5.0
22000.0,0.627811562,5.0501110684453614E-8,22000.0,85.35000000000001,65.80097628648397,66.93341540986971,58.535957802650216,1133.0,3024.0,0.0,5.0
23000.0,0.648307427,5.215602056075302E-8,23000.0,84.40869565217392,64.52687148192804,64.98388829215898,57.25864123957092,2133.0,3024.0,0.0,2.0
24000.0,0.668706242,5.380469853606489E-8,24000.0,83.64166666666667,63.59076005022578,63.31184001495188,56.493794326241144,3133.0,3024.0,0.0,11.0
25000.0,0.68858717,5.541267180171278E-8,25000.0,82.84,62.482261193313306,61.638200840561574,55.5762659210935,4133.0,3024.0,0.0,4.0
26000.0,0.708966843,5.70609414806279E-8,26000.0,82.04615384615384,61.29035616240384,60.071850141134206,54.60468734805018,826.0,3024.0,1.0,5.0
27000.0,0.729348074,5.870600485978648E-8,27000.0,81.37777777777778,60.287690112415895,58.71243225488587,53.82920110192838,136.0,3024.0,1.0,16.0
28000.0,0.750676444,6.043122407697763E-8,28000.0,80.70714285714286,59.2442851033303,57.36721647857311,53.10356801805711,797.0,3024.0,1.0,5.0
29000.0,0.770731261,6.2052348395853E-8,29000.0,80.20689655172414,58.59571386491296,56.30661490446829,52.78440404705108,1797.0,3024.0,0.0,5.0
30000.0,0.79134918,6.372001497670802E-8,30000.0,79.65,57.69152856748841,55.17950223918948,52.17391304347826,766.0,3024.0,1.0,5.0
31000.0,0.811065015,6.531108554045774E-8,31000.0,79.16451612903226,56.9438233884831,54.07423208191127,51.74809502465262,1766.0,3024.0,0.0,3.0
32000.0,0.830869271,6.691203782002546E-8,32000.0,78.746875,56.331635544542976,53.16115702479339,51.49764655541292,2766.0,3024.0,0.0,7.0
33000.0,0.850817916,6.852210261156162E-8,33000.0,78.30909090909091,55.63626197221713,52.2609043617447,51.086510865108636,3766.0,3024.0,0.0,3.0
34000.0,0.870787024,7.013361234082944E-8,34000.0,77.91764705882352,55.01205012719821,51.43596377749029,50.7187397440105,4766.0,3024.0,0.0,8.0
35000.0,0.890442961,7.172017456815682E-8,35000.0,77.51714285714286,54.34810092608438,50.723276347924106,50.309421571103826,5766.0,3024.0,0.0,3.0
36000.0,0.909920429,7.329192826125564E-8,36000.0,77.11666666666666,53.65634061340767,49.969634398153765,49.86001217285453,6766.0,3024.0,0.0,4.0
37000.0,0.929461468,7.487216858598713E-8,37000.0,76.74864864864865,53.03057145225666,49.241843176588596,49.57505421722057,7766.0,3024.0,0.0,9.0
38000.0,0.95028032,7.655281290012721E-8,38000.0,76.42631578947369,52.47064725549754,48.53203102556737,49.31251060940418,295.0,3024.0,1.0,13.0
39000.0,0.970207929,7.81610148967492E-8,39000.0,76.08974358974359,51.87480667547106,47.785430315247204,49.00191413727097,1295.0,3024.0,0.0,8.0
40000.0,0.990441418,7.979666585673266E-8,40000.0,75.7875,51.34438259116176,47.17176675939562,48.797250859106526,765.0,3024.0,1.0,13.0
41000.0,1.011901297,8.151706674177819E-8,41000.0,75.49024390243902,50.75029474109365,46.66135881104034,48.16897049721477,207.0,3024.0,2.0,10.0
42000.0,1.032009435,8.313904712442514E-8,42000.0,75.17857142857143,50.109065218286815,46.04037267080745,47.454637096774185,1207.0,3024.0,0.0,4.0
43000.0,1.052262917,8.477652387813767E-8,43000.0,74.95348837209302,49.656549306807825,45.685611982449956,46.9928142533714,2207.0,3024.0,0.0,14.0
44000.0,1.067538367,8.601121484680927E-8,44000.0,74.72727272727273,49.18734057590417,45.29981799399873,46.4689741491359,3207.0,3024.0,0.0,11.0
