learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.092497935,8.743759619537741E-9,1000.0,78.3,46.19123189843284,51.884700665188475,36.918604651162795,1000.0,8384.0,0.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
2000.0,0.216700477,2.1170598913342176E-8,2000.0,82.19999999999999,58.08090620602763,59.080459770114935,43.84858044164036,2000.0,12224.0,0.0,6.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
3000.0,0.269046783,2.6408004861815524E-8,3000.0,85.1,65.97638390614455,65.87786259541984,54.01234567901233,3000.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
4000.0,0.315447918,3.105057850330447E-8,4000.0,86.52499999999999,69.5772765397341,69.23515981735159,58.217054263565885,4000.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.353299318,3.4837725346446454E-8,5000.0,87.36,71.60144825424398,70.902394106814,60.573923892701195,5000.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.39128949,3.863875674714024E-8,6000.0,88.05,73.33538947934215,72.65446224256293,62.94573643410851,6000.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.43505292,4.301742004016415E-8,7000.0,88.5,74.57574658872844,73.88059701492537,64.70846120122754,7000.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.472426581,4.6756767654065046E-8,8000.0,88.825,75.4131582918883,74.6311010215664,65.79954093343534,8000.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.517935093,5.140054314399139E-8,9000.0,88.9,75.70065148523585,74.81724224855056,66.28417144785689,9000.0,19864.0,0.0,0.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
10000.0,0.54227863,5.38934209244719E-8,10000.0,89.47,76.98811940093411,76.27309598918433,68.16807738814995,10000.0,21264.0,0.0,0.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
11000.0,0.576814263,5.7291277778347336E-8,11000.0,86.7909090909091,72.20770848930961,70.41938110749187,62.96201886311498,904.0,4560.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.616166477,6.116302352150696E-8,12000.0,85.06666666666666,69.30519429652142,66.68525748280351,60.572057205720576,1904.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.644044153,6.393859526377171E-8,13000.0,83.66923076923078,66.8212420028482,63.85152392303765,58.704532192180515,2904.0,9080.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
14000.0,0.672081782,6.673020838386276E-8,14000.0,82.33571428571429,64.48599327246423,61.00599180069379,57.088322054485516,3904.0,9096.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
15000.0,0.706923057,7.020421325466079E-8,15000.0,81.12,62.083436611637374,58.560140474100095,55.51366635249765,4904.0,9632.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
16000.0,0.73771291,7.336760699153775E-8,16000.0,80.325,60.49226041122437,57.12339961863253,54.93199713672154,5904.0,21296.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
17000.0,0.76224475,7.589306983352535E-8,17000.0,79.61176470588235,59.16186184483229,55.67208082875047,54.46663163426169,6904.0,22088.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
18000.0,0.79128283,7.891007832885616E-8,18000.0,79.11666666666667,58.23716417123713,54.77078570569126,54.46947674418605,7904.0,25744.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
19000.0,0.826997808,8.263477559503996E-8,19000.0,78.54736842105264,57.095633911787345,53.50747119881374,54.04735062006765,8904.0,27256.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
20000.0,0.852183466,8.526142744740264E-8,20000.0,78.16499999999999,56.30927749031365,52.809595850443046,53.895692567567565,9904.0,27264.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
21000.0,0.89723092,8.96403693238563E-8,21000.0,77.11428571428571,54.20433648805495,50.75315093759607,51.58658204895738,567.0,4560.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.921318597,9.198186763632007E-8,22000.0,76.34545454545454,52.65510891893007,49.377431906614795,49.80709876543211,1567.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.949297619,9.482931485744192E-8,23000.0,76.0304347826087,52.001690644004896,48.763940520446084,49.00564240125797,2567.0,22160.0,0.0,0.0,6.0,5.0,5.0,1.0,0.0,0.0,1.0
24000.0,0.983211778,9.845415234578358E-8,24000.0,76.80833333333334,53.55582479715094,50.542029500622,50.65165351538258,3567.0,41528.0,0.0,0.0,16.0,10.0,10.0,2.0,0.0,0.0,1.0
25000.0,1.008680001,1.0115939830184189E-7,25000.0,77.604,55.14282230549542,52.33270900732163,52.27582679849982,4567.0,38976.0,0.0,0.0,18.0,11.0,11.0,3.0,0.0,0.0,1.0
26000.0,1.035688628,1.0409204537021615E-7,26000.0,78.34615384615384,56.63312036970125,53.97318508829299,53.94683026584867,5567.0,48072.0,0.0,0.0,18.0,11.0,11.0,3.0,0.0,0.0,1.0
27000.0,1.062980474,1.0705634861934928E-7,27000.0,79.04814814814814,58.031418049907856,55.59654631083202,55.386435331230274,6567.0,48200.0,0.0,0.0,18.0,11.0,11.0,3.0,0.0,0.0,1.0
28000.0,1.088748971,1.0985561999560022E-7,28000.0,79.68928571428572,59.30406672583282,57.00461177893703,56.63082437275986,7567.0,48264.0,0.0,0.0,18.0,11.0,11.0,3.0,0.0,0.0,1.0
29000.0,1.115605063,1.1277092638801988E-7,29000.0,80.25172413793103,60.42471180474638,58.24888824086899,57.76237185633158,8567.0,47952.0,0.0,0.0,20.0,12.0,12.0,3.0,0.0,0.0,1.0
30000.0,1.14529044,1.1608588400422697E-7,30000.0,80.77333333333333,61.460863132344514,59.414579228820706,58.82646869869369,9567.0,59936.0,0.0,0.0,24.0,14.0,14.0,3.0,0.0,0.0,1.0
31000.0,1.166309173,1.1813053753911412E-7,31000.0,80.36774193548388,60.68767435590273,58.52528281313889,58.40623291416074,916.0,4560.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.183922741,1.198646134615503E-7,32000.0,80.0625,60.1058437923757,57.890568279321506,58.17490494296579,1916.0,9072.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
33000.0,1.200426058,1.214895205241628E-7,33000.0,79.8060606060606,59.617834787893365,57.39402851480083,57.97439616573122,2916.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
34000.0,1.218058951,1.2322564498750492E-7,34000.0,79.6735294117647,59.3645109927183,57.127791563275444,58.023566569484956,3916.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
35000.0,1.235459433,1.2495930527972056E-7,35000.0,79.57428571428572,59.165370628422956,56.97779382560031,58.11705430898121,4916.0,13616.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
36000.0,1.252327933,1.266399975795071E-7,36000.0,79.48333333333333,58.983789795088036,56.84487291849254,58.176670441676094,5916.0,13624.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
37000.0,1.272674077,1.287740561583162E-7,37000.0,79.38378378378378,58.778819594848756,56.6910804519389,58.294149808638586,6916.0,33864.0,0.0,0.0,12.0,8.0,8.0,3.0,0.0,0.0,1.0
38000.0,1.289323946,1.3052086921968806E-7,38000.0,79.42105263157895,58.84591834272375,56.84803001876173,58.67899603698811,7916.0,33968.0,0.0,0.0,12.0,8.0,8.0,3.0,0.0,0.0,1.0
39000.0,1.305897087,1.322597695990217E-7,39000.0,79.41025641025641,58.81796294574515,56.79543742601958,58.7040370275135,8916.0,34000.0,0.0,0.0,12.0,8.0,8.0,3.0,0.0,0.0,1.0
40000.0,1.322302829,1.3398113995976537E-7,40000.0,79.415,58.823396096265924,56.83355176933159,58.4917074154358,9916.0,34008.0,0.0,0.0,12.0,8.0,8.0,3.0,0.0,0.0,1.0
