learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.059436173,5.406880097701732E-9,1000.0,82.1,55.78150629434199,58.85057471264368,46.72619047619045,653.0,4560.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.227456557,2.14041246510028E-8,2000.0,82.19999999999999,54.776422764227625,59.45330296127561,45.14637904468412,804.0,4560.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.286401686,2.702459426604832E-8,3000.0,82.53333333333333,55.03188102328216,60.6015037593985,45.53014553014554,791.0,4560.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.326656639,3.090401200677785E-8,4000.0,82.1,53.96971065527264,60.04464285714284,44.66769706336938,917.0,8384.0,1.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.355435962,3.371354454382012E-8,5000.0,83.12,57.52051899859556,61.87895212285457,47.0182046453233,1917.0,12224.0,0.0,2.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.387167446,3.6811473800337146E-8,6000.0,84.65,62.253881784567625,64.95433789954338,51.85572399372713,2917.0,12224.0,0.0,4.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.414650646,3.9494474530480795E-8,7000.0,85.62857142857143,65.42548986856875,67.40116655865198,55.2092609082814,3917.0,12224.0,0.0,1.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.43992636,4.196197318845738E-8,8000.0,86.3625,67.6219045680121,68.98806139852188,57.49902610050642,4917.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.466817892,4.4583261839163796E-8,9000.0,86.84444444444445,69.1603041947022,69.99493157627978,59.11602209944753,5917.0,12224.0,0.0,2.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.493459086,4.720677951160818E-8,10000.0,87.37,70.67640411267729,71.17754450022822,60.849349039057664,6917.0,16064.0,0.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
11000.0,0.521208038,4.9949492310687064E-8,11000.0,87.57272727272726,71.4143409253792,71.6625207296849,61.53629712999437,7917.0,16744.0,0.0,3.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
12000.0,0.547120206,5.251022793290101E-8,12000.0,87.91666666666667,72.38215792167803,72.45440729483282,62.64811952601751,8917.0,16752.0,0.0,1.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
13000.0,0.57361115,5.515941103667434E-8,13000.0,88.46153846153845,73.7016143081991,73.70266479663393,64.38746438746438,9917.0,21288.0,0.0,0.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
