learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.046499922,4.213619118034839E-9,1000.0,79.7,50.391976696447784,53.968253968253975,40.98837209302326,601.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.156151993,1.518373211429351E-8,2000.0,83.89999999999999,62.18384757037092,62.98850574712643,51.50602409638553,1601.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
3000.0,0.208790335,2.0577708723714784E-8,3000.0,85.1,66.26170650854702,65.4292343387471,54.57317073170731,2601.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
4000.0,0.278829133,2.7905212512719964E-8,4000.0,86.4,69.88914611651627,68.8787185354691,59.37266616878267,3601.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.320190652,3.232159277295901E-8,5000.0,87.44,72.48278859770888,71.51927437641721,62.6190476190476,4601.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.365251424,3.72294831988381E-8,6000.0,87.98333333333333,73.83177570093459,72.50190694126621,64.32459178624444,5601.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.414494768,4.2699224027709825E-8,7000.0,88.31428571428572,74.65290728851534,73.30287206266318,65.20629519353466,6601.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.456597548,4.746600735271142E-8,8000.0,88.61250000000001,75.32727583198337,73.95654659805605,65.89292399850245,7601.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.501315443,5.267685310477183E-8,9000.0,88.8111111111111,75.80034039199015,74.27841634738186,66.41094062708471,8601.0,16712.0,0.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
10000.0,0.532157939,5.6378076554478866E-8,10000.0,89.1,76.3138017087093,74.95979784056973,67.06948640483384,9601.0,21848.0,0.0,0.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
11000.0,0.563639829,5.9421015174061884E-8,11000.0,86.31818181818181,71.45248842217774,68.94345852249278,61.469534050179206,801.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.594167084,6.243707249315248E-8,12000.0,84.66666666666667,68.82436247303795,65.21081489884666,59.67565198334429,1801.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.621411256,6.521920607659551E-8,13000.0,83.08461538461539,65.96560276921201,61.789748045178115,57.687127188762766,2801.0,9088.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
14000.0,0.652203479,6.84657531276014E-8,14000.0,81.82142857142857,63.674749230369564,59.188582424631164,56.15848406546079,3801.0,13600.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
15000.0,0.683285927,7.184608253267075E-8,15000.0,80.9,61.96643622737352,57.39776951672864,55.505513278459404,4801.0,18128.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
16000.0,0.708892648,7.468591634422953E-8,16000.0,80.30000000000001,60.728603392425086,56.23437933907249,55.24634388754792,5801.0,18152.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
17000.0,0.737684986,7.797396604728366E-8,17000.0,79.73529411764706,59.559557209433365,55.10230679004301,54.967320261437905,6801.0,22592.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
18000.0,0.769255703,8.168449891393588E-8,18000.0,79.13888888888889,58.346167200296705,53.84142593730794,54.67712733856368,7801.0,27168.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
19000.0,0.792412965,8.445608273734027E-8,19000.0,78.8157894736842,57.655829371779376,53.300846966005324,54.77019889875265,8801.0,27216.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
20000.0,0.815793678,8.730526704958329E-8,20000.0,78.46499999999999,56.922750098841625,52.70670912484901,54.687006838506036,9801.0,27248.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
21000.0,0.852841425,9.081733011602733E-8,21000.0,77.36666666666666,54.6931822465144,50.597650971832444,52.322198816330626,1.0,3904.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.878342297,9.329372080726134E-8,22000.0,76.71818181818182,53.367773797865084,49.34731012658228,50.91518926689028,1001.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.901728652,9.561486522157158E-8,23000.0,76.26521739130435,52.44152831035289,48.475696083058054,49.848415250344516,2001.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.948107156,1.0003920782442721E-7,24000.0,75.96666666666667,51.8333845959565,48.08748087480876,49.17613886686053,201.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.973032351,1.024703726618799E-7,25000.0,75.484,50.84453026869513,47.20020675396277,48.010857579099145,1201.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.007740797,1.0575959650159502E-7,26000.0,75.32307692307693,50.50337512054003,47.05833814671178,47.62448979591837,1.0,3784.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.045470671,1.0942354606202699E-7,27000.0,74.83333333333333,49.496992078120165,46.10992148465381,46.57598867835521,1001.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.094811762,1.1413050881750259E-7,28000.0,74.56428571428572,48.92069402918374,45.67920067119214,45.89379320823521,201.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.131974194,1.1775527476026158E-7,29000.0,74.18620689655172,48.15716975925615,44.92348440258975,45.09314947924306,1201.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
