learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.031490307,2.238545700982213E-9,1000.0,71.3,37.41167850102059,39.95815899581589,21.79836512261579,1000.0,3024.0,0.0,1.0
2000.0,0.116145424,8.493107405427016E-9,2000.0,69.95,35.68698287411771,37.97729618163056,23.634053367217277,2000.0,3024.0,0.0,1.0
3000.0,0.163687386,1.2005643273511282E-8,3000.0,70.43333333333334,37.08386925928729,39.163237311385465,25.77405857740586,3000.0,3024.0,0.0,1.0
4000.0,0.203472401,1.4945073753889236E-8,4000.0,70.85000000000001,38.060908013277064,39.71044467425027,27.12500000000001,4000.0,3024.0,0.0,0.0
5000.0,0.236717042,1.7405342127341364E-8,5000.0,69.22,35.7321110602573,37.02945990180034,26.818830242510707,821.0,3024.0,1.0,2.0
6000.0,0.260632642,1.9175215181832514E-8,6000.0,72.16666666666667,42.41069519601744,43.293718166383705,34.791097227645444,994.0,3024.0,1.0,6.0
7000.0,0.280146643,2.0619226913433524E-8,7000.0,74.28571428571429,47.132464895956694,47.6287459994181,40.8089444261756,1994.0,3024.0,0.0,1.0
8000.0,0.304953233,2.2454986308608206E-8,8000.0,76.11250000000001,51.11481750555108,51.262433052792666,45.69479965899404,2994.0,3024.0,0.0,4.0
9000.0,0.333163561,2.452190574767896E-8,9000.0,77.17777777777778,54.358307580565146,48.0788675429727,54.304783092324804,367.0,3024.0,2.0,2.0
10000.0,0.358825394,2.64021015919062E-8,10000.0,79.28,58.50359144206267,48.40637450199201,54.22006186478126,1367.0,3024.0,0.0,0.0
11000.0,0.382867379,2.8163564361035823E-8,11000.0,81.00909090909092,61.338469943575255,48.52143913257763,54.087912087912095,255.0,3016.0,1.0,2.0
12000.0,0.406800722,2.9917116885793704E-8,12000.0,82.44166666666666,63.36293163317862,48.50928641251222,53.86468141011606,1255.0,3024.0,0.0,0.0
13000.0,0.438310216,3.224897577251411E-8,13000.0,82.64615384615385,64.0209750060603,50.95652173913044,55.485398579321235,974.0,3024.0,1.0,2.0
14000.0,0.46152758,3.396717589878787E-8,14000.0,82.92142857142856,64.83049652564306,53.1635651322233,57.35687533440341,1974.0,3024.0,0.0,1.0
15000.0,0.481731848,3.5462308342196046E-8,15000.0,83.22,65.62611814127025,54.98121981756397,58.953033268101784,2974.0,3024.0,0.0,1.0
16000.0,0.500399539,3.684373282427175E-8,16000.0,83.575,66.49249906286099,56.676557863501486,60.55238667066946,3974.0,3024.0,0.0,0.0
17000.0,0.520409792,3.8309640611225944E-8,17000.0,83.64117647058823,66.1756162974848,54.18451400329488,58.26830732292916,876.0,2984.0,1.0,1.0
18000.0,0.53919725,3.968612461591967E-8,18000.0,84.50555555555556,67.33428902541947,54.08297662166612,58.16081608160816,1876.0,3016.0,0.0,0.0
19000.0,0.557677425,4.1040133436551935E-8,19000.0,85.29473684210527,68.32424818958157,54.07626561472717,58.117223804527065,2876.0,3024.0,0.0,0.0
20000.0,0.576019197,4.238400172102575E-8,20000.0,86.02499999999999,69.1991625786774,54.05982905982904,58.10223354819366,3876.0,3024.0,0.0,0.0
