learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.081786595,7.248985927696857E-9,1000.0,59.699999999999996,14.250940473556081,16.907216494845354,-2.806122448979594,46.0,4552.0,9.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.187915251,1.7260600681532586E-8,2000.0,63.4,21.619352738611255,24.30196483971045,8.040201005025132,818.0,4560.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.243440081,2.249932317403869E-8,3000.0,65.06666666666666,25.2958228389488,27.773949000689175,11.932773109243671,1818.0,4560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.284412531,2.6365210058262773E-8,4000.0,66.675,28.309590703157596,30.681227249089954,14.987244897959176,2818.0,4560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.315464004,2.936738138566E-8,5000.0,67.22,29.571872613006427,31.79359134415315,15.689300411522646,3818.0,13536.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.349410066,3.2694586232039656E-8,6000.0,69.21666666666667,34.260122054785846,35.845779784647455,20.763620763620764,4818.0,17576.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7000.0,0.378360736,3.553636459530641E-8,7000.0,70.35714285714286,37.00131280155879,37.948564593301455,23.909057572423922,5818.0,18136.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8000.0,0.404089132,3.806184670243411E-8,8000.0,71.5625,39.96738975835753,40.80145719489981,27.24656220019186,6818.0,18136.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.430665333,4.070162505569556E-8,9000.0,72.33333333333334,41.899959975528,42.32105628908966,29.321600908316796,7818.0,22632.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
10000.0,0.455800736,4.3198550980490516E-8,10000.0,73.31,44.249069007495564,44.706857261238866,32.25888324873096,8818.0,22672.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
11000.0,0.482994756,4.5931832858831094E-8,11000.0,73.88181818181818,45.51233576718349,45.782223060954905,33.526145303100414,9818.0,27176.0,0.0,0.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
12000.0,0.509426968,4.8615678420515926E-8,12000.0,74.60833333333333,47.19128522754628,46.99947817011654,35.4175498092412,10818.0,31120.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
13000.0,0.536970267,5.1445174512084976E-8,13000.0,75.04615384615386,48.21549505554495,47.996152613017,36.61586557248926,11818.0,35704.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
14000.0,0.569779978,5.4891871294878E-8,14000.0,75.66428571428571,49.49537730970395,49.24016686531586,38.32367849384505,12818.0,44632.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
15000.0,0.598169811,5.787496002673274E-8,15000.0,76.53333333333333,51.234250048156184,50.995405819295556,40.39959363359296,13818.0,44728.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
16000.0,0.625386015,6.073484122764732E-8,16000.0,77.19375000000001,52.61500503197741,52.54876462938882,42.262658227848114,14818.0,44744.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
17000.0,0.650620426,6.338657988976479E-8,17000.0,77.76470588235294,53.782060189480596,53.772777302189056,43.66616989567807,15818.0,44760.0,0.0,0.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
