learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.049733291,4.595542898956272E-9,1000.0,64.8,22.734835613972713,26.513569937369518,12.437810945273641,1000.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.167457399,1.5992407534859245E-8,2000.0,67.95,29.456872947536155,32.87958115183247,16.318537859007833,2000.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.24366961,2.3469561584581516E-8,3000.0,71.06666666666666,39.37587886350726,39.59638135003479,31.165741475019825,936.0,9104.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
4000.0,0.28827129,2.791030965823887E-8,4000.0,74.7,48.085951607078364,47.01570680628272,42.985915492957744,1936.0,13624.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.326316713,3.160852418973007E-8,5000.0,78.72,57.45029362496624,45.603271983640084,52.626892252894045,982.0,4552.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.35805368,3.472531430822073E-8,6000.0,81.95,62.40689371252115,45.632530120481924,52.164310954063595,1982.0,4560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.401242479,3.897461947133765E-8,7000.0,81.74285714285713,62.46360908580384,48.57142857142856,53.96253602305474,821.0,9104.0,2.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
8000.0,0.427598037,4.156771794314807E-8,8000.0,82.35,64.02971166196488,52.42587601078167,56.687116564417174,1821.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
9000.0,0.455057819,4.423649803720208E-8,9000.0,83.97777777777777,66.1454029119649,51.48048452220725,55.793991416309005,982.0,4488.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.4795682,4.6618731181135196E-8,10000.0,85.56,68.07289779931173,51.478494623655926,55.75980392156864,1982.0,4504.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
