learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.054315435,4.86382229787608E-9,1000.0,65.5,27.533187699546307,24.50765864332604,11.764705882352951,1000.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.153577862,1.4300847944863556E-8,2000.0,67.75,31.733317527920534,31.089743589743584,17.938931297709924,2000.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.249326059,2.3484223924266796E-8,3000.0,71.7,41.99012807267838,41.245674740484425,34.64203233256351,793.0,9104.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
4000.0,0.279971929,2.644388195940604E-8,4000.0,75.64999999999999,50.8082795625068,49.999999999999986,45.61697375767726,1793.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.311453829,2.9427530386029846E-8,5000.0,79.86,59.19528399596086,49.03846153846153,54.4755877034358,905.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.341730505,3.2308610475795966E-8,6000.0,82.8,63.168091385009426,49.011857707509876,53.866785873938305,1905.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.383695967,3.633793346790804E-8,7000.0,82.42857142857143,63.057531994279714,51.32568262762168,55.25645689341579,217.0,8424.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
8000.0,0.41414739,3.926935920786113E-8,8000.0,82.78750000000001,64.17848013739648,54.37375745526839,57.46061167747916,1217.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
9000.0,0.447733867,4.246191913169913E-8,9000.0,84.43333333333334,66.13868909757633,53.701255783212176,56.77260104905895,905.0,4496.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.473088846,4.4865265411542115E-8,10000.0,85.98,67.90718593358683,53.69881109643329,56.755089450956206,1905.0,4520.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
