learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.089687718,6.904811954088509E-9,1000.0,69.5,66.06797974314016,66.14872364039955,64.98277841561423,1000.0,15168.0,0.0,0.0
2000.0,0.243220319,1.9328595425480353E-8,2000.0,76.0,73.31827298074913,72.9425028184893,73.09417040358744,2000.0,15168.0,0.0,0.0
3000.0,0.313081424,2.4981722096552448E-8,3000.0,76.1,73.41611784112182,73.47391786903441,72.77904328018224,3000.0,15168.0,0.0,0.0
4000.0,0.374704092,2.996819844864308E-8,4000.0,77.0,74.43225715368771,74.06989853438557,74.2152466367713,4000.0,15168.0,0.0,0.0
5000.0,0.42669641,3.417539155812313E-8,5000.0,74.0,71.10456147837955,71.42857142857143,70.88465845464725,5000.0,15168.0,0.0,0.0
6000.0,0.487283181,3.91302061711231E-8,6000.0,72.0,68.88318413931442,68.75,68.25396825396825,6000.0,15168.0,0.0,2.0
7000.0,0.566032777,4.557038515060105E-8,7000.0,76.9,74.310469651323,74.36182019977802,73.80952380952381,7000.0,15168.0,0.0,0.0
8000.0,0.637575206,5.142115862487505E-8,8000.0,77.5,74.99027399544266,74.63359639233371,74.77578475336323,8000.0,15168.0,0.0,0.0
9000.0,0.69557021,5.6164017314277594E-8,9000.0,74.2,71.32798122316166,71.64835164835165,71.10862262038073,9000.0,15168.0,0.0,0.0
10000.0,0.735426562,5.94234885165054E-8,10000.0,72.39999999999999,69.3269942454774,69.19642857142857,68.70748299319727,10000.0,15168.0,0.0,0.0
