learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.050592191,3.6409378416898352E-9,1000.0,32.1,24.52821799896407,24.218750000000004,22.13302752293578,25.0,14504.0,16.0,0.0
2000.0,0.129617587,9.535657821999243E-9,2000.0,33.15,25.70484541106559,26.050884955752213,24.03409090909091,49.0,15024.0,16.0,0.0
3000.0,0.173457043,1.2786890579964966E-8,3000.0,33.46666666666667,26.065201898301872,26.428308145963875,24.135309768148993,12.0,13360.0,17.0,0.0
4000.0,0.223171893,1.6491141328130747E-8,4000.0,32.824999999999996,25.36058241523655,25.423258395781296,24.07459734388245,36.0,14704.0,16.0,0.0
5000.0,0.259137363,1.917159643531053E-8,5000.0,32.82,25.360677471732608,25.38871612616615,24.36388200855663,60.0,14776.0,16.0,0.0
6000.0,0.287093081,2.1236986827546113E-8,6000.0,32.61666666666667,25.12717546482542,25.088011858439874,24.302565062722337,23.0,12272.0,17.0,0.0
7000.0,0.319712749,2.366686891337443E-8,7000.0,32.357142857142854,24.82640728900573,24.685859710513757,23.862357292169158,47.0,14632.0,16.0,0.0
8000.0,0.357598661,2.6464968927140455E-8,8000.0,32.25,24.70359028250515,24.680377987770985,23.71569317382125,10.0,12176.0,17.0,0.0
9000.0,0.385792084,2.8564609042474384E-8,9000.0,32.48888888888889,24.979488508111274,24.913494809688583,24.031007751937985,34.0,14560.0,16.0,0.0
10000.0,0.41094604,3.043981804176545E-8,10000.0,32.24,24.70322670231603,24.79467258601554,23.848055742863565,58.0,14856.0,16.0,0.0
11000.0,0.436101453,3.230534804344592E-8,11000.0,32.11818181818182,24.5676712855334,24.742995363837935,23.78279065019904,21.0,13352.0,17.0,0.0
12000.0,0.461134213,3.4158000096484193E-8,12000.0,31.883333333333336,24.30645114491046,24.370836417468546,23.657420379191187,45.0,12768.0,16.0,0.0
13000.0,0.485906076,3.5972989457001294E-8,13000.0,31.976923076923075,24.410672472138835,24.50913436913095,23.826341631492806,8.0,9904.0,17.0,0.0
14000.0,0.510493622,3.7799154211113025E-8,14000.0,32.23571428571429,24.70387561768256,24.87329743427304,24.079705505761844,32.0,13784.0,16.0,0.0
15000.0,0.535147946,3.9630942018359076E-8,15000.0,32.32666666666667,24.802375293765948,24.907530699807662,24.25192149839564,56.0,13888.0,16.0,0.0
