learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.058940273,4.762221247620053E-9,1000.0,69.19999999999999,65.74874032096099,65.625,64.43418013856812,1000.0,15168.0,0.0,0.0
2000.0,0.147700785,1.228286909394794E-8,2000.0,71.89999999999999,68.75885953160524,68.91592920353982,67.81214203894615,2000.0,15168.0,0.0,0.0
3000.0,0.18551749,1.5487065584088366E-8,3000.0,72.46666666666667,69.39440947760531,69.33927245731255,68.55728968405025,3000.0,15168.0,0.0,0.0
4000.0,0.227246015,1.9022709245897004E-8,4000.0,72.85000000000001,69.82194321259449,69.76614699331849,68.81998277347115,4000.0,15168.0,0.0,0.0
5000.0,0.266559173,2.2356547383074135E-8,5000.0,71.44,68.25496332981427,68.18181818181819,67.33013040494167,958.0,14976.0,1.0,1.0
6000.0,0.288531663,2.4219860554983223E-8,6000.0,71.93333333333334,68.80219607344267,68.81481481481482,67.97870317550866,1958.0,14976.0,0.0,0.0
7000.0,0.315490162,2.650599773295431E-8,7000.0,72.15714285714286,69.0529777951543,68.9945911549475,68.3552524760513,2958.0,14976.0,0.0,0.0
8000.0,0.347298894,2.920344482781366E-8,8000.0,72.3875,69.3087941697546,69.25111358574611,68.65332765715908,3958.0,14976.0,0.0,0.0
9000.0,0.375848901,3.1624545217491694E-8,9000.0,72.87777777777778,69.85338403483027,69.78960396039604,69.22592032274332,4958.0,14976.0,0.0,0.0
10000.0,0.402330985,3.387028140564346E-8,10000.0,73.13,70.13305219498667,70.11788256227757,69.52823769562258,5958.0,14976.0,0.0,0.0
11000.0,0.425500645,3.583511710094496E-8,11000.0,73.20909090909092,70.22190308595864,70.1660255112371,69.67483021197778,6958.0,14976.0,0.0,0.0
12000.0,0.448489442,3.7784615235041006E-8,12000.0,73.34166666666667,70.36893295160603,70.3136599851522,69.84351432880845,7958.0,14976.0,0.0,0.0
13000.0,0.471026633,3.969581623447853E-8,13000.0,73.61538461538461,70.67300552431391,70.61343385880741,70.1505526063876,8958.0,14976.0,0.0,0.0
14000.0,0.493579952,4.160838492209506E-8,14000.0,73.75,70.8220685676625,70.79624920534012,70.31742185606979,9958.0,14976.0,0.0,0.0
15000.0,0.516453883,4.3548142178811963E-8,15000.0,73.78,70.85620051661219,70.80178173719376,70.3862660944206,10958.0,14976.0,0.0,0.0
16000.0,0.539507619,4.55031472761184E-8,16000.0,73.85625,70.9406899168588,70.88669265033408,70.48197022087362,11958.0,14976.0,0.0,0.0
17000.0,0.562526981,4.7455237386230795E-8,17000.0,74.03529411764706,71.13958619632692,71.08228511530397,70.69251709713829,12958.0,14976.0,0.0,0.0
18000.0,0.585184977,4.93766829026863E-8,18000.0,74.12222222222222,71.23580957686025,71.20425321463897,70.79806908657764,13958.0,14976.0,0.0,0.0
19000.0,0.608179434,5.132666101663684E-8,19000.0,74.1421052631579,71.25852525016624,71.20501699683508,70.84446026942021,14958.0,14976.0,0.0,0.0
20000.0,0.631034322,5.3264803387069454E-8,20000.0,74.18,71.30043686665073,71.24721603563474,70.89228341130715,15958.0,14976.0,0.0,0.0
