learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.056680397,4.593823160804394E-9,1000.0,52.400000000000006,47.064645633389304,46.15384615384615,44.45740956826138,488.0,15160.0,5.0,29.0
2000.0,0.176116041,1.4323754198205553E-8,2000.0,51.74999999999999,46.3579851280988,45.756042720629566,44.57208500861573,26.0,12552.0,7.0,29.0
3000.0,0.254026687,2.0786910225341304E-8,3000.0,53.2,47.988885032097606,47.21804511278195,46.998867497168746,361.0,14976.0,4.0,20.0
4000.0,0.287534854,2.3622370282469524E-8,4000.0,57.95,53.268003001738975,52.885154061624654,52.283687943262414,1361.0,14976.0,0.0,20.0
5000.0,0.309835181,2.550979248786345E-8,5000.0,61.53999999999999,57.260438087844,56.825325550067355,56.43407340280924,2361.0,14976.0,0.0,11.0
6000.0,0.332022796,2.7357643712965976E-8,6000.0,63.7,59.65823473968077,59.28210880538418,58.91341256366724,3361.0,14976.0,0.0,7.0
7000.0,0.360200593,2.9696444186073623E-8,7000.0,65.25714285714285,61.390253860441646,60.963081861958266,60.849967804249836,4361.0,14976.0,0.0,2.0
8000.0,0.388953163,3.208753370108911E-8,8000.0,66.3375,62.590188398270016,62.28291316526611,62.04369274136716,5361.0,14976.0,0.0,2.0
9000.0,0.416862549,3.4408503278247594E-8,9000.0,67.60000000000001,63.99423809028206,63.65902293120639,63.476953907815634,6361.0,14976.0,0.0,0.0
10000.0,0.444110392,3.66777854912728E-8,10000.0,68.38,64.8599385162279,64.54759502186343,64.3557659790328,7361.0,14976.0,0.0,9.0
11000.0,0.470994138,3.891223787333402E-8,11000.0,68.95454545454545,65.49885202056733,65.15306122448979,65.0889388673073,8361.0,14976.0,0.0,3.0
12000.0,0.498611304,4.121365017465833E-8,12000.0,69.375,65.9656398824356,65.68627450980392,65.54149085794656,9361.0,14976.0,0.0,6.0
13000.0,0.526049941,4.350018517695988E-8,13000.0,70.01538461538462,66.67787706158032,66.37916163532861,66.26276614159599,10361.0,14976.0,0.0,0.0
14000.0,0.557787638,4.619535237264095E-8,14000.0,69.28571428571428,65.86755197240701,65.56970133717671,65.43686198858613,666.0,14784.0,4.0,13.0
15000.0,0.585707691,4.8510043872911484E-8,15000.0,69.50666666666667,66.11314012999398,65.78908002991774,65.74295985620132,1666.0,14784.0,0.0,5.0
16000.0,0.611241623,5.0636586429553316E-8,16000.0,69.7625,66.39709795391805,66.12044817927172,66.0133473832104,2666.0,14784.0,0.0,3.0
17000.0,0.63420122,5.2563698588214403E-8,17000.0,70.17058823529412,66.85114939439487,66.55895542073331,66.4705104469717,3666.0,14784.0,0.0,2.0
18000.0,0.661101176,5.48480445184331E-8,18000.0,69.58333333333333,66.19900715079811,65.90696805529609,65.80475922803073,666.0,14784.0,4.0,13.0
19000.0,0.684789799,5.6811932420480176E-8,19000.0,69.7421052631579,66.37529120792162,66.06257378984651,66.02647441200804,1666.0,14784.0,0.0,5.0
20000.0,0.708029954,5.874744233843768E-8,20000.0,69.935,66.58931172745858,66.31372549019609,66.22858747542826,2666.0,14784.0,0.0,3.0
