learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.051212119,4.021748601262354E-9,1000.0,56.2,51.24780030742826,51.65562913907286,49.18793503480279,401.0,14976.0,2.0,0.0
2000.0,0.169089066,1.3789371192954067E-8,2000.0,57.35,52.58389953790148,53.05448541552009,51.50653780557135,201.0,14736.0,3.0,0.0
3000.0,0.217482566,1.7640549113024024E-8,3000.0,57.8,53.07236394692308,53.507161219243486,51.93621867881548,1.0,3704.0,4.0,0.0
4000.0,0.269872262,2.181191474603489E-8,4000.0,57.425000000000004,52.66766222998959,53.13703907539902,51.82461103253182,1.0,3864.0,3.0,0.0
5000.0,0.303331189,2.4584694581079398E-8,5000.0,56.76,51.92142831696223,52.378854625550666,50.9750566893424,201.0,14768.0,3.0,0.0
6000.0,0.327365604,2.6576255279814615E-8,6000.0,56.93333333333334,52.12019609596158,52.595853971748305,51.34626247411034,201.0,14736.0,3.0,0.0
7000.0,0.358518956,2.9055453960599584E-8,7000.0,57.18571428571428,52.39647197022628,52.855120339782914,51.55189136760428,1.0,3704.0,4.0,0.0
8000.0,0.389334365,3.150903449043838E-8,8000.0,57.074999999999996,52.27800604612926,52.7517886626307,51.54508254550585,1.0,3864.0,3.0,0.0
9000.0,0.41595715,3.37152953606906E-8,9000.0,56.74444444444444,51.9069636320039,52.3733790066063,51.105249937201705,201.0,14768.0,3.0,0.0
10000.0,0.440676204,3.5763587214530754E-8,10000.0,56.85,52.027454304343614,52.50412768299395,51.314453345368385,201.0,14736.0,3.0,0.0
