learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.113099219,1.06008320411274E-8,1000.0,64.60000000000001,60.654469552227866,60.40268456375839,59.122401847575055,1000.0,16768.0,0.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.241690475,2.309578574053736E-8,2000.0,69.05,65.58935593725367,65.51532033426184,64.34331797235023,2000.0,16768.0,0.0,26.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.35001739,3.3467897098203083E-8,3000.0,70.19999999999999,66.87711186199537,67.03539823008849,66.08497723823974,45.0,16376.0,1.0,38.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.429031259,4.1171516703176826E-8,4000.0,68.575,65.0690261886431,65.3049958597847,64.26947129050598,368.0,16768.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.525649283,5.058649056236777E-8,5000.0,69.8,66.43834218923983,66.6076957098629,65.89112265642648,1368.0,16768.0,0.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.600707014,5.7897252723659495E-8,6000.0,69.45,66.04805259433874,66.14958448753463,65.53215494546822,557.0,16576.0,1.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.669663413,6.461030873449726E-8,7000.0,70.01428571428572,66.67550073218413,66.73534072900159,66.18334138875464,1557.0,16576.0,0.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.730225943,7.041746215446127E-8,8000.0,69.2625,65.84219462024289,65.90877582143352,65.37107449654978,83.0,16912.0,2.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.778108618,7.507844962755425E-8,9000.0,69.44444444444444,66.04391853509377,66.11213801601971,65.60780390195097,1083.0,16960.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.859401632,8.30052886269821E-8,10000.0,69.74000000000001,66.37240483535037,66.46719858156028,66.04197059813714,2083.0,16960.0,0.0,33.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.925506823,8.93414480325559E-8,11000.0,69.50909090909092,66.1166240196308,66.1826981246219,65.7790021426385,352.0,16768.0,1.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.975487584,9.420408103620013E-8,12000.0,69.875,66.52273758993715,66.5834719911259,66.12313747540061,1352.0,16768.0,0.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,1.036732632,1.0006818653538824E-7,13000.0,69.64615384615385,66.26818103319751,66.37695978186777,65.89750237663124,45.0,16376.0,2.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,1.087445619,1.0501255346519874E-7,14000.0,69.22857142857143,65.80335018985343,65.93658575156164,65.40592628282342,369.0,16768.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,1.147093538,1.1082496376806457E-7,15000.0,69.6,66.2172220374267,66.3344407530454,65.87337224966322,1369.0,16768.0,0.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,1.202593295,1.1623074300000651E-7,16000.0,69.475,66.07763926484778,66.17494286307915,65.73352978320354,558.0,16576.0,1.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.266041342,1.2240754891600668E-7,17000.0,69.71176470588235,66.3404735945701,66.42102517281857,65.9952450138687,1558.0,16576.0,0.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.316276082,1.2722440254137542E-7,18000.0,69.39444444444445,65.98878099664279,66.07131859333622,65.64604639560989,84.0,16912.0,2.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.349034395,1.3041315685663994E-7,19000.0,69.47368421052632,66.07646341750153,66.15707783872098,65.74331108617329,1084.0,16960.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.397993263,1.3518711030152317E-7,20000.0,69.61500000000001,66.2333088493799,66.32867907801419,65.94755127199373,2084.0,16960.0,0.0,33.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.439095624,1.391267572082455E-7,21000.0,69.5047619047619,66.11130515082131,66.19153204519058,65.8198121263877,353.0,16768.0,1.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.471854854,1.423139058187273E-7,22000.0,69.70454545454545,66.33319438935739,66.40963612539058,66.00530449862286,1353.0,16768.0,0.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.511489318,1.4610883595413633E-7,23000.0,69.57826086956523,66.19268189487713,66.29576107899808,65.87827952794305,46.0,16376.0,2.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.54505436,1.4938132873123307E-7,24000.0,69.34166666666667,65.92935301862948,66.04679064187162,65.59753132597719,370.0,16768.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.582797126,1.5305918448269782E-7,25000.0,69.56,66.1725789391586,66.28118215251007,65.86984796160918,1370.0,16768.0,0.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.618909357,1.5657658273651162E-7,26000.0,69.4846153846154,66.08840607410562,66.18505732429783,65.78402622045886,559.0,16576.0,1.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.654221344,1.6001428177565338E-7,27000.0,69.63333333333334,66.25344694141857,66.33960095245915,65.94675416372472,1559.0,16576.0,0.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.687427805,1.6319834646979763E-7,28000.0,69.42857142857143,66.02650498458132,66.11377221804362,65.72023547314885,85.0,16912.0,2.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.715462414,1.6592728676734907E-7,29000.0,69.48275862068965,66.08647404704496,66.17231098539867,65.78520064950126,1085.0,16960.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.756410231,1.6991339192547112E-7,30000.0,69.57333333333334,66.18693028098416,66.28250591016548,65.91486183719194,2085.0,16960.0,0.0,34.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.792453578,1.733681341120932E-7,31000.0,69.50322580645162,66.10939584372862,66.1946649502968,65.83426692204836,354.0,16768.0,1.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.821749476,1.7621833482204626E-7,32000.0,69.640625,66.26202995540184,66.34448832536548,65.96124872989733,1354.0,16768.0,0.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
