learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.179445308,1.7177115682131715E-8,1000.0,52.5,47.17015547545192,47.455752212389385,45.02314814814815,188.0,16960.0,4.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.332295947,3.244813973022418E-8,2000.0,56.35,51.47695155198719,51.66112956810631,50.028620492272466,494.0,16960.0,3.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.409373959,3.9910217494679E-8,3000.0,57.86666666666667,53.17413196794107,53.35793357933579,52.10306934444865,116.0,16728.0,3.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.481559814,4.707556084532705E-8,4000.0,61.324999999999996,57.02008616403088,57.0873786407767,56.13836121349589,1116.0,16768.0,0.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.53778803,5.272743054197067E-8,5000.0,64.18,60.19599660179155,60.32343819229066,59.58935018050542,2116.0,16768.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.584202762,5.73917293656783E-8,6000.0,65.73333333333333,61.92337690754668,61.9541080680977,61.46926536731634,3116.0,16768.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.634892611,6.242951650598191E-8,7000.0,67.02857142857142,63.35854538777617,63.4057396543523,62.828152681591234,4116.0,16768.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.681482734,6.704143745027277E-8,8000.0,68.025,64.46764064526168,64.51657650159522,64.01744267829513,5116.0,16768.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.719540019,7.081901726009118E-8,9000.0,68.74444444444444,65.26775389924235,65.2716049382716,64.82870717679418,6116.0,16768.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.757435156,7.454238619677517E-8,10000.0,69.21000000000001,65.78526098606213,65.7698721511951,65.39282904349781,7116.0,16768.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.794971207,7.822907497985083E-8,11000.0,69.55454545454546,66.16778281727822,66.16829982826549,65.78812953314946,8116.0,16768.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.834316418,8.211234608001388E-8,12000.0,70.04166666666667,66.7083442594891,66.71296296296296,66.31687435585121,9116.0,16768.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.874137247,8.606959105342214E-8,13000.0,70.13846153846154,66.81607957091967,66.83468603161043,66.4332036316472,10116.0,16768.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.904935601,8.913021622412736E-8,14000.0,70.52857142857142,67.24961323229927,67.25396825396825,66.86742150485827,11116.0,16768.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.938884562,9.251187641760129E-8,15000.0,70.87333333333333,67.63303823876868,67.65859797172256,67.29545624672504,12116.0,16768.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.970917921,9.566652541253717E-8,16000.0,71.08125,67.86465930752664,67.86582401555663,67.57987668161435,13116.0,16768.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.008436271,9.937282890431171E-8,17000.0,71.35882352941177,68.17205823943098,68.18062998300876,67.85714285714286,14116.0,16768.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.047404771,1.0321246764351512E-7,18000.0,71.56666666666666,68.40354074194573,68.4152061219452,68.10022438294689,15116.0,16768.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.085055606,1.0692453415013024E-7,19000.0,71.7421052631579,68.59860571111116,68.59315589353614,68.29642751697668,16116.0,16768.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.119500961,1.1030702158800432E-7,20000.0,71.88,68.75208260993696,68.73818788215675,68.46649845808803,17116.0,16768.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.162856175,1.1466449211339573E-7,21000.0,71.97142857142858,68.8534634223721,68.84725309622102,68.56944518609495,18116.0,16768.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.197293045,1.1812547067286242E-7,22000.0,72.14545454545454,69.04638742416364,69.04268754736044,68.75701029876619,19116.0,16768.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
