learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.019716702,1.447789757947127E-9,1000.0,90.60000000000001,81.1384358546295,80.97165991902835,79.74137931034483,1000.0,1184.0,0.0,25.0
2000.0,0.095088755,7.30757034053612E-9,2000.0,89.9,79.64594012077416,79.38775510204083,77.8265642151482,273.0,1184.0,3.0,19.0
3000.0,0.134596215,1.0371054546959285E-8,3000.0,90.33333333333333,80.56967046161103,80.49764626765298,79.19655667144907,101.0,1184.0,2.0,19.0
4000.0,0.173875869,1.3426954620495025E-8,4000.0,90.0,79.88568532110115,79.86914947156518,78.62105825761626,271.0,1184.0,2.0,16.0
5000.0,0.206391171,1.595484828549334E-8,5000.0,90.12,80.07873014889817,80.08064516129032,78.67012089810017,414.0,1184.0,1.0,23.0
6000.0,0.228052658,1.7639139090683312E-8,6000.0,90.25,80.35898625061888,80.32290615539858,79.11460192788289,761.0,1184.0,1.0,11.0
7000.0,0.261003352,2.0194199088457973E-8,7000.0,90.17142857142856,80.21624108580629,80.06374963778615,78.98594990836897,159.0,1184.0,2.0,18.0
8000.0,0.288224728,2.2310799546285223E-8,8000.0,90.3375,80.55049154040736,80.35578144853876,79.33155080213905,1159.0,1184.0,0.0,26.0
9000.0,0.327969363,2.5400735817957256E-8,9000.0,90.21111111111111,80.29892755998404,80.08589511754069,79.06368821292776,822.0,1184.0,2.0,13.0
10000.0,0.359209683,2.783118737400406E-8,10000.0,90.06,80.00373370927922,79.65199590583418,78.7697565143101,606.0,1184.0,2.0,17.0
11000.0,0.385258825,2.985669458668679E-8,11000.0,90.10909090909091,80.13559052866017,79.77319204313068,79.14110429447851,999.0,1184.0,1.0,27.0
12000.0,0.411759564,3.191726185191837E-8,12000.0,90.10833333333333,80.17042519987582,79.76474599386295,79.42094313453538,274.0,1184.0,2.0,24.0
13000.0,0.436622808,3.384520546850231E-8,13000.0,90.23076923076923,80.42769389083954,80.0690521029504,79.7931583134447,102.0,1184.0,1.0,21.0
14000.0,0.463646615,3.5947618432692775E-8,14000.0,90.14285714285715,80.26489979635666,79.91850989522702,79.72972972972974,272.0,1184.0,2.0,16.0
15000.0,0.485126842,3.7617815350821866E-8,15000.0,90.16666666666666,80.32522487756643,79.97284453496265,79.97012493210211,415.0,1184.0,1.0,23.0
