learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.039411071,2.6896999058127403E-9,1000.0,78.10000000000001,54.84871226053325,56.02409638554218,50.0,25.0,1184.0,16.0,0.0
2000.0,0.124806954,8.752975272174097E-9,2000.0,77.9,55.282484189525384,56.324110671936765,52.216216216216225,49.0,1184.0,16.0,0.0
3000.0,0.176673185,1.2435579511635006E-8,3000.0,78.10000000000001,55.752569987715795,56.71936758893281,53.071428571428584,12.0,1184.0,17.0,0.0
4000.0,0.234954591,1.657367377218273E-8,4000.0,78.375,56.23366668268902,56.96517412935322,53.318942255801396,36.0,1184.0,16.0,0.0
5000.0,0.276615801,1.953170148325877E-8,5000.0,77.66,55.16145089034826,55.480271024312465,53.67067606802155,60.0,1184.0,16.0,0.0
6000.0,0.298048148,2.1053440202306955E-8,6000.0,77.66666666666666,55.22443916939329,55.6731723453523,54.17236662106701,23.0,1184.0,17.0,0.0
7000.0,0.320721787,2.2663313090610833E-8,7000.0,77.68571428571428,55.320859078458994,55.73816945310285,54.7115105827776,47.0,1184.0,16.0,0.0
8000.0,0.34842382,2.463015449379467E-8,8000.0,77.71249999999999,55.42499999999999,55.65779656801789,55.38038038038038,10.0,1176.0,17.0,0.0
9000.0,0.375297807,2.6538260337410287E-8,9000.0,77.52222222222223,54.992235437552004,55.24336283185841,54.375281912494366,34.0,1184.0,16.0,0.0
10000.0,0.400837898,2.835165694594383E-8,10000.0,77.49000000000001,54.92751760149519,55.28406833531982,54.25726478358058,58.0,1184.0,16.0,0.0
11000.0,0.423218698,2.9940737690263324E-8,11000.0,77.45454545454545,54.83915056282868,55.23465703971119,54.04002965159377,21.0,1184.0,17.0,0.0
12000.0,0.445015306,3.148833965553178E-8,12000.0,77.39166666666667,54.681444632379325,55.02320954907163,53.61600273551036,45.0,1184.0,16.0,0.0
13000.0,0.466696569,3.302775189932229E-8,13000.0,77.21538461538462,54.38460861399507,54.647067830347574,53.76931481192446,8.0,1184.0,17.0,0.0
14000.0,0.487483045,3.450363250921377E-8,14000.0,77.22857142857143,54.424194340006125,54.74804826117813,53.93063583815029,32.0,1184.0,16.0,0.0
15000.0,0.507454759,3.5921663417333945E-8,15000.0,77.15333333333334,54.2900908315161,54.6152827440074,53.96910678307588,56.0,1184.0,16.0,0.0
16000.0,0.527708922,3.7359706840906296E-8,16000.0,77.20625,54.412499999999994,54.65622280243691,54.36686686686687,19.0,1176.0,17.0,0.0
17000.0,0.548184944,3.881354460722664E-8,17000.0,77.08823529411765,54.159358863786245,54.40177944275345,53.79596678529063,43.0,1184.0,16.0,0.0
18000.0,0.569072033,4.029652570963113E-8,18000.0,77.11666666666666,54.21382842424206,54.516342756183754,53.807334305259616,6.0,1176.0,17.0,0.0
19000.0,0.589885563,4.177432720664268E-8,19000.0,77.12105263157895,54.21546551274245,54.53879941434846,53.71592844974447,30.0,1184.0,16.0,0.0
20000.0,0.610664056,4.324964100785968E-8,20000.0,77.18,54.31891123108503,54.60513228565746,53.641442356526156,54.0,1184.0,16.0,0.0
