learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.021525645,1.661031763224552E-9,1000.0,90.2,80.31496062992126,79.79381443298969,78.46153846153847,1000.0,1184.0,0.0,4.0
2000.0,0.096945396,7.797208356230208E-9,2000.0,91.3,82.50721828578781,82.40647118301315,81.14842903575298,2000.0,1184.0,0.0,0.0
3000.0,0.143046203,1.1547985693483301E-8,3000.0,91.8,83.48405808777619,83.52310783657067,82.09606986899564,3000.0,1184.0,0.0,0.0
4000.0,0.20245415,1.638143646713967E-8,4000.0,91.925,83.78339841729985,83.6040609137056,82.81914893617022,4000.0,1184.0,0.0,0.0
5000.0,0.248397881,2.0113158410644776E-8,5000.0,90.98,81.93745794751851,81.63680781758958,81.33278145695365,982.0,1184.0,1.0,1.0
6000.0,0.282348544,2.2870758443468555E-8,6000.0,91.23333333333333,82.46205808526351,82.22972972972973,82.15739484396201,1982.0,1184.0,0.0,0.0
7000.0,0.318873402,2.583744423748925E-8,7000.0,91.47142857142858,82.94281537016008,82.76558891454965,82.82014388489209,2982.0,1184.0,0.0,0.0
8000.0,0.357612473,2.8983976706123596E-8,8000.0,91.5875,83.175,82.92311596041614,83.03931451612902,3982.0,1184.0,0.0,0.0
9000.0,0.386370965,3.1319849159723765E-8,9000.0,91.12222222222222,82.24378154562217,81.9516602665462,81.93533800587838,981.0,1184.0,1.0,1.0
10000.0,0.412100056,3.340966231554126E-8,10000.0,91.25999999999999,82.51667117419156,82.2754005272764,82.1304436720507,1981.0,1184.0,0.0,0.0
11000.0,0.431318271,3.497063773198053E-8,11000.0,91.4,82.79141391107969,82.59429622815088,82.29127667540249,2981.0,1184.0,0.0,0.0
12000.0,0.450699192,3.654482873925939E-8,12000.0,91.475,82.94242643733817,82.69621109607577,82.50683994528043,3981.0,1184.0,0.0,0.0
13000.0,0.470726006,3.817148159560437E-8,13000.0,91.16153846153846,82.31987566979583,82.04126289465458,82.00187969924812,981.0,1184.0,1.0,1.0
14000.0,0.489644606,3.970812115934367E-8,14000.0,91.25714285714285,82.51347241231893,82.26600985221675,82.30190861769809,1981.0,1184.0,0.0,0.0
15000.0,0.508636375,4.1250703783364344E-8,15000.0,91.36,82.71998894079292,82.50067512827437,82.58766626360338,2981.0,1184.0,0.0,0.0
16000.0,0.527709818,4.279992027562732E-8,16000.0,91.41875,82.8375,82.58277305594316,82.69909274193549,3981.0,1184.0,0.0,0.0
17000.0,0.550254649,4.4631095905558515E-8,17000.0,91.18235294117648,82.3645213505625,82.0886605329191,82.13562149922537,981.0,1184.0,1.0,1.0
18000.0,0.582080613,4.721611992618069E-8,18000.0,91.25555555555556,82.51008330859936,82.26079116420601,82.23275764759002,1981.0,1184.0,0.0,0.0
19000.0,0.604214406,4.901390950994566E-8,19000.0,91.33684210526316,82.67078615152782,82.44641143222779,82.32008592910849,2981.0,1184.0,0.0,0.0
20000.0,0.624480417,5.065999084269628E-8,20000.0,91.385,82.76724551652337,82.51471483661459,82.44702526487369,3981.0,1184.0,0.0,0.0
