learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.030445942,2.3414923182792132E-9,1000.0,90.10000000000001,80.1086589619533,80.51181102362204,78.98089171974523,1000.0,1184.0,0.0,0.0
2000.0,0.112224946,8.973903611443108E-9,2000.0,91.5,82.89884667810098,83.0,81.79871520342613,2000.0,1184.0,0.0,0.0
3000.0,0.163104613,1.3100328017433897E-8,3000.0,91.36666666666666,82.69413747759369,82.93807641633728,82.05128205128204,3000.0,1184.0,0.0,0.0
4000.0,0.206809792,1.6644889684745834E-8,4000.0,91.45,82.82594547689636,83.05252725470764,81.87599364069952,4000.0,1184.0,0.0,0.0
5000.0,0.240108156,1.934544159459157E-8,5000.0,91.92,83.76009185677945,83.79462494985961,82.77919863597614,5000.0,1184.0,0.0,0.0
6000.0,0.271229731,2.1869452347902372E-8,6000.0,92.06666666666666,84.06146114880701,84.0536013400335,83.12655086848635,6000.0,1184.0,0.0,0.0
7000.0,0.294869194,2.378665155181454E-8,7000.0,92.05714285714286,84.02456768641261,83.93991912189487,82.9709035222052,7000.0,1184.0,0.0,0.0
8000.0,0.319536787,2.5787233784246358E-8,8000.0,92.03750000000001,83.97972945359436,83.84069000507358,82.89473684210527,8000.0,1184.0,0.0,0.0
9000.0,0.344578607,2.7818166439887134E-8,9000.0,92.06666666666666,84.05415453296018,83.97306397306397,83.08858360966366,9000.0,1184.0,0.0,0.0
10000.0,0.381143953,3.0783675945833734E-8,10000.0,92.07,84.06804619840678,83.91154392371676,83.15632965165675,10000.0,1184.0,0.0,0.0
11000.0,0.418277907,3.3799834798733803E-8,11000.0,91.7090909090909,83.36713459201282,83.22604377414015,82.58212375859434,988.0,1184.0,1.0,1.0
12000.0,0.442592878,3.5774787830658665E-8,12000.0,91.8,83.56839883592794,83.40640809443508,82.95218295218297,1988.0,1184.0,0.0,0.0
13000.0,0.466419074,3.771004072606356E-8,13000.0,91.74615384615385,83.46434776341344,83.35659996897782,82.87037037037037,2988.0,1184.0,0.0,0.0
14000.0,0.489812673,3.9610156472559184E-8,14000.0,91.74285714285715,83.47116249957284,83.35972362170723,83.04985337243403,3988.0,1184.0,0.0,0.0
15000.0,0.512913636,4.148650322687915E-8,15000.0,91.88,83.75226694561186,83.59153980870268,83.45333514468142,4988.0,1184.0,0.0,0.0
16000.0,0.532224698,4.305502002447636E-8,16000.0,91.9375,83.87017314931494,83.69977255496589,83.63982244768549,5988.0,1184.0,0.0,0.0
