learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.028993359,2.1469725192834934E-9,1000.0,91.3,82.54960325419813,82.3529411764706,80.79470198675497,1000.0,1184.0,0.0,0.0
2000.0,0.149721233,1.1728319379393424E-8,2000.0,91.9,83.7587960656185,83.38461538461539,82.61802575107296,2000.0,1184.0,0.0,0.0
3000.0,0.213539708,1.676224939312579E-8,3000.0,91.43333333333334,82.83424245797619,82.75167785234899,81.72119487908962,3000.0,1184.0,0.0,0.0
4000.0,0.266160506,2.093317535514426E-8,4000.0,91.675,83.31295475956622,83.27473631341033,82.28723404255318,4000.0,1184.0,0.0,0.0
5000.0,0.326440153,2.5686344753278215E-8,5000.0,90.64,81.27146877945842,81.15942028985506,80.64516129032258,617.0,1184.0,3.0,0.0
6000.0,0.360722136,2.8402743657043E-8,6000.0,90.86666666666666,81.73270006693565,81.52393796358731,81.35420210956107,1617.0,1184.0,0.0,0.0
7000.0,0.387049994,3.04990169786517E-8,7000.0,90.84285714285714,81.68583089838286,81.58575122091354,81.50072150072151,2617.0,1184.0,0.0,0.0
8000.0,0.414411486,3.26619609834854E-8,8000.0,91.0,82.0,81.91863385233552,81.90045248868779,3617.0,1184.0,0.0,0.0
9000.0,0.441756286,3.482358547470015E-8,9000.0,90.52222222222223,81.04412430076597,80.93854748603353,80.74926653125706,617.0,1184.0,3.0,0.0
10000.0,0.466972371,3.681192365396561E-8,10000.0,90.67,81.33815023745153,81.17813193463788,80.9979633401222,1617.0,1184.0,0.0,0.0
11000.0,0.487191257,3.841400600041987E-8,11000.0,90.67272727272727,81.34278085801718,81.25,80.94353640416048,2617.0,1184.0,0.0,0.0
12000.0,0.50633614,3.9938357410937956E-8,12000.0,90.79166666666667,81.5785621809382,81.50008371002848,81.1369067941277,3617.0,1184.0,0.0,0.0
13000.0,0.527283761,4.1594280679211426E-8,13000.0,90.46153846153845,80.9216594813991,80.82276523352922,80.61288305190743,617.0,1184.0,3.0,0.0
14000.0,0.546220973,4.309856960548501E-8,14000.0,90.57142857142857,81.14265702411535,81.00172711571675,80.91658233338153,1617.0,1184.0,0.0,0.0
15000.0,0.56550209,4.462107865142118E-8,15000.0,90.58,81.15999129172931,81.06659520300148,81.01571946795649,2617.0,1184.0,0.0,0.0
16000.0,0.584851066,4.6156394421331995E-8,16000.0,90.675,81.35,81.26569563033651,81.24685771744595,3617.0,1184.0,0.0,0.0
17000.0,0.605815739,4.781366566146206E-8,17000.0,90.44117647058823,80.88222222585162,80.785148397777,80.67546676180282,617.0,1184.0,3.0,0.0
18000.0,0.624721892,4.931079200333398E-8,18000.0,90.52777777777777,81.05492077845669,80.92627810717082,80.81683168316832,1617.0,1184.0,0.0,0.0
19000.0,0.643510644,5.080585434979241E-8,19000.0,90.53684210526316,81.07270376609537,80.98159509202453,80.79470198675497,2617.0,1184.0,0.0,0.0
20000.0,0.662898614,5.2337041660607266E-8,20000.0,90.615,81.22816636729075,81.14515318935209,80.91703944692965,3617.0,1184.0,0.0,0.0
