learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.023736161,1.7902930815269548E-9,1000.0,89.3,78.53973958876526,78.72763419483103,77.08779443254818,1000.0,1184.0,0.0,0.0
2000.0,0.107680386,8.728432202264666E-9,2000.0,90.05,80.02124374283424,80.2579365079365,78.82978723404254,2000.0,1184.0,0.0,0.0
3000.0,0.164792646,1.3571553268209099E-8,3000.0,90.73333333333333,81.37840859969205,81.73455978975032,80.25568181818183,3000.0,1184.0,0.0,0.0
4000.0,0.222677591,1.8604549417197702E-8,4000.0,91.175,82.26126196296974,82.76367187499999,81.21341138903672,4000.0,1184.0,0.0,0.0
5000.0,0.271374916,2.2943614267824836E-8,5000.0,91.22,82.36381166639885,83.03053730189409,81.46897425073871,5000.0,1184.0,0.0,0.0
6000.0,0.302034329,2.5741125571299343E-8,6000.0,91.21666666666667,82.3660893540702,82.81148075668624,81.5152578042792,6000.0,1184.0,0.0,0.0
7000.0,0.331404839,2.8484430354591457E-8,7000.0,91.34285714285714,82.61590543839394,83.11977715877438,81.75797712221554,7000.0,1184.0,0.0,0.0
8000.0,0.362931482,3.149665662973498E-8,8000.0,91.3625,82.65510440698405,83.12576312576311,81.79183135704875,8000.0,1184.0,0.0,0.0
9000.0,0.384880014,3.364075296395561E-8,9000.0,91.5,82.93455295716808,83.29694323144105,82.1010762751521,9000.0,1184.0,0.0,0.0
10000.0,0.404200853,3.5570022529580934E-8,10000.0,91.55,83.02456114974949,83.40208210567668,82.09366391184572,10000.0,1184.0,0.0,0.0
11000.0,0.434502528,3.8010354818279535E-8,11000.0,89.77272727272727,79.48035061589125,79.89276139410188,78.55508959207015,601.0,1184.0,2.0,0.0
12000.0,0.459032579,4.0038416262318683E-8,12000.0,89.86666666666666,79.69125361081493,80.06557377049181,78.93277893277893,1601.0,1184.0,0.0,0.0
13000.0,0.478817684,4.17165621838284E-8,13000.0,90.03846153846153,80.0515798485195,80.41735974595493,79.46074544012689,2601.0,1184.0,0.0,0.0
14000.0,0.499147933,4.348449472980573E-8,14000.0,90.22142857142858,80.42780892394697,80.82633053221289,79.964876335431,3601.0,1184.0,0.0,0.0
