learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.070278589,6.065512942104704E-9,1000.0,79.10000000000001,58.01661658122681,58.85826771653544,55.62632696390659,25.0,1824.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.15678902,1.3917600074604982E-8,2000.0,77.60000000000001,54.880327117628404,55.2,52.03426124197003,49.0,1824.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.207850833,1.8552100885098593E-8,3000.0,77.43333333333334,54.734854563154556,55.40184453227931,53.083853083853086,12.0,1816.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.255783996,2.2902736618405002E-8,4000.0,77.125,53.98069502729976,54.65807730426165,51.51033386327504,36.0,1824.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.290549016,2.6058170744066853E-8,5000.0,77.36,54.392876521855726,54.592860008022456,51.74765558397271,60.0,1824.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.334200709,3.0020200443319566E-8,6000.0,77.51666666666667,54.7694381329289,54.80737018425461,52.1800779865296,23.0,1824.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.370571908,3.3321418809247104E-8,7000.0,77.58571428571429,54.84104194787367,54.67937608318891,51.94486983154671,47.0,1824.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.407185843,3.664459324163282E-8,8000.0,77.64999999999999,54.95391940895913,54.642313546423125,51.98711063372718,10.0,1816.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.443974872,3.9983735792293325E-8,9000.0,77.5,54.73374500580949,54.545454545454554,52.03694931312175,34.0,1824.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.488390333,4.401508861033868E-8,10000.0,77.53999999999999,54.84294170046845,54.43294785960641,52.293967714528456,58.0,1824.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
