learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.031051698,2.817753186052044E-9,1000.0,90.10000000000001,80.1566621501359,79.91886409736308,77.90178571428572,1000.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.118484781,1.1140459879425664E-8,2000.0,91.14999999999999,82.26097414311485,81.9938962360122,80.94725511302475,2000.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.17836254,1.68401905593276E-8,3000.0,91.63333333333334,83.22401839342685,82.8902522154056,82.12250712250713,3000.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.284787331,2.6983262076553784E-8,4000.0,90.825,81.61091399770211,81.35162601626016,80.59227921734532,152.0,1824.0,2.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.316271609,2.999932493514278E-8,5000.0,90.60000000000001,81.18644521004494,80.89430894308943,80.51409618573798,997.0,1824.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.342716891,3.253267293902942E-8,6000.0,90.88333333333334,81.76289361198951,81.45762711864408,81.33742749914707,1997.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.372792123,3.541375505241462E-8,7000.0,91.14285714285715,82.28539469977378,81.94525334886431,82.06018518518519,2997.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.411999479,3.9169737799360105E-8,8000.0,90.9375,81.87500000000001,81.57560355781449,81.7242248550542,536.0,1824.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.442360488,4.206336702548795E-8,9000.0,90.78888888888889,81.57739567931779,81.2740004517732,81.22310305775764,995.0,1824.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.469019715,4.4604188985429284E-8,10000.0,90.93,81.85857771249265,81.55379296318893,81.47467320261438,1995.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.497100027,4.728045088047989E-8,11000.0,91.07272727272728,82.14234642822957,81.81818181818181,81.71662632656862,2995.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.533314866,5.0749756754291134E-8,12000.0,90.94166666666666,81.879525013507,81.58251440189765,81.44417890064868,537.0,1824.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.562004877,5.348412748378597E-8,13000.0,90.85384615384615,81.7059152917481,81.40444166406006,81.36071484558708,995.0,1824.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.589126959,5.6069062956406E-8,14000.0,90.95,81.89939640027995,81.59500290528761,81.63235720498695,1995.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.616594015,5.8686877008544066E-8,15000.0,91.05333333333333,82.10662117772138,81.78610206297502,81.92105617674794,2995.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.650622683,6.194682269638611E-8,16000.0,90.95625000000001,81.91250000000001,81.61138645317068,81.76203680362995,530.0,1824.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.680414916,6.480079468284009E-8,17000.0,90.85882352941177,81.71753546620265,81.41370649443847,81.46027201145313,992.0,1824.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.707453178,6.739094770394472E-8,18000.0,90.93333333333334,81.86621891898565,81.56140549090497,81.58637030350897,1992.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.734918596,7.002202049289105E-8,19000.0,91.01578947368421,82.03051770259671,81.71397964649168,81.719854358535,2992.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.767472815,7.313916438599633E-8,20000.0,90.945,81.88851666951523,81.58804392029279,81.56743002544529,536.0,1824.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
