learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.087273731,6.8531680057487555E-9,1000.0,80.5,76.19806142364888,76.42079806529627,73.433242506812,1000.0,22168.0,0.0,0.0
2000.0,0.171602141,1.3900201437750624E-8,2000.0,86.55000000000001,83.62870138173152,83.72655777374472,82.1736249171637,2000.0,22168.0,0.0,0.0
3000.0,0.217238743,1.771389435591383E-8,3000.0,88.46666666666667,85.94854622955364,86.03148970528866,84.72406181015452,3000.0,22168.0,0.0,0.0
4000.0,0.278958551,2.287428759769019E-8,4000.0,89.64999999999999,87.3759300150833,87.42787731551776,86.30046326935802,4000.0,22168.0,0.0,0.0
5000.0,0.311624742,2.56055078774256E-8,5000.0,90.36,88.23045530361566,88.31798351914686,87.20127456186934,5000.0,22168.0,0.0,0.0
6000.0,0.344615749,2.8363886023420426E-8,6000.0,90.8,88.7596157974233,88.81685575364668,87.74422735346359,6000.0,22168.0,0.0,0.0
7000.0,0.383206283,3.159211784148382E-8,7000.0,91.12857142857142,89.1582234700394,89.17741373300801,88.1578947368421,7000.0,22168.0,0.0,0.0
8000.0,0.421018497,3.475524049602449E-8,8000.0,91.3375,89.40868238162972,89.42791762013731,88.40555462606659,8000.0,22168.0,0.0,0.0
9000.0,0.458534029,3.7893544673778944E-8,9000.0,91.44444444444444,89.54241532963,89.57063524312609,88.56379028664784,9000.0,22168.0,0.0,0.0
10000.0,0.500526876,4.140639175737897E-8,10000.0,91.61,89.73655008529306,89.7532975085491,88.78042257288045,10000.0,22168.0,0.0,0.0
11000.0,0.540062437,4.471367835686438E-8,11000.0,91.7909090909091,89.96473279972074,89.98669328010645,89.0266131972293,11000.0,22168.0,0.0,0.0
12000.0,0.577906201,4.788108503325117E-8,12000.0,91.80833333333334,89.98411680971977,90.00610004066694,89.0607611840641,12000.0,22168.0,0.0,0.0
13000.0,0.611405133,5.0684842631692684E-8,13000.0,92.00769230769231,90.23031820498072,90.25419754244443,89.34249666632475,13000.0,22168.0,0.0,0.0
14000.0,0.64371041,5.338869497714978E-8,14000.0,92.04285714285714,90.27597731571807,90.29870242967864,89.40963969959121,14000.0,22168.0,0.0,0.0
15000.0,0.67595261,5.608726797167005E-8,15000.0,92.17999999999999,90.44509339851963,90.4595363969093,89.59091312450084,15000.0,22168.0,0.0,0.0
16000.0,0.708094588,5.8777452692975186E-8,16000.0,92.23125,90.50834970044055,90.5136228344654,89.6511531096495,16000.0,22168.0,0.0,0.0
17000.0,0.740358453,6.14778389813751E-8,17000.0,92.28235294117647,90.57402608989894,90.57538969901587,89.73154887688816,17000.0,22168.0,0.0,0.0
18000.0,0.772536067,6.417100632629875E-8,18000.0,92.39444444444445,90.70790653757336,90.715496778569,89.85174203113418,18000.0,22168.0,0.0,0.0
19000.0,0.804801557,6.687152862220175E-8,19000.0,92.44736842105263,90.7755749417683,90.78000514006682,89.93053119079363,19000.0,22168.0,0.0,0.0
20000.0,0.837044304,6.957014739893998E-8,20000.0,92.475,90.80912963169064,90.81701141009214,89.9626517273576,20000.0,22168.0,0.0,0.0
21000.0,0.869191366,7.226075763541171E-8,21000.0,92.49047619047619,90.82598427968124,90.83512523972801,89.9771196135757,21000.0,22168.0,0.0,0.0
22000.0,0.90132658,7.495177288239409E-8,22000.0,92.52272727272727,90.86402495652516,90.8651710350955,90.01214329083182,22000.0,22168.0,0.0,0.0
23000.0,0.940817062,7.825872111596375E-8,23000.0,92.55217391304348,90.8990297978617,90.90716067731833,90.04879749041478,23000.0,22168.0,0.0,0.0
24000.0,0.972912971,8.094644494704697E-8,24000.0,92.61666666666667,90.97746148748912,90.97621836329378,90.13692530335076,24000.0,22168.0,0.0,0.0
25000.0,1.006724988,8.377787632566568E-8,25000.0,92.636,91.0008717432568,91.00415343268995,90.16717406398546,25000.0,22168.0,0.0,0.0
