learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.079019481,6.2828478321805595E-9,1000.0,86.3,83.12996942460882,83.55342136854742,81.12947658402203,1000.0,22168.0,0.0,0.0
2000.0,0.18746404,1.5350795326826886E-8,2000.0,89.2,86.75270864177239,86.86131386861314,85.35593220338981,2000.0,22168.0,0.0,0.0
3000.0,0.250499781,2.0629432653960665E-8,3000.0,86.83333333333333,83.93791169267165,83.8379705400982,82.08616780045351,985.0,22168.0,1.0,1.0
4000.0,0.291538987,2.406607163417877E-8,4000.0,87.97500000000001,85.31196687650045,85.11757425742574,83.73351369631384,1985.0,22168.0,0.0,0.0
5000.0,0.326274636,2.697484831364411E-8,5000.0,87.08,84.26313442406214,84.09650418513048,82.8145783453046,979.0,22168.0,1.0,1.0
6000.0,0.356565761,2.951143883466099E-8,6000.0,87.38333333333334,84.62804176177264,84.3820920156798,83.36994727592268,1979.0,22168.0,0.0,0.0
7000.0,0.391311958,3.261590551196701E-8,7000.0,86.27142857142857,83.3369886106447,83.10775180172263,82.09427985839389,989.0,22168.0,1.0,4.0
8000.0,0.424984281,3.562442482419519E-8,8000.0,86.05000000000001,83.10131362491228,82.86240786240788,81.94174757281554,1989.0,22168.0,0.0,0.0
9000.0,0.458762457,3.8453022344387656E-8,9000.0,85.9888888888889,83.0844962723515,82.74021352313167,82.06514009387001,982.0,22168.0,1.0,1.0
10000.0,0.491454985,4.119070728124223E-8,10000.0,86.72999999999999,83.9946860910469,83.66568193008371,83.11060201094564,1982.0,22168.0,0.0,0.0
