learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.070776829,5.829030302717454E-9,1000.0,82.8,78.97125419352315,79.25211097708082,76.30853994490357,1000.0,22168.0,0.0,9.0
2000.0,0.160041677,1.3294866040767067E-8,2000.0,82.95,79.16864569623304,79.01538461538462,77.06792199058506,556.0,22168.0,1.0,8.0
3000.0,0.21975471,1.8465307945294512E-8,3000.0,86.03333333333333,82.95513485037604,83.06386418755052,81.30298973672467,1556.0,22168.0,0.0,8.0
4000.0,0.280674927,2.3714809368608727E-8,4000.0,87.94999999999999,85.28798053190818,85.38951197332524,83.89575676578683,2556.0,22168.0,0.0,17.0
5000.0,0.314663426,2.664648591042186E-8,5000.0,87.64,84.93192889157805,84.96350364963502,83.66375892149088,445.0,21848.0,1.0,11.0
6000.0,0.345177238,2.9196040686540723E-8,6000.0,87.4,84.63510404500533,84.61538461538463,83.36633663366335,117.0,21848.0,1.0,13.0
7000.0,0.379694903,3.2167573944758626E-8,7000.0,87.32857142857144,84.53896149332367,84.48215535339399,83.24834749763929,1117.0,21848.0,0.0,20.0
8000.0,0.414539015,3.519050283445045E-8,8000.0,86.925,84.03436975865417,83.98407594549073,82.68785170473353,909.0,22168.0,1.0,12.0
9000.0,0.448669628,3.815153154600412E-8,9000.0,86.63333333333333,83.674337426068,83.68813559322034,82.2801590808661,479.0,22168.0,1.0,16.0
10000.0,0.481917532,4.10304065158839E-8,10000.0,87.13,84.26988102786683,84.2549547345241,82.87425149700599,1479.0,22168.0,0.0,14.0
11000.0,0.515013824,4.392368918367972E-8,11000.0,87.80909090909091,85.10564285508522,85.11157988231376,83.80043488765403,2479.0,22168.0,0.0,11.0
12000.0,0.548659574,4.6851078862535456E-8,12000.0,87.64166666666667,84.89713797624586,84.93039325271822,83.57878418779758,750.0,22168.0,1.0,12.0
13000.0,0.582305422,4.9778477068001195E-8,13000.0,87.46153846153845,84.67333440029299,84.71492873218304,83.30602212208112,396.0,22168.0,1.0,12.0
14000.0,0.615984431,5.259528519178016E-8,14000.0,87.4,84.59411317833445,84.64351005484461,83.2287507130633,52.0,22168.0,1.0,14.0
15000.0,0.648776293,5.5434672322095264E-8,15000.0,87.50666666666666,84.72432451449369,84.78402078596947,83.38946995213614,1052.0,22168.0,0.0,13.0
16000.0,0.681953516,5.8335029989700346E-8,16000.0,87.75625000000001,85.02753662149946,85.06859756097562,83.72112348346351,2052.0,22168.0,0.0,20.0
17000.0,0.71588143,6.116984706147263E-8,17000.0,87.50588235294117,84.71679844033125,84.75123842343312,83.39067876133875,65.0,21848.0,2.0,9.0
18000.0,0.749112942,6.403065885534303E-8,18000.0,87.10555555555555,84.22754914620256,84.28465028099397,82.86326048434731,297.0,21848.0,1.0,8.0
19000.0,0.782070098,6.686785207656109E-8,19000.0,87.30526315789474,84.47475271195866,84.5255661769423,83.13050776332355,1297.0,21848.0,0.0,9.0
20000.0,0.815102555,6.97528197128781E-8,20000.0,87.59,84.82108748217927,84.87876203241136,83.49624310127003,2297.0,21848.0,0.0,13.0
21000.0,0.848755832,7.25646897311964E-8,21000.0,87.6,84.83688121909458,84.89120974760661,83.51690087352831,159.0,21848.0,1.0,23.0
22000.0,0.882309971,7.53710541144717E-8,22000.0,87.61363636363636,84.84996037588635,84.90388344136058,83.5247883917775,40.0,22168.0,1.0,12.0
23000.0,0.914983315,7.819199685504453E-8,23000.0,87.55217391304348,84.77605513290747,84.81328241035433,83.4422531953039,1040.0,22168.0,0.0,10.0
24000.0,0.947897864,8.104752495871029E-8,24000.0,87.74583333333334,85.0129345610927,85.05513491539205,83.68467768778432,2040.0,22168.0,0.0,12.0
25000.0,0.982164642,8.404887609943541E-8,25000.0,87.476,84.68006502479122,84.72682926829268,83.32623282564703,215.0,21848.0,2.0,14.0
26000.0,1.015839024,8.695345849271657E-8,26000.0,87.26923076923076,84.42960998020243,84.4943083337237,83.05692055692056,596.0,21848.0,1.0,22.0
27000.0,1.044317882,8.94170329243131E-8,27000.0,87.24814814814815,84.40400261128815,84.47140537615009,83.04024432293977,299.0,21848.0,1.0,12.0
28000.0,1.070486177,9.170250276304161E-8,28000.0,87.31071428571428,84.48136065078712,84.55083050700061,83.13235852639575,1299.0,21848.0,0.0,16.0
29000.0,1.096298037,9.392457660397102E-8,29000.0,87.5,84.7144079828197,84.78425117528543,83.38984604105572,2299.0,21848.0,0.0,20.0
30000.0,1.123360316,9.628812464643065E-8,30000.0,87.40333333333334,84.5946520091894,84.66626090484885,83.25801878433458,868.0,21848.0,1.0,9.0
31000.0,1.149422682,9.854481707231247E-8,31000.0,87.31612903225806,84.48548880261423,84.56223007459757,83.12591193888936,262.0,22168.0,1.0,14.0
32000.0,1.175256281,1.0077523167456192E-7,32000.0,87.390625,84.58031571015404,84.64845533404353,83.23360757915732,1262.0,22168.0,0.0,20.0
33000.0,1.201724886,1.0307816506408984E-7,33000.0,87.55757575757576,84.78369520418835,84.84870848708486,83.44488347713894,2262.0,22168.0,0.0,15.0
34000.0,1.22776612,1.0535043582194796E-7,34000.0,87.44117647058823,84.64254326219786,84.71342140121003,83.28832531016397,944.0,22168.0,1.0,20.0
35000.0,1.253406479,1.0755986821882842E-7,35000.0,87.52571428571429,84.74521682460087,84.8186654612469,83.39797703247395,1944.0,22168.0,0.0,19.0
36000.0,1.279280843,1.0978732286158123E-7,36000.0,87.47222222222221,84.67789168574764,84.75011834719686,83.32223947932845,568.0,21848.0,1.0,10.0
37000.0,1.305077216,1.1204031001416761E-7,37000.0,87.55675675675676,84.78085666057011,84.84279835390947,83.43229335348519,1568.0,21848.0,0.0,17.0
38000.0,1.331123821,1.1432167441991263E-7,38000.0,87.45526315789473,84.65382708163702,84.71723518850987,83.28306915415908,900.0,21848.0,1.0,19.0
39000.0,1.35733775,1.1661329991169069E-7,39000.0,87.41282051282052,84.60048092129159,84.64594019767297,83.21479860493743,243.0,22168.0,1.0,17.0
40000.0,1.382901805,1.1881615718496965E-7,40000.0,87.4675,84.66790579583599,84.7183270332886,83.30168881782751,1243.0,22168.0,0.0,12.0
41000.0,1.40832525,1.2102168331848253E-7,41000.0,87.58780487804879,84.8144893612823,84.86452725812687,83.4633131864561,2243.0,22168.0,0.0,15.0
42000.0,1.43412563,1.232535549930235E-7,42000.0,87.6047619047619,84.83564178678016,84.8917522781357,83.48716972753513,375.0,21848.0,1.0,11.0
43000.0,1.460233877,1.2539167156339935E-7,43000.0,87.66976744186047,84.916229771293,84.970377299657,83.57853005853748,6.0,15432.0,1.0,13.0
44000.0,1.485450521,1.2758771190498025E-7,44000.0,87.63181818181818,84.87084649986372,84.92771284551044,83.52756000847535,1006.0,21848.0,0.0,12.0
45000.0,1.511372751,1.2975362107765758E-7,45000.0,87.56888888888888,84.79476609138682,84.85611413411299,83.45068339151528,265.0,21848.0,1.0,29.0
46000.0,1.536719211,1.319567176658619E-7,46000.0,87.57608695652173,84.8013303547186,84.86052610665182,83.44821594068583,1265.0,21848.0,0.0,21.0
47000.0,1.562500554,1.341869425374849E-7,47000.0,87.52340425531915,84.74051026425252,84.80041472265422,83.3909250552314,964.0,21848.0,1.0,11.0
48000.0,1.588464609,1.3635849577559366E-7,48000.0,87.51875,84.73599812719793,84.79673146221388,83.38970832871243,119.0,22168.0,1.0,25.0
