learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.084390436,6.795648639243509E-9,1000.0,85.8,82.42959153749734,82.7460510328068,80.65395095367847,1000.0,22168.0,0.0,1.0
2000.0,0.213833141,1.757522224989616E-8,2000.0,87.9,85.11465406948136,85.37764350453172,83.82352941176471,2000.0,22168.0,0.0,3.0
3000.0,0.301842289,2.4904342027459705E-8,3000.0,88.43333333333334,85.81881237389675,85.95141700404858,84.63922089420097,3000.0,22168.0,0.0,2.0
4000.0,0.355185961,2.93466320660255E-8,4000.0,88.8,86.30163479134035,86.3871163780006,85.24860059269017,4000.0,22168.0,0.0,0.0
5000.0,0.407725493,3.372195590264681E-8,5000.0,89.14,86.7155534300441,86.76255485129205,85.65010570824523,5000.0,22168.0,0.0,0.0
6000.0,0.440540617,3.645469425743239E-8,6000.0,89.36666666666667,86.99998373299952,87.00875585420485,85.91300507838375,6000.0,22168.0,0.0,0.0
7000.0,0.472451188,3.91121043374555E-8,7000.0,89.55714285714286,87.24426012894739,87.27146090893262,86.2309286117913,7000.0,22168.0,0.0,0.0
8000.0,0.506706804,4.196480224924783E-8,8000.0,89.8,87.5411014349586,87.5628715134888,86.53243109423998,8000.0,22168.0,0.0,0.0
9000.0,0.539942914,4.473259896886018E-8,9000.0,90.25555555555556,88.10529656239906,88.12135988080726,87.16710564822944,9000.0,22168.0,0.0,1.0
10000.0,0.573236211,4.750515803854913E-8,10000.0,90.53,88.43932160034753,88.4413523739778,87.49669923422235,10000.0,22168.0,0.0,0.0
11000.0,0.606178275,5.024846754969408E-8,11000.0,90.92727272727272,88.91828791888969,88.92956184137549,87.9947070852881,11000.0,22168.0,0.0,0.0
12000.0,0.638751808,5.296108698029485E-8,12000.0,91.11666666666667,89.14998900155624,89.17546709991878,88.2534435261708,12000.0,22168.0,0.0,0.0
13000.0,0.671817832,5.5714719482950035E-8,13000.0,91.3076923076923,89.38691272537558,89.40260714620652,88.51392559463306,13000.0,22168.0,0.0,0.0
14000.0,0.705085931,5.848518014395816E-8,14000.0,91.46428571428571,89.58286361263625,89.5933118523034,88.74340617935191,14000.0,22168.0,0.0,0.0
15000.0,0.737539598,6.118781751824749E-8,15000.0,91.5,89.62523883581716,89.62908735968766,88.77937164481212,15000.0,22168.0,0.0,0.0
16000.0,0.770841694,6.396110934045579E-8,16000.0,91.53125,89.66464627981279,89.65885675036252,88.80905186653452,16000.0,22168.0,0.0,0.0
17000.0,0.803356444,6.66688335112151E-8,17000.0,91.51764705882353,89.65127188312837,89.65269804822043,88.81129733085041,17000.0,22168.0,0.0,0.0
18000.0,0.835678137,6.936048051375894E-8,18000.0,91.54444444444444,89.6834953149339,89.68415344991189,88.83918750458312,18000.0,22168.0,0.0,0.0
19000.0,0.869174819,7.21499768344023E-8,19000.0,91.66315789473684,89.83083157857793,89.83050847457628,89.00992159855686,19000.0,22168.0,0.0,0.0
20000.0,0.901754404,7.48631002561665E-8,20000.0,91.73,89.91142761048727,89.90601733186867,89.08466970236917,20000.0,22168.0,0.0,0.0
21000.0,0.934046839,7.755231074624175E-8,21000.0,91.88095238095238,90.09268619266831,90.09181775918178,89.2713314875409,21000.0,22168.0,0.0,0.0
22000.0,0.967238277,8.031638732486712E-8,22000.0,91.95454545454545,90.18234805998017,90.18901391275428,89.37192266122254,22000.0,22168.0,0.0,0.0
23000.0,0.999863345,8.303329842509906E-8,23000.0,92.01739130434783,90.260447260014,90.26304624522699,89.45857495550325,23000.0,22168.0,0.0,0.0
24000.0,1.032296256,8.573420730623103E-8,24000.0,92.11666666666667,90.38392831174508,90.38422443586094,89.60153888430888,24000.0,22168.0,0.0,0.0
25000.0,1.065336105,8.848566003877667E-8,25000.0,92.128,90.39699445600922,90.39390833211304,89.6103896103896,25000.0,22168.0,0.0,0.0
26000.0,1.097760372,9.118584907529252E-8,26000.0,92.13846153846154,90.41017938598188,90.40195341848234,89.61698669104948,26000.0,22168.0,0.0,0.0
27000.0,1.130823042,9.393920226757723E-8,27000.0,92.11851851851853,90.38766169248848,90.38365945139861,89.60277519910099,27000.0,22168.0,0.0,0.0
28000.0,1.178012887,9.786902131649767E-8,28000.0,92.13214285714287,90.40390171220753,90.39961650760449,89.61632730015083,28000.0,22168.0,0.0,0.0
29000.0,1.210852835,1.0060382693444273E-7,29000.0,92.19310344827586,90.47961305549036,90.47498843030837,89.7053473990542,29000.0,22168.0,0.0,0.0
30000.0,1.237901556,1.0285635772861539E-7,30000.0,92.22,90.51170404478007,90.50408885634079,89.73253563258842,30000.0,22168.0,0.0,0.0
31000.0,1.263957297,1.0502619633087266E-7,31000.0,92.29677419354839,90.60351947597343,90.59879532301879,89.82574240552171,31000.0,22168.0,0.0,0.0
32000.0,1.290263139,1.0721686254284032E-7,32000.0,92.33437500000001,90.64921900864584,90.64953876648623,89.87743985474353,32000.0,22168.0,0.0,0.0
33000.0,1.316637621,1.0941324487401792E-7,33000.0,92.36666666666666,90.68941503085529,90.68727124847499,89.92238758201312,33000.0,22168.0,0.0,0.0
34000.0,1.342263188,1.1154725996425581E-7,34000.0,92.42941176470588,90.76740334631708,90.76393124977572,90.01280409731113,34000.0,22168.0,0.0,0.0
35000.0,1.368381002,1.1372226780701013E-7,35000.0,92.4342857142857,90.77289877554755,90.76676313678999,90.0154594472305,35000.0,22168.0,0.0,0.0
36000.0,1.394564719,1.1590276384038641E-7,36000.0,92.43333333333334,90.77195178219462,90.7626572620299,90.00916926462497,36000.0,22168.0,0.0,0.0
37000.0,1.420131623,1.1803189366399826E-7,37000.0,92.41621621621621,90.75230022525224,90.74599300837676,89.99500820081295,37000.0,22168.0,0.0,0.0
38000.0,1.445102808,1.2011141391855974E-7,38000.0,92.42105263157895,90.75790522753705,90.75114807797297,89.99826358742837,38000.0,22168.0,0.0,0.0
39000.0,1.471300345,1.2229306083724315E-7,39000.0,92.46153846153847,90.80818476681843,90.80128907105535,90.0578269250279,39000.0,22168.0,0.0,0.0
40000.0,1.49719815,1.2444974703560272E-7,40000.0,92.475,90.82404118889758,90.81533015989258,90.06961169212497,40000.0,22168.0,0.0,0.0
41000.0,1.522591301,1.2656440726625008E-7,41000.0,92.52439024390245,90.88296769286575,90.87607537284553,90.12882447665056,41000.0,22168.0,0.0,0.0
42000.0,1.548867885,1.2875263696574916E-7,42000.0,92.54761904761905,90.91113480698121,90.90803462499274,90.16094555513644,42000.0,22168.0,0.0,0.0
43000.0,1.575464362,1.3096750632903643E-7,43000.0,92.56744186046511,90.93580238309012,90.93127518302026,90.18849389083317,43000.0,22168.0,0.0,0.0
