learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.099999352,7.998560360934999E-9,1000.0,67.2,58.88503227148916,58.585858585858595,55.006858710562426,137.0,21848.0,6.0,0.0
2000.0,0.221400376,1.8293621462451084E-8,2000.0,68.95,61.38799284714123,61.50030998140112,58.266129032258064,113.0,21848.0,6.0,0.0
3000.0,0.299931653,2.495031271250918E-8,3000.0,70.26666666666667,63.1485564865426,63.50245499181669,59.982054733064146,89.0,21848.0,5.0,0.0
4000.0,0.364790645,3.0446464100697384E-8,4000.0,69.5,62.320573931782484,62.816214568729045,58.977807666442494,33.0,21848.0,8.0,0.0
5000.0,0.419681884,3.5079317108798356E-8,5000.0,70.0,62.9873109151259,63.262307127112415,59.546925566343035,9.0,20248.0,5.0,0.0
6000.0,0.464324453,3.8868980946551175E-8,6000.0,69.8,62.74053891739057,63.03549571603426,59.280898876404486,369.0,21848.0,5.0,0.0
7000.0,0.500663283,4.195224439490793E-8,7000.0,69.72857142857143,62.59775380763843,63.00628491620112,59.179348873049506,89.0,22168.0,7.0,0.0
8000.0,0.536316491,4.497659656356399E-8,8000.0,70.2625,63.26407495796419,63.59602142310635,59.96297542914844,193.0,21848.0,4.0,0.0
9000.0,0.571807499,4.798674908986315E-8,9000.0,70.44444444444444,63.52212280400779,63.84395813510941,60.304432174302335,169.0,21848.0,6.0,0.0
10000.0,0.606082239,5.0896723717515254E-8,10000.0,70.93,64.11418178525985,64.41424899008446,60.932670340008066,401.0,21848.0,3.0,0.0
11000.0,0.641614106,5.391078290169438E-8,11000.0,71.06363636363636,64.24732579432143,64.47941078004686,61.04515971117366,57.0,21848.0,6.0,0.0
12000.0,0.676179971,5.684161142331238E-8,12000.0,71.46666666666667,64.76054503896177,64.99693314250665,61.66162803717389,97.0,21848.0,3.0,0.0
13000.0,0.711456715,5.98318390381688E-8,13000.0,71.45384615384616,64.75116763264187,65.03344954301329,61.63151364764269,41.0,21848.0,6.0,0.0
14000.0,0.746519638,6.280437754840072E-8,14000.0,71.51428571428572,64.84810534013957,65.1703056768559,61.71642507439763,113.0,21848.0,5.0,0.0
15000.0,0.780200421,6.566225143153427E-8,15000.0,71.61333333333333,64.98654125295631,65.24649036891935,61.81508384898214,281.0,21848.0,4.0,0.0
16000.0,0.815535722,6.866139164883643E-8,16000.0,71.3875,64.7050097400209,64.97590084920817,61.50353178607468,321.0,21848.0,7.0,0.0
17000.0,0.850334859,7.161401580174557E-8,17000.0,71.41176470588235,64.72811604051935,65.02842340073397,61.53237296184897,9.0,22168.0,6.0,0.0
18000.0,0.884631655,7.453182540645823E-8,18000.0,71.97777777777777,65.43975579254561,65.69407603890362,62.31602540156892,593.0,21848.0,1.0,0.0
19000.0,0.920411395,7.756513369727259E-8,19000.0,71.69473684210527,65.1035088626405,65.3613293829705,61.97680995475115,121.0,21848.0,8.0,0.0
20000.0,0.955094167,8.051219133601212E-8,20000.0,71.71,65.11937947856947,65.36907822254865,61.98602526202633,353.0,22168.0,4.0,0.0
21000.0,0.990011374,8.34741107995808E-8,21000.0,71.70476190476191,65.09251140486276,65.31231757151197,61.94440886384015,169.0,21848.0,6.0,0.0
22000.0,1.025158962,8.645469987625047E-8,22000.0,71.60454545454546,64.97632609479224,65.19777158774373,61.84805178942226,177.0,21848.0,6.0,0.0
23000.0,1.059644245,8.938240716496067E-8,23000.0,71.8304347826087,65.25464291791032,65.5042061548291,62.144317849839325,25.0,22168.0,4.0,0.0
24000.0,1.095450582,9.234505095661926E-8,24000.0,71.75,65.16537362097739,65.44166369335849,62.038073908174695,1.0,14168.0,7.0,0.0
25000.0,1.130007457,9.527669063937951E-8,25000.0,71.596,64.98566746654964,65.22526934378061,61.81026137463699,41.0,22168.0,6.0,0.0
26000.0,1.1649336,9.823936811639201E-8,26000.0,71.42692307692307,64.77826842831124,65.0235404896422,61.57745021980864,177.0,21848.0,6.0,0.0
27000.0,1.200132384,1.0122677553964984E-7,27000.0,71.37407407407407,64.70610446622015,64.97326203208557,61.50129507870095,89.0,22168.0,6.0,0.0
28000.0,1.234790028,1.0416495560706488E-7,28000.0,71.38214285714287,64.72416397236341,64.96436535350443,61.5277511042827,65.0,21848.0,6.0,0.0
29000.0,1.269544754,1.071122291633114E-7,29000.0,71.38275862068966,64.73700549069957,64.97573327706267,61.55556584981703,105.0,21848.0,6.0,0.0
30000.0,1.300797779,1.0976643202704065E-7,30000.0,71.48666666666666,64.85925393109538,65.09568694658668,61.68764276436601,401.0,21848.0,3.0,0.0
31000.0,1.327812826,1.1205960101368111E-7,31000.0,71.45483870967742,64.80993620370437,65.02233289853353,61.62119963568548,89.0,22168.0,6.0,0.0
32000.0,1.354139585,1.1429085765224983E-7,32000.0,71.5,64.86799407593291,65.08155295198712,61.708023680564295,33.0,21848.0,5.0,0.0
33000.0,1.381940325,1.1664968443559067E-7,33000.0,71.48787878787878,64.85087156134198,65.08849393343475,61.68661943154981,73.0,22168.0,5.0,0.0
34000.0,1.410686108,1.1908869587372159E-7,34000.0,71.43529411764706,64.78934721644434,65.0496617244854,61.617199541556346,81.0,22168.0,6.0,0.0
35000.0,1.437727091,1.2138317100780497E-7,35000.0,71.51428571428572,64.8913634551034,65.12644723495052,61.70833813419365,281.0,21848.0,4.0,0.0
36000.0,1.464454334,1.236487015252353E-7,36000.0,71.54166666666667,64.92628993843992,65.16372539018667,61.73955260111289,97.0,21848.0,5.0,0.0
37000.0,1.492010843,1.259841824570898E-7,37000.0,71.36756756756756,64.70759115433171,64.96113775425832,61.50296159017407,41.0,21848.0,9.0,0.0
38000.0,1.51916061,1.2827822354371762E-7,38000.0,71.46315789473684,64.82804889389087,65.06330745191532,61.64267270347706,17.0,20568.0,5.0,0.0
39000.0,1.546172299,1.305717783294887E-7,39000.0,71.46923076923078,64.84273221370391,65.07971378358022,61.67068549776095,249.0,22168.0,5.0,0.0
40000.0,1.573870241,1.3292096576548904E-7,40000.0,71.4375,64.80118416395386,65.035500061207,61.6224386966745,161.0,21848.0,6.0,0.0
41000.0,1.601072841,1.3522881659533207E-7,41000.0,71.45121951219512,64.80685172584441,65.02629377315643,61.62295081967213,233.0,21848.0,6.0,0.0
42000.0,1.628175998,1.3752722107467966E-7,42000.0,71.34761904761905,64.68061078521337,64.90214950272699,61.50351887396034,113.0,21848.0,8.0,0.0
43000.0,1.655451802,1.3982954085082228E-7,43000.0,71.29302325581396,64.61421281043697,64.85193621867882,61.42620543108029,25.0,20568.0,7.0,0.0
44000.0,1.683009882,1.4208439427492105E-7,44000.0,71.20909090909092,64.51102882786691,64.76902967433324,61.313177584364034,1.0,10616.0,8.0,0.0
45000.0,1.709796984,1.4435987734008167E-7,45000.0,71.2088888888889,64.5142483381935,64.75229208042006,61.302270011947435,265.0,22168.0,4.0,0.0
46000.0,1.737026143,1.4666795268771342E-7,46000.0,71.27391304347826,64.59418482138415,64.83580818564054,61.38515488018703,81.0,21848.0,5.0,0.0
47000.0,1.764573185,1.4900867448903827E-7,47000.0,71.24468085106383,64.55025702647218,64.80835329653162,61.343744637034504,313.0,22168.0,6.0,0.0
48000.0,1.792244695,1.512800821446234E-7,48000.0,71.12083333333334,64.40050410062399,64.64497041420118,61.1860894887159,1.0,11584.0,10.0,0.0
49000.0,1.818233788,1.5348401166343854E-7,49000.0,71.06122448979592,64.33438534628519,64.57922214173308,61.12192580813205,137.0,21848.0,6.0,0.0
