learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.08793919,7.535869258021315E-9,1000.0,78.2,73.33264830044564,73.70325693606755,69.97245179063361,834.0,22168.0,2.0,16.0
2000.0,0.180533274,1.5758851844362085E-8,2000.0,84.1,80.57152702298974,80.43076923076923,78.61466039004708,1834.0,22168.0,0.0,1.0
3000.0,0.227939257,1.9968824618620175E-8,3000.0,86.83333333333333,83.9335192073761,84.03395311236864,82.37394020526551,2834.0,22168.0,0.0,0.0
4000.0,0.282801546,2.486367659208675E-8,4000.0,88.375,85.8098696476316,85.90481964231586,84.46374874707652,3834.0,22168.0,0.0,1.0
5000.0,0.327890397,2.888653555990507E-8,5000.0,89.03999999999999,86.63920649759768,86.66666666666664,85.51414221517315,4834.0,22168.0,0.0,0.0
6000.0,0.361580821,3.1925957016841404E-8,6000.0,89.4,87.07344266233424,87.05738705738707,86.00660066006598,5834.0,22168.0,0.0,2.0
7000.0,0.397623055,3.5177549795119295E-8,7000.0,89.8,87.55490947989458,87.50874737578728,86.51558073654392,6834.0,22168.0,0.0,0.0
8000.0,0.432758828,3.827755661298624E-8,8000.0,90.14999999999999,87.97400156170103,87.93446639105802,86.95796094008605,7834.0,22168.0,0.0,1.0
9000.0,0.467081581,4.134845193494939E-8,9000.0,90.41111111111111,88.29193272107693,88.29830508474575,87.2882604212697,8834.0,22168.0,0.0,1.0
10000.0,0.501117052,4.43936438131974E-8,10000.0,90.60000000000001,88.51603901912752,88.50012233912406,87.49168330006653,9834.0,22168.0,0.0,0.0
11000.0,0.53439954,4.737146545537437E-8,11000.0,90.89090909090909,88.87510967181734,88.87531919618074,87.89562696303454,10834.0,22168.0,0.0,0.0
12000.0,0.567385928,5.032279469745647E-8,12000.0,91.125,89.16007696040008,89.17792907224877,88.20728601483778,11834.0,22168.0,0.0,0.0
13000.0,0.600744427,5.331287120560184E-8,13000.0,91.17692307692307,89.222781024387,89.24418604651163,88.25276526013928,12834.0,22168.0,0.0,1.0
14000.0,0.634427763,5.6262213708685914E-8,14000.0,91.22142857142858,89.27612016085547,89.30094889875512,88.31526906255941,13834.0,22168.0,0.0,4.0
15000.0,0.669261126,5.930064688289744E-8,15000.0,90.84666666666666,88.8163674468898,88.85189996752193,87.83017195532706,867.0,21848.0,1.0,8.0
16000.0,0.702791743,6.22254445558807E-8,16000.0,90.9125,88.89539797110366,88.91768292682927,87.9175668938009,1867.0,21848.0,0.0,0.0
17000.0,0.736268891,6.519019746854279E-8,17000.0,91.10000000000001,89.12490120936121,89.13777011989376,88.16859555833595,2867.0,21848.0,0.0,1.0
18000.0,0.769923299,6.816772325823082E-8,18000.0,91.14444444444445,89.1809214713105,89.20712302796397,88.2309509746013,3867.0,21848.0,0.0,1.0
19000.0,0.803254632,7.111666544768131E-8,19000.0,91.2578947368421,89.32045087128219,89.34368383909667,88.38299062805987,4867.0,21848.0,0.0,0.0
20000.0,0.836669196,7.407297138125118E-8,20000.0,91.375,89.46177992846253,89.49067868892409,88.52982246159984,5867.0,21848.0,0.0,0.0
21000.0,0.870043471,7.698413170548569E-8,21000.0,91.44285714285715,89.54659742355553,89.57354221061794,88.62514242309155,6867.0,21848.0,0.0,1.0
22000.0,0.903437299,7.999679540340891E-8,22000.0,91.55,89.6756810776333,89.70140158439975,88.76058041112455,7867.0,21848.0,0.0,1.0
23000.0,0.936801818,8.299024261936544E-8,23000.0,91.63043478260869,89.77400894672016,89.78888181625292,88.86704065698919,8867.0,21848.0,0.0,1.0
24000.0,0.970201839,8.598687505621669E-8,24000.0,91.73750000000001,89.90487713941484,89.92326845876315,88.99922334405859,9867.0,21848.0,0.0,0.0
25000.0,1.003578535,8.898141478625229E-8,25000.0,91.796,89.97639400223933,89.9951219512195,89.07764405154968,10867.0,21848.0,0.0,1.0
26000.0,1.038404041,9.201916261264226E-8,26000.0,91.56923076923077,89.70102916394694,89.73157820771067,88.7796887796888,136.0,21848.0,2.0,6.0
27000.0,1.076073658,9.530499562143451E-8,27000.0,90.75555555555556,88.70232601860353,88.74255818149017,87.7050391606325,136.0,21848.0,6.0,26.0
28000.0,1.104405089,9.786329458085405E-8,28000.0,90.5,88.39005493477458,88.43377685016088,87.37181921762249,988.0,22168.0,1.0,16.0
29000.0,1.130724036,1.0021148952515381E-7,29000.0,90.57241379310345,88.47958476451515,88.52417730020147,87.4725073313783,1988.0,22168.0,0.0,4.0
30000.0,1.156773693,1.0255080764432333E-7,30000.0,90.65333333333334,88.57745841016555,88.62243862852506,87.57752968279286,2988.0,22168.0,0.0,1.0
31000.0,1.184078217,1.0501637796220265E-7,31000.0,90.69032258064517,88.62023835849851,88.66902237926973,87.61479701313193,3988.0,22168.0,0.0,1.0
32000.0,1.209984847,1.0735571989558636E-7,32000.0,90.815625,88.77482214568751,88.81829249733678,87.78775035319538,4988.0,22168.0,0.0,0.0
33000.0,1.23598208,1.0970324318629792E-7,33000.0,90.9030303030303,88.88012368343016,88.92250922509226,87.89613740827353,5988.0,22168.0,0.0,0.0
34000.0,1.261831462,1.120374156844057E-7,34000.0,91.00588235294119,89.00720604858007,89.05237532667455,88.0317795780987,6988.0,22168.0,0.0,0.0
35000.0,1.287487619,1.1435414016457066E-7,35000.0,91.09714285714286,89.11893432107841,89.16513091553948,88.15119020457828,7988.0,22168.0,0.0,0.0
