learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.161125334,1.627880547998266E-8,1000.0,84.3,80.70527741386812,80.94660194174757,78.31491712707181,1000.0,30560.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.327442537,3.379363977935993E-8,2000.0,85.1,81.70744433354326,81.91747572815534,79.60301163586584,226.0,30240.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.432620839,4.485231568382018E-8,3000.0,84.36666666666667,80.86348264214509,81.0351799433886,78.92134831460673,596.0,30560.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.568047886,5.921585514612703E-8,4000.0,86.15,83.01450527523784,83.16109422492401,81.2267028126059,1596.0,30560.0,0.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.688378338,7.190800505302225E-8,5000.0,85.7,82.47119392007845,82.53541768441622,80.73295607652923,713.0,30240.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.814747143,8.537332407686238E-8,6000.0,86.3,83.2149891372188,83.29947175944737,81.60662340568359,1713.0,30240.0,0.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.931275436,9.704029012122915E-8,7000.0,86.67142857142856,83.67926168188518,83.73997908678982,82.14012251148546,86.0,30240.0,1.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,1.018895434,1.0632610857052521E-7,8000.0,86.5125,83.48037022266305,83.55182926829268,81.90204629319022,1086.0,30240.0,0.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,1.077823003,1.1254163861272029E-7,9000.0,86.08888888888889,82.9601189053428,83.00760043431053,81.34128166915055,935.0,30240.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,1.13222815,1.1798875352658746E-7,10000.0,86.14,83.03629780638401,83.05830583058305,81.46067415730336,475.0,30240.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,1.193254435,1.2453704769992374E-7,11000.0,85.91818181818182,82.8176015445059,82.73132664437011,81.19232637202526,999.0,30560.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,1.247454265,1.2996360600555732E-7,12000.0,85.98333333333333,82.91181662611497,82.77874475273883,81.22348738557716,411.0,30240.0,1.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,1.332179214,1.3845339328556427E-7,13000.0,85.79230769230769,82.69602702120851,82.52105611810353,80.96072569838161,352.0,30560.0,1.0,26.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,1.398925425,1.4547123538097782E-7,14000.0,85.72142857142858,82.6245585120786,82.4340949033392,80.91100076394194,400.0,30560.0,1.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,1.463655469,1.5233657404106732E-7,15000.0,85.99333333333334,82.95170597785622,82.73765508175171,81.23604536929537,1400.0,30560.0,0.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,1.518877299,1.581381461045705E-7,16000.0,85.73125,82.61810649975797,82.39648392320149,80.83284358995887,202.0,30240.0,2.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.570997432,1.6360943316391152E-7,17000.0,85.71764705882353,82.59214529220729,82.38153980117553,80.79113924050634,579.0,30560.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.632642943,1.701064139547137E-7,18000.0,86.03333333333333,82.97570955564295,82.75956658894526,81.24160573048796,1579.0,30560.0,0.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.709904466,1.7833283504472424E-7,19000.0,86.35263157894737,83.35155891630262,83.1250813484316,81.6320748034285,2579.0,30560.0,0.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.785110673,1.8630306102512404E-7,20000.0,86.335,83.32081117651143,83.06901251393879,81.59348060344828,675.0,30240.0,1.0,26.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.846017314,1.9273238065561487E-7,21000.0,86.23333333333333,83.22496876651711,82.92279520349696,81.54366700715016,1001.0,30560.0,1.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.908497639,1.9934346521275324E-7,22000.0,86.24090909090908,83.25124488290119,82.92916760658696,81.62112932604735,321.0,30560.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.966186082,2.054089538395798E-7,23000.0,86.26521739130435,83.29019848607226,82.95472940160793,81.70604586518417,369.0,30560.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,2.027177001,2.1151544491284835E-7,24000.0,86.275,83.31136895489853,82.96618057710208,81.76988211854558,124.0,30240.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,2.079660566,2.167745133195631E-7,25000.0,86.268,83.30888787961061,82.95516607914205,81.81288408561137,275.0,30560.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,2.139048949,2.2303360951795138E-7,26000.0,86.42307692307692,83.5029061900939,83.13989587811052,82.07029662738724,1275.0,30560.0,0.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,2.204200956,2.2992199295780102E-7,27000.0,86.3851851851852,83.45892326776627,83.1019582605498,82.05866562545756,652.0,30240.0,1.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,2.273913741,2.3690172873281355E-7,28000.0,86.50357142857142,83.60387594009369,83.26913711426927,82.2598817012487,50.0,30240.0,1.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
