learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.112475023,1.1641740903001692E-8,1000.0,83.6,79.96280901869078,80.0486618004866,77.77777777777777,1000.0,30560.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.219664791,2.3208729392050043E-8,2000.0,87.94999999999999,85.2327571759762,85.27794746487476,83.64993215739483,2000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.298186708,3.1682132469823376E-8,3000.0,89.56666666666668,87.1942490586273,87.172131147541,85.82427536231884,3000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.343786085,3.660282106452932E-8,4000.0,90.17500000000001,87.97414073055259,87.93738489871087,86.80765357502518,4000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.38847179,4.142491411505267E-8,5000.0,90.98,88.95868663699957,88.90528905289055,87.89261744966443,5000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.43512762,4.6459605938968147E-8,6000.0,91.43333333333334,89.52439425166419,89.47152806226956,88.54723707664884,6000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.480986029,5.140824701662279E-8,7000.0,91.8,89.9742351817362,89.90147783251231,89.0562440419447,7000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.525517706,5.6213718703594064E-8,8000.0,92.225,90.49682706511291,90.45133558489408,89.62641761174116,8000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.569981886,6.101190670074482E-8,9000.0,92.24444444444444,90.52210226289561,90.45926735921267,89.67608341961247,9000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.614341646,6.57988265987051E-8,10000.0,92.33,90.62153404851453,90.58549159199706,89.76787620064034,10000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.658534528,7.056773847275518E-8,11000.0,92.35454545454546,90.65060358636015,90.61698092156642,89.79864143619604,11000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.702623117,7.53253959523514E-8,12000.0,92.41666666666667,90.72650953105062,90.70575017873558,89.89450305385895,12000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.746659476,8.007741722412615E-8,13000.0,92.5153846153846,90.8469052680456,90.82594757684329,90.03073770491802,13000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.790661732,8.482575839643057E-8,14000.0,92.63571428571429,90.99734880217586,90.98145556333101,90.2005512783956,14000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.834576405,8.956464837230329E-8,15000.0,92.72,91.09633965957426,91.09080525414049,90.28383308123499,15000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.873045602,9.371590988899892E-8,16000.0,92.89375,91.30787377773247,91.30335016062413,90.51472428464169,16000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.906462641,9.732198640789837E-8,17000.0,92.99411764705883,91.4304428980914,91.44335081543214,90.65149136577708,17000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.940359103,1.009797980916914E-7,18000.0,93.03888888888889,91.48495871605652,91.50508474576272,90.71370340176388,18000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.975950157,1.048204754213699E-7,19000.0,93.07894736842105,91.53737917601929,91.56239974334297,90.77063447501403,19000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.009827315,1.0847620398519767E-7,20000.0,93.15,91.62252622104195,91.64685080178037,90.86301187141524,20000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.043821143,1.121445225617869E-7,21000.0,93.2,91.68461592748599,91.70876153980143,90.92872570194385,21000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.105247302,1.1925402492514916E-7,22000.0,92.98636363636363,91.42007783930029,91.44583656724691,90.63599951450418,22000.0,60816.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
23000.0,1.174897973,1.2784590738390056E-7,23000.0,92.8695652173913,91.27415369833832,91.29557879093466,90.47176388566118,23000.0,89152.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
24000.0,1.218650121,1.3326838536856076E-7,24000.0,93.0,91.43670104667662,91.45429574240806,90.65784351887895,24000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
25000.0,1.262066952,1.386493054153025E-7,25000.0,93.124,91.58765192974664,91.60070360598066,90.82172032676596,25000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
26000.0,1.304654733,1.4392747609821458E-7,26000.0,93.23846153846154,91.72975070360492,91.73988629422544,90.98091524728093,26000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
27000.0,1.347851383,1.492811077333076E-7,27000.0,93.2925925925926,91.79638065481633,91.79986416119539,91.05634846165242,27000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
28000.0,1.391429092,1.546819663991365E-7,28000.0,93.39642857142857,91.9241974587381,91.93104953087497,91.1952380952381,28000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
29000.0,1.438665693,1.6053629448818663E-7,29000.0,93.52068965517242,92.07701897704517,92.07741282624279,91.36687342062946,29000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
30000.0,1.476850521,1.6526877960361539E-7,30000.0,93.57333333333332,92.14034157170526,92.14599967410787,91.43111111111111,30000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
31000.0,1.515532813,1.700629185511751E-7,31000.0,93.6741935483871,92.26363474213736,92.26856962624191,91.56486579490709,31000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
32000.0,1.553785494,1.7480381311426558E-7,32000.0,93.796875,92.41385553775325,92.42135003054368,91.73226706651673,32000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
33000.0,1.590924021,1.7940662358748415E-7,33000.0,93.86969696969697,92.50290591988849,92.50934942792608,91.83088354062349,33000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
34000.0,1.627545756,1.8394538478836418E-7,34000.0,93.97058823529412,92.62775180362449,92.63464233104588,91.96865817825662,34000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
35000.0,1.664327476,1.885039739332431E-7,35000.0,94.09142857142857,92.77439306476543,92.78386488938516,92.11980337613839,35000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
36000.0,1.701412406,1.9310014179425108E-7,36000.0,94.15833333333333,92.85614363174084,92.8651399491094,92.20851394909414,36000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
37000.0,1.738042039,1.976398818437838E-7,37000.0,94.22972972972973,92.943494915163,92.9584432717678,92.30464244521337,37000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
38000.0,1.774860553,2.0220303109974497E-7,38000.0,94.30526315789474,93.03579132889996,93.05319251388399,92.40621819840685,38000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
39000.0,1.811768792,2.067773005374438E-7,39000.0,94.36410256410255,93.10902978493938,93.12824360657788,92.48598386435116,39000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
40000.0,1.848359848,2.113122594975266E-7,40000.0,94.39999999999999,93.1523742456381,93.17114810072556,92.53283552236815,40000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
41000.0,1.884756652,2.1582314358948004E-7,41000.0,94.45365853658537,93.21828468082994,93.23697359029264,92.60391595654718,41000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
42000.0,1.922627699,2.2051673985847993E-7,42000.0,94.51428571428572,93.2919227129674,93.30991027614044,92.68153230417381,42000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
43000.0,1.968833847,2.2624335744731124E-7,43000.0,94.56511627906977,93.35315338581094,93.36870779183928,92.74584057611123,43000.0,91392.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
