learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.17490477,1.660130620362858E-8,1000.0,47.3,34.143604431748024,35.96597812879708,28.20163487738419,25.0,30560.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.339114363,3.2913044088749835E-8,2000.0,47.05,34.07742634288453,36.01208459214501,29.21122994652406,49.0,30560.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.497268406,4.862325472722451E-8,3000.0,47.13333333333333,34.401756565994,35.78947368421052,29.791943337760067,12.0,30560.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.633409759,6.214683775846535E-8,4000.0,47.175,34.6883718874396,35.79459130963233,30.424761277576557,36.0,30560.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.749993905,7.371805692814911E-8,5000.0,47.44,35.41655095874965,35.69855639833618,30.402542372881356,60.0,30240.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.86559205,8.515313463297982E-8,6000.0,47.21666666666667,35.256311513020336,35.11575496824421,29.559608540925268,23.0,28960.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.968517171,9.537718771583711E-8,7000.0,47.37142857142857,35.48425995320032,35.334386519220644,29.600611503917445,47.0,30560.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,1.072560503,1.0571231813832497E-7,8000.0,47.675,35.76674951825063,35.52064078866297,29.694323144104807,10.0,30560.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,1.165399258,1.1493444340807696E-7,9000.0,47.97777777777778,36.333912116866145,35.8805806628321,30.892988929889302,34.0,30560.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,1.250686497,1.234064398493183E-7,10000.0,48.41,36.860260361899506,36.35578583765112,31.795346377578,58.0,30560.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,1.333671221,1.3164971627201263E-7,11000.0,48.25454545454546,36.70301074274617,36.34533661373295,31.987095232405306,21.0,30560.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,1.412694823,1.394995151723859E-7,12000.0,48.36666666666667,36.82190473748959,36.39256749820347,32.46866485013624,45.0,30560.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,1.495847594,1.4766982383350736E-7,13000.0,48.45384615384615,37.050591768733845,36.48943228130035,32.79510580683983,8.0,26392.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,1.576064028,1.5563811254053272E-7,14000.0,48.47142857142857,37.09965458495413,36.608084358523726,32.86179618427176,32.0,30560.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,1.650769751,1.6305899550986371E-7,15000.0,48.626666666666665,37.34318857743399,36.7894348289722,33.18883301543263,56.0,30560.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,1.712603236,1.692012164448098E-7,16000.0,48.743750000000006,37.51219810077104,36.93478929560136,33.449647001541834,19.0,30560.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.773001692,1.7517588876858973E-7,17000.0,48.76470588235294,37.701368220499816,37.002748444958776,33.88492485198118,43.0,28960.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.833980935,1.8114226133316547E-7,18000.0,48.81111111111111,37.88517422116532,37.01982228298017,34.24207821866971,6.0,24792.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.893088301,1.8700879044535466E-7,19000.0,48.82105263157895,37.99032620090294,37.05334023821854,34.54055873443285,30.0,30240.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.952722947,1.9292765319511915E-7,20000.0,48.864999999999995,38.078429817199584,37.09171433843883,34.78926225849646,54.0,30240.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
