learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.144397811,1.4012316370523637E-8,1000.0,72.5,66.16288326686903,65.5819774718398,62.38030095759234,361.0,30560.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.288155902,2.8607583448009358E-8,2000.0,71.1,64.41449844451955,64.58333333333331,60.893098782138026,273.0,30560.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.394894533,3.9428927940689025E-8,3000.0,68.63333333333334,61.293607933452975,61.49754500818331,57.59351059035601,217.0,30240.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.486769343,4.874981782219062E-8,4000.0,68.89999999999999,61.64549756603838,61.82878183491868,57.873349136471376,129.0,30560.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.572453821,5.730950854555599E-8,5000.0,69.24,62.06849709269089,62.09955643173978,58.30848468419626,9.0,24792.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.648725885,6.505251880846917E-8,6000.0,69.21666666666667,62.024166090849505,62.236761398487026,58.3633904418395,529.0,30240.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.734620953,7.376070732786424E-8,7000.0,68.57142857142857,61.193036922053444,61.4238120287568,57.50434614641684,217.0,30240.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.811638987,8.157434649407036E-8,8000.0,68.7125,61.3796387298962,61.598649892605096,57.655219083065475,129.0,30560.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.889605457,8.9363025208931E-8,9000.0,68.92222222222222,61.644367944802745,61.773951072844056,57.9208665563412,9.0,24792.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.959998719,9.650922948768155E-8,10000.0,68.94,61.6607643458637,61.889570552147234,57.992967270760076,529.0,30240.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,1.036053239,1.042197664641713E-7,11000.0,68.55454545454546,61.16447141838702,61.40370453023879,57.48002458512601,217.0,30240.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,1.105186108,1.1123343929942697E-7,12000.0,68.65,61.29091306499338,61.521939245167225,57.58259104746871,129.0,30560.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,1.165268561,1.1723554408649397E-7,13000.0,68.8,61.48107009514558,61.649016641452334,57.771993753253504,9.0,24792.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,1.21584682,1.2237016294927026E-7,14000.0,68.82142857142857,61.504638360361405,61.74073100184064,57.83423493044821,529.0,30240.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,1.26729573,1.2758614121006388E-7,15000.0,68.54666666666667,61.150973312217296,61.39432125030685,57.468673938519785,217.0,30240.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,1.313144188,1.3223756229332544E-7,16000.0,68.61874999999999,61.246530320856294,61.48358392144829,57.54629238183816,129.0,30560.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.361074788,1.370257237172106E-7,17000.0,68.73529411764706,61.39457979814913,61.582941814239256,57.69322614025313,9.0,24792.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.405567997,1.4154259864951792E-7,18000.0,68.75555555555556,61.41780143050575,61.65803108808291,57.746055597295275,529.0,30240.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.4549184,1.4654582669087787E-7,19000.0,68.5421052631579,61.14310981057489,61.38888888888889,57.462102341470356,217.0,30240.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.500386541,1.511586638262971E-7,20000.0,68.60000000000001,61.2198942992025,61.46057072721695,57.524518092661495,129.0,30560.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
