learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.192097369,2.007031498523843E-8,1000.0,87.2,84.32761168719382,83.9799749687109,82.48974008207935,1000.0,30560.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.331685627,3.5269535475975525E-8,2000.0,89.8,87.52015739283853,87.49999999999999,86.19756427604872,2000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.403552059,4.309479070518373E-8,3000.0,91.46666666666667,89.55597386056084,89.46935417523653,88.43721770551039,3000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.473905456,5.0597608552045294E-8,4000.0,92.07499999999999,90.30269806777434,90.28799019607843,89.29415737926377,4000.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.545909712,5.8348160605629284E-8,5000.0,92.60000000000001,90.94309546883068,90.89342850110756,89.99188531241546,5000.0,30560.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.607868893,6.495577969449468E-8,6000.0,92.85,91.25014340892577,91.2377450980392,90.34653465346535,6000.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.663037263,7.083919469175859E-8,7000.0,93.12857142857143,91.58983912688592,91.55399473222124,90.71428571428571,7000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.72132519,7.705529395064959E-8,8000.0,93.2625,91.75446541973481,91.74325980392157,90.90602328327991,8000.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.770206952,8.226827544064984E-8,9000.0,93.42222222222222,91.94915480253692,91.92029480005459,91.11511331232178,9000.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.822148839,8.78076030836813E-8,10000.0,93.51,92.05715373550287,92.04656862745098,91.24156545209178,10000.0,30560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
