learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.14278268,1.3416465863088765E-8,1000.0,78.10000000000001,73.12055614673967,72.65917602996255,71.07001321003963,1.0,21592.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.26552203,2.5936959227567742E-8,2000.0,75.9,70.43125281616244,70.39312039312038,68.24769433465086,201.0,30560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.348752687,3.453418850563466E-8,3000.0,78.43333333333334,73.56581614691468,73.67778681855167,71.61035541904343,801.0,30560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.402539193,4.020522596635338E-8,4000.0,81.95,77.91956421415821,78.02130898021309,76.35113003603013,1801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.46592474,4.702451657141869E-8,5000.0,84.14,80.61252680140919,80.61124694376527,79.08755274261604,2801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.526686808,5.369209414488532E-8,6000.0,85.51666666666667,82.30571229230719,82.29060525779498,80.93462044756473,3801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.586475231,6.03816428944158E-8,7000.0,86.61428571428571,83.65264550989838,83.67595818815332,82.39052809622251,4801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.644236256,6.696807865121711E-8,8000.0,87.1625,84.32762796169393,84.34928375495275,83.10577397598288,5801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.699081709,7.334044378199097E-8,9000.0,87.8,85.10461206400109,85.14811307994049,83.90973036342322,6801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.748271988,7.91611150891727E-8,10000.0,88.3,85.70752409925213,85.74735046899744,84.5646437994723,7801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.796693138,8.499449572024038E-8,11000.0,88.91818181818182,86.45799571529732,86.50055370985604,85.36438948253091,8801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.844127576,9.081179003260408E-8,12000.0,89.38333333333334,87.024282025974,87.04626334519573,85.93663759796888,9801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.891630754,9.673926832282088E-8,13000.0,89.73846153846154,87.45841359794349,87.48358040908236,86.39469658337582,10801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.939412593,1.0280386882103565E-7,14000.0,90.05,87.83621616631862,87.869023774275,86.80121281030888,11801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.986799577,1.0891985815883096E-7,15000.0,90.34,88.19504920187805,88.22525597269625,87.18946158606667,12801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,1.027113478,1.1420931585935047E-7,16000.0,90.60625,88.51656057561333,88.5450804054569,87.51661129568106,13801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.061118516,1.1874511487569866E-7,17000.0,90.89411764705882,88.86672189307359,88.89924704195053,87.88827165323528,14801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.094691304,1.2329517207450958E-7,18000.0,91.00555555555555,89.00556551085965,89.03042211531947,88.0498966637142,15801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.129552601,1.2809453284904982E-7,19000.0,91.05263157894737,89.06441503401062,89.09137577002055,88.10939357907253,16801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.163144095,1.3279103401378833E-7,20000.0,91.16499999999999,89.19918219655052,89.2137712123062,88.24820430965681,17801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.197494535,1.37667225181984E-7,21000.0,91.34285714285714,89.41565769608218,89.43084704377652,88.47689674843127,18801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.231036241,1.4250046085693565E-7,22000.0,91.48636363636363,89.59339805536304,89.59675627638302,88.67525243364169,19801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.264513241,1.4739608177421615E-7,23000.0,91.6086956521739,89.74426176543882,89.74495217853348,88.85295136883447,20801.0,30560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.324880451,1.5334367544010488E-7,24000.0,91.525,89.64298673433703,89.64885496183206,88.75870454294241,1.0,18360.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.420694193,1.6278358835018136E-7,25000.0,90.932,88.91147014217538,88.9344462341973,87.95686357841053,1.0,18360.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.475507997,1.6844643414568364E-7,26000.0,90.42692307692307,88.29072788420955,88.31565111257159,87.29518656525954,801.0,30240.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.529715461,1.7383247156487365E-7,27000.0,89.91111111111111,87.66011714425889,87.68813559322034,86.6142506142506,1.0,21592.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.579103705,1.7872730480816425E-7,28000.0,89.41071428571429,87.04593311766897,87.07948405089768,85.93720356668564,1.0,20624.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.629100513,1.8383238575274542E-7,29000.0,88.81724137931035,86.31586114396258,86.34928652607653,85.13612613438445,201.0,30560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.684435662,1.892842027522955E-7,30000.0,88.49000000000001,85.91868951089762,85.94455977530833,84.71109143236662,1.0,18360.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
