learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.025529165,1.8438993422004083E-9,1000.0,91.8,83.39839004875206,83.29938900203668,81.53153153153154,1000.0,1408.0,0.0,0.0
2000.0,0.10833264,8.239448104333132E-9,2000.0,92.45,84.7908285674572,84.44902162718847,83.51528384279476,2000.0,1408.0,0.0,0.0
3000.0,0.151444081,1.1571149724051356E-8,3000.0,92.4,84.71612207796387,84.53188602442334,83.62068965517241,3000.0,1408.0,0.0,0.0
4000.0,0.199919141,1.5317357973456382E-8,4000.0,92.475,84.89867058130585,84.83627204030226,84.04875463698993,4000.0,1408.0,0.0,0.0
5000.0,0.230309345,1.766594780348241E-8,5000.0,92.78,85.50966637712759,85.40234532955924,84.70338983050847,5000.0,1408.0,0.0,0.0
6000.0,0.255507708,1.9614401368933417E-8,6000.0,92.48333333333333,84.91098821317327,84.84543010752688,84.05233380480904,6000.0,1408.0,0.0,0.0
7000.0,0.276903231,2.1268801818440357E-8,7000.0,92.34285714285714,84.60577869198517,84.57997698504026,83.54313785692355,7000.0,1408.0,0.0,0.0
8000.0,0.302548869,2.3251840748364727E-8,8000.0,92.4375,84.79634961610782,84.77987421383646,83.74966424926133,8000.0,1408.0,0.0,0.0
9000.0,0.324404879,2.494184817507863E-8,9000.0,92.27777777777779,84.47148995346363,84.48660714285715,83.4049665711557,9000.0,1408.0,0.0,0.0
10000.0,0.343969973,2.6454711417928337E-8,10000.0,92.25999999999999,84.44083309167038,84.40773569701852,83.40124383444135,10000.0,1408.0,0.0,0.0
11000.0,0.363197536,2.794231087115283E-8,11000.0,92.33636363636364,84.58430898437712,84.56891817682592,83.50938967136152,11000.0,1408.0,0.0,0.0
12000.0,0.381946033,2.939284591222803E-8,12000.0,92.46666666666667,84.83163449876942,84.80416876786015,83.67641747923437,12000.0,1408.0,0.0,0.0
13000.0,0.400667642,3.0841300680618734E-8,13000.0,92.44615384615385,84.7964171660193,84.76810919807663,83.67414796342477,13000.0,1408.0,0.0,0.0
14000.0,0.419458227,3.2295091989052796E-8,14000.0,92.47857142857143,84.86176082839009,84.7986141186661,83.74498301945046,14000.0,1408.0,0.0,0.0
15000.0,0.438146909,3.374099925898016E-8,15000.0,92.38,84.66165626629446,84.58737864077669,83.52076124567473,15000.0,1408.0,0.0,0.0
16000.0,0.457002058,3.5199785759529724E-8,16000.0,92.4125,84.73308362157917,84.68332071662881,83.6388140161725,16000.0,1408.0,0.0,0.0
17000.0,0.475694403,3.664597642869999E-8,17000.0,92.41176470588235,84.73237482166014,84.69750889679715,83.63982244768548,17000.0,1408.0,0.0,0.0
18000.0,0.494178292,3.80760392593282E-8,18000.0,92.48333333333333,84.87387517380695,84.85391245942012,83.78281193815174,18000.0,1408.0,0.0,0.0
19000.0,0.512493072,3.9493018452891465E-8,19000.0,92.48947368421052,84.87918719861825,84.90905245346869,83.7508540195855,19000.0,1408.0,0.0,0.0
20000.0,0.530716553,4.090293401896954E-8,20000.0,92.47,84.84178019260722,84.83994362794442,83.72243839169909,20000.0,1408.0,0.0,0.0
21000.0,0.55525705,4.2800315196609334E-8,21000.0,92.32380952380952,84.56858332046014,84.53568687643897,83.54766278832415,969.0,1408.0,1.0,0.0
22000.0,0.575389507,4.4357757887792673E-8,22000.0,92.36363636363636,84.66111217428269,84.59280997798973,83.73038930854153,1969.0,1408.0,0.0,0.0
23000.0,0.594821752,4.5861876882912804E-8,23000.0,92.3608695652174,84.66556349491127,84.597177171912,83.80645161290325,2969.0,1408.0,0.0,0.0
24000.0,0.614136209,4.7356878703553235E-8,24000.0,92.375,84.69932874575638,84.64507467695923,83.88375165125494,3969.0,1408.0,0.0,0.0
25000.0,0.633159077,4.8829310586769137E-8,25000.0,92.43599999999999,84.82979332964007,84.7573754634854,84.08517084665881,4969.0,1408.0,0.0,0.0
26000.0,0.651823481,5.027480737705405E-8,26000.0,92.37692307692308,84.7185334878458,84.64637074908978,84.0341549863058,5969.0,1408.0,0.0,0.0
27000.0,0.670804946,5.17448595004653E-8,27000.0,92.34444444444443,84.66296530294414,84.58498023715414,84.08163265306122,6969.0,1408.0,0.0,0.0
28000.0,0.689734691,5.321090607974058E-8,28000.0,92.36785714285715,84.71463030183992,84.6347425941904,84.19261779717435,7969.0,1408.0,0.0,0.0
29000.0,0.708266647,5.4646145207424547E-8,29000.0,92.32413793103447,84.63170368542,84.55560951918406,84.16109292728048,8969.0,1408.0,0.0,0.0
30000.0,0.726699123,5.607367993583075E-8,30000.0,92.31666666666666,84.61945433907681,84.52708599046788,84.18958776322107,9969.0,1408.0,0.0,0.0
31000.0,0.744816853,5.747762604796845E-8,31000.0,92.34193548387097,84.67413385969758,84.58041049623277,84.30931923331129,10969.0,1408.0,0.0,0.0
32000.0,0.762784445,5.8869937939848747E-8,32000.0,92.390625,84.77531391868547,84.66817781135877,84.49439633214469,11969.0,1408.0,0.0,0.0
33000.0,0.780903262,6.02739682838093E-8,33000.0,92.38181818181819,84.75891019825774,84.65201465201466,84.50730264374192,12969.0,1408.0,0.0,0.0
34000.0,0.798905193,6.166894111089201E-8,34000.0,92.3970588235294,84.79079930470365,84.66785290628707,84.58005249343832,13969.0,1408.0,0.0,0.0
35000.0,0.816883937,6.306211717323089E-8,35000.0,92.35714285714286,84.71216393735835,84.58124387572772,84.54293308679071,14969.0,1408.0,0.0,0.0
36000.0,0.834863165,6.445533074081565E-8,36000.0,92.37222222222222,84.74281475102748,84.62399910409317,84.59207720794524,15969.0,1408.0,0.0,0.0
37000.0,0.852925858,6.585501202605871E-8,37000.0,92.37297297297297,84.7449440821275,84.63214071774765,84.62711772076048,16969.0,1408.0,0.0,0.0
