learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.028032066,2.0600661461427806E-9,1000.0,90.0,79.76429450236353,80.91603053435115,77.37556561085974,760.0,1408.0,1.0,26.0
2000.0,0.101523423,7.760552069786936E-9,2000.0,89.95,79.76674377449883,80.15794669299112,78.15217391304347,136.0,1408.0,2.0,23.0
3000.0,0.138094928,1.0597966156148662E-8,3000.0,89.86666666666666,79.72778325088112,80.22121014964215,79.3478260869565,999.0,1408.0,1.0,34.0
4000.0,0.176515628,1.3578850737952938E-8,4000.0,89.60000000000001,79.2,79.46692991115499,79.08496732026144,136.0,1408.0,2.0,29.0
5000.0,0.215650953,1.6615179771427065E-8,5000.0,88.0,75.99161050837606,76.37795275590551,75.35934291581108,256.0,1408.0,4.0,21.0
6000.0,0.244081005,1.8820936138872057E-8,6000.0,87.06666666666666,74.10952272439889,74.3216412971542,73.18590186592951,1256.0,1408.0,0.0,49.0
7000.0,0.272996217,2.1063795241136106E-8,7000.0,86.28571428571429,72.56766418314218,72.85835453774384,72.14161346488683,256.0,1408.0,4.0,22.0
8000.0,0.30070465,2.321304841498534E-8,8000.0,85.8,71.6,71.73426225429212,71.47162230035158,1256.0,1408.0,0.0,49.0
9000.0,0.329428333,2.544105123464639E-8,9000.0,86.25555555555555,72.50694574368106,72.77728873239435,72.0388788426763,760.0,1408.0,2.0,30.0
10000.0,0.355695217,2.7478488133518647E-8,10000.0,86.61999999999999,73.23271073178648,73.41545797734949,72.70501835985311,136.0,1408.0,2.0,23.0
