learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.01648962,1.2662486493587496E-9,1000.0,93.5,86.80524542243515,86.54244306418221,85.58758314855876,1000.0,1408.0,0.0,0.0
2000.0,0.082520158,6.605991270583537E-9,2000.0,94.3,88.48143945632393,88.6,87.64897074756229,2000.0,1408.0,0.0,0.0
3000.0,0.13652434,1.097318925327725E-8,3000.0,95.0,89.92423021118813,89.87854251012145,89.33143669985775,3000.0,1408.0,0.0,0.0
4000.0,0.189308631,1.524173736633112E-8,4000.0,95.19999999999999,90.34187013085004,90.38557836755132,89.83589200635255,4000.0,1408.0,0.0,0.0
5000.0,0.217130549,1.7491633942197593E-8,5000.0,95.24000000000001,90.42605349213319,90.45326915363017,89.94507815800591,5000.0,1408.0,0.0,0.0
6000.0,0.23564459,1.8993612820458493E-8,6000.0,95.15,90.2332737260967,90.31291611185088,89.65517241379311,6000.0,1408.0,0.0,2.0
7000.0,0.258643209,2.086079004638104E-8,7000.0,95.07142857142857,90.06990131578948,90.17373967530618,89.4527667380006,7000.0,1408.0,0.0,6.0
8000.0,0.286809847,2.3142002697560107E-8,8000.0,94.875,89.67347073704029,89.76790616421263,89.04036353916065,44.0,1408.0,2.0,4.0
9000.0,0.307443327,2.481310578106799E-8,9000.0,94.88888888888889,89.690041302093,89.73443427806293,89.02409926031973,1044.0,1408.0,0.0,0.0
10000.0,0.327123119,2.6406969787236302E-8,10000.0,95.03,89.97603202700122,90.0260887015854,89.33933933933935,2044.0,1408.0,0.0,0.0
11000.0,0.346231079,2.7960611263221748E-8,11000.0,95.0,89.90976730188878,89.94883040935672,89.23468389117242,3044.0,1408.0,0.0,7.0
12000.0,0.366055411,2.9571679372570164E-8,12000.0,94.89999999999999,89.70562113456165,89.75389251632345,89.00071890726096,723.0,1408.0,1.0,2.0
13000.0,0.384979094,3.1109554252425826E-8,13000.0,94.86923076923077,89.6494522171635,89.72581638940234,88.97156084656085,1723.0,1408.0,0.0,0.0
14000.0,0.403869225,3.264470245492334E-8,14000.0,94.78571428571428,89.48570487957943,89.55650929899856,88.81397486975176,2723.0,1408.0,0.0,0.0
15000.0,0.423000934,3.42002749288496E-8,15000.0,94.66666666666667,89.24732049947272,89.30767174552258,88.55671577742812,3723.0,1408.0,0.0,10.0
16000.0,0.44279627,3.580980598505172E-8,16000.0,94.6375,89.18627626918402,89.24407672057164,88.47548690396239,1146.0,1408.0,1.0,1.0
17000.0,0.461726272,3.734897794520275E-8,17000.0,94.67058823529412,89.25065478391994,89.33490288404944,88.52147472443937,2146.0,1408.0,0.0,0.0
18000.0,0.481213872,3.892727634422067E-8,18000.0,94.55555555555556,89.02001245892464,89.11836553408841,88.28031571394405,488.0,1408.0,1.0,2.0
19000.0,0.500717371,4.050686240135174E-8,19000.0,94.45263157894736,88.81196236202457,88.91343220784684,88.05124135585534,682.0,1408.0,1.0,5.0
20000.0,0.5197017,4.205045161381363E-8,20000.0,94.365,88.63313750861693,88.75361740345275,87.8451251078516,1682.0,1408.0,0.0,5.0
21000.0,0.53985814,4.368291928463512E-8,21000.0,94.2952380952381,88.5120128737056,88.5948210205636,87.79667922990731,992.0,1408.0,1.0,1.0
22000.0,0.558894435,4.52246665455463E-8,22000.0,94.32727272727273,88.59002715013345,88.67616368750568,87.93620106331561,1992.0,1408.0,0.0,0.0
23000.0,0.577631145,4.674215045304969E-8,23000.0,94.41739130434783,88.78078309678105,88.83769451447449,88.1789725649052,2992.0,1408.0,0.0,0.0
24000.0,0.596281776,4.8252662832612794E-8,24000.0,94.475,88.90393027433964,88.96655017473788,88.34695491695228,3992.0,1408.0,0.0,0.0
25000.0,0.614615705,4.973752555498026E-8,25000.0,94.512,88.98536984157653,89.03627936710883,88.4715570120158,4992.0,1408.0,0.0,0.0
26000.0,0.632929658,5.122660743342506E-8,26000.0,94.51923076923077,89.00827148782649,89.0595009596929,88.55881172219992,5992.0,1408.0,0.0,2.0
27000.0,0.651409998,5.2729218005893965E-8,27000.0,94.51851851851852,89.0131821083817,89.06296186816436,88.61275679002848,6992.0,1408.0,0.0,2.0
28000.0,0.670755122,5.430214295468397E-8,28000.0,94.46785714285714,88.91587528592248,88.95779868833762,88.54882826938716,1855.0,1408.0,1.0,4.0
29000.0,0.690240663,5.588648501315672E-8,29000.0,94.41034482758621,88.80498329966137,88.82223141635637,88.48476237834767,2855.0,1408.0,0.0,5.0
30000.0,0.709249977,5.7432105720988997E-8,30000.0,94.42666666666668,88.84060567212259,88.85630498533726,88.55264959605643,3855.0,1408.0,0.0,0.0
31000.0,0.727742689,5.8935722243456794E-8,31000.0,94.39354838709677,88.77773055834716,88.78203059446201,88.534863777294,4855.0,1408.0,0.0,0.0
32000.0,0.746022447,6.042202377432544E-8,32000.0,94.321875,88.6369195458101,88.63948980867825,88.42969943963321,5855.0,1408.0,0.0,2.0
33000.0,0.764383615,6.191494463831808E-8,33000.0,94.33939393939393,88.67309234765848,88.68770059952763,88.4833538840937,6855.0,1408.0,0.0,2.0
34000.0,0.782700643,6.340427654070781E-8,34000.0,94.32941176470588,88.65425649469391,88.66615719240491,88.48405208457771,7855.0,1408.0,0.0,0.0
35000.0,0.801120766,6.490199095321199E-8,35000.0,94.31142857142856,88.61948791670679,88.62480717591271,88.47600856630201,8855.0,1408.0,0.0,0.0
36000.0,0.819294024,6.637963311818326E-8,36000.0,94.27499999999999,88.54785979293352,88.54872763640404,88.43629018683723,9855.0,1408.0,0.0,0.0
