learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.025472655,1.8833104256540537E-9,1000.0,88.8,77.55798855457417,77.0961145194274,75.43859649122807,1000.0,1408.0,0.0,0.0
2000.0,0.097496493,7.584146351305149E-9,2000.0,90.3,80.46875,80.22426095820592,78.49223946784922,465.0,1408.0,1.0,0.0
3000.0,0.134330901,1.0485486739215753E-8,3000.0,91.3,82.48312742618754,82.55347593582889,81.00436681222708,1465.0,1408.0,0.0,0.0
4000.0,0.174280091,1.3647547855046063E-8,4000.0,91.825,83.53955866888892,83.39258506856272,82.22826086956522,2465.0,1408.0,0.0,0.0
5000.0,0.207780593,1.628004610039708E-8,5000.0,92.36,84.60795576890594,84.47785453067857,83.34786399302527,201.0,1408.0,1.0,0.0
6000.0,0.233813538,1.8330586311190082E-8,6000.0,92.33333333333333,84.54008604450371,84.5689365984569,83.27880770628863,337.0,1408.0,2.0,0.0
7000.0,0.269526203,2.1157317700216343E-8,7000.0,92.60000000000001,85.07513185211359,85.002895193978,83.87799564270153,1337.0,1408.0,0.0,0.0
8000.0,0.303733224,2.3851706370109074E-8,8000.0,92.7375,85.34704120570899,85.3578629032258,84.13868413868413,2337.0,1408.0,0.0,0.0
9000.0,0.32970451,2.590770994063674E-8,9000.0,92.71111111111111,85.29349417959644,85.30136679363657,84.08153360834748,3337.0,1408.0,0.0,0.0
10000.0,0.354980638,2.7895185285970157E-8,10000.0,92.75999999999999,85.39899151399067,85.44723618090451,84.24031345232912,4337.0,1408.0,0.0,0.0
11000.0,0.379323864,2.981867689608907E-8,11000.0,92.80000000000001,85.47776163899397,85.51307847082495,84.30439952437575,5337.0,1408.0,0.0,0.0
12000.0,0.401013307,3.15408278557741E-8,12000.0,92.80000000000001,85.47665687769808,85.54942298043152,84.28805237315878,6337.0,1408.0,0.0,0.0
13000.0,0.420048624,3.3042785142802947E-8,13000.0,92.8076923076923,85.50306268821566,85.59543983977814,84.38804474870595,7337.0,1408.0,0.0,0.0
14000.0,0.439042997,3.454882361652123E-8,14000.0,92.85714285714286,85.6074225893682,85.69180140220347,84.52730929908712,8337.0,1408.0,0.0,0.0
15000.0,0.457958577,3.60373401342084E-8,15000.0,92.92666666666666,85.74354264446346,85.81171436212892,84.65654374548083,9337.0,1408.0,0.0,0.0
16000.0,0.476803624,3.752756056342481E-8,16000.0,92.93125,85.74106332017449,85.77895133911731,84.59128065395095,10337.0,1408.0,0.0,0.0
17000.0,0.495182872,3.898824999892671E-8,17000.0,93.04705882352941,85.9767745964645,86.03827072997875,84.86749455895533,11337.0,1408.0,0.0,0.0
18000.0,0.513481362,4.043206889603909E-8,18000.0,93.06666666666666,86.00590971230233,86.05898123324395,84.85436893203882,12337.0,1408.0,0.0,0.0
