learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.026437267,1.9909591964466704E-9,1000.0,93.89999999999999,87.42993735575337,87.23849372384936,86.0091743119266,1000.0,1408.0,0.0,0.0
2000.0,0.096063203,7.729383228810298E-9,2000.0,94.25,88.26235973519884,88.03329864724245,87.13646532438479,2000.0,1408.0,0.0,0.0
3000.0,0.138321267,1.1302985404158633E-8,3000.0,94.36666666666666,88.5159634902773,88.35286009648517,87.42559523809523,3000.0,1408.0,0.0,0.0
4000.0,0.175901981,1.4561774850541519E-8,4000.0,94.19999999999999,88.20799370957457,88.15722307299642,87.17523493642896,4000.0,1408.0,0.0,0.0
5000.0,0.206498272,1.728083264797512E-8,5000.0,94.0,87.78464027638636,87.64415156507413,86.66073810582479,5000.0,1408.0,0.0,0.0
6000.0,0.22591157,1.904765459606217E-8,6000.0,94.19999999999999,88.19092692174564,88.02065404475043,87.0631970260223,6000.0,1408.0,0.0,0.0
7000.0,0.24829855,2.113343856120275E-8,7000.0,94.31428571428572,88.44536203218959,88.20740740740742,87.3851030110935,7000.0,1408.0,0.0,0.0
8000.0,0.273946979,2.3578030142893807E-8,8000.0,94.27499999999999,88.38761237140169,88.2322713257965,87.38986784140968,8000.0,1408.0,0.0,0.0
9000.0,0.299078711,2.6027207754960077E-8,9000.0,94.11111111111111,88.0512937668334,87.89678008677781,86.99067255768287,9000.0,1408.0,0.0,0.0
10000.0,0.323616369,2.8471660811923858E-8,10000.0,94.14,88.12315726528765,87.97455366304125,87.10387323943662,10000.0,1408.0,0.0,0.0
11000.0,0.354010339,3.090426628678002E-8,11000.0,92.27272727272727,84.41227560470452,84.11808669656203,83.36269328635741,601.0,1408.0,2.0,0.0
12000.0,0.37951824,3.3000450350497326E-8,12000.0,92.28333333333333,84.47641426404066,84.13024850042844,83.61061946902653,1601.0,1408.0,0.0,0.0
13000.0,0.403908073,3.505699805203411E-8,13000.0,92.37692307692308,84.69701685074276,84.33201581027669,84.01612903225806,2601.0,1408.0,0.0,0.0
14000.0,0.427962844,3.7136819695074934E-8,14000.0,92.42142857142858,84.80522060458733,84.47241328845311,84.24647364513736,3601.0,1408.0,0.0,0.0
15000.0,0.45088408,3.916773197605171E-8,15000.0,92.43333333333334,84.84682772944547,84.45631333881128,84.44353070175438,4601.0,1408.0,0.0,0.0
16000.0,0.470275838,4.092745648756002E-8,16000.0,92.59375,85.17782853311785,84.7647210079712,84.91406747294717,5601.0,1408.0,0.0,0.0
17000.0,0.489277415,4.2692475807747485E-8,17000.0,92.67647058823529,85.34731332795641,84.90726148624076,85.15913696507332,6601.0,1408.0,0.0,0.0
18000.0,0.508223692,4.449294213869505E-8,18000.0,92.71666666666667,85.43014091532056,85.0444900752909,85.29114776169641,7601.0,1408.0,0.0,0.0
19000.0,0.527093115,4.6326524122522934E-8,19000.0,92.71052631578948,85.42043423182537,85.03026372676179,85.37641220568051,8601.0,1408.0,0.0,0.0
20000.0,0.546186677,4.8222785380147396E-8,20000.0,92.77499999999999,85.55001300498829,85.1734044736302,85.53843074459567,9601.0,1408.0,0.0,0.0
21000.0,0.566834233,4.9875328886902166E-8,21000.0,91.78571428571428,83.57176175547131,83.14606741573033,83.46751006325474,601.0,1408.0,2.0,0.0
22000.0,0.58583022,5.1436377960441423E-8,22000.0,91.40454545454546,82.80899799243542,82.37487184266939,82.61469155097913,1601.0,1408.0,0.0,0.0
23000.0,0.604430683,5.3004766699723484E-8,23000.0,91.09565217391304,82.1901844504642,81.73874275523852,81.92728556300742,2601.0,1408.0,0.0,0.0
24000.0,0.622946897,5.460571408036475E-8,24000.0,90.8375,81.67223479842521,81.23560030719345,81.32166822390215,3601.0,1408.0,0.0,0.0
25000.0,0.641665338,5.62642420806715E-8,25000.0,90.548,81.09244380632691,80.69444444444443,80.70862927585924,4601.0,1408.0,0.0,0.0
26000.0,0.660282147,5.795364306862569E-8,26000.0,90.23461538461538,80.46475847044509,80.02674638137192,80.04087728952125,5601.0,1408.0,0.0,0.0
27000.0,0.679233933,5.971403740021502E-8,27000.0,90.03703703703704,80.06606593735896,79.59493286808768,79.51880615197199,6601.0,1408.0,0.0,0.0
28000.0,0.698131252,6.15098512482167E-8,28000.0,89.79642857142856,79.5809520044452,79.13380075956762,78.9275704381177,7601.0,1408.0,0.0,0.0
29000.0,0.717218908,6.336463939701723E-8,29000.0,89.55172413793103,79.08892490015955,78.60169491525424,78.34322064184119,8601.0,1408.0,0.0,0.0
30000.0,0.736081542,6.523796623204937E-8,30000.0,89.33333333333333,78.64762604306347,78.11816192560175,77.80244173140954,9601.0,1408.0,0.0,0.0
31000.0,0.75600279,6.683237910245648E-8,31000.0,88.7258064516129,77.43531467286235,76.87421425263018,76.65018706574024,601.0,1408.0,2.0,0.0
32000.0,0.774533493,6.835519214450484E-8,32000.0,88.55937499999999,77.10689262234519,76.54107394591823,76.41716052563771,1601.0,1408.0,0.0,0.0
33000.0,0.792892384,6.990321156262936E-8,33000.0,88.43030303030302,76.85213228304765,76.27392493164305,76.23996515028936,2601.0,1408.0,0.0,0.0
34000.0,0.81131988,7.149648821480985E-8,34000.0,88.3264705882353,76.6474159065912,76.08459869848157,76.13062304546548,3601.0,1408.0,0.0,0.0
35000.0,0.829603385,7.311647916310776E-8,35000.0,88.19142857142857,76.37850338286351,75.85582427853723,75.90368470149255,4601.0,1408.0,0.0,0.0
36000.0,0.847888837,7.477581082805576E-8,36000.0,88.03333333333333,76.06335432250323,75.50741940985843,75.63486228154515,5601.0,1408.0,0.0,0.0
37000.0,0.866304732,7.648642729286518E-8,37000.0,87.94864864864866,75.89599226511811,75.31144454902831,75.59119772279396,6601.0,1408.0,0.0,0.0
38000.0,0.884595897,7.822463827417335E-8,38000.0,87.82631578947368,75.65237117397535,75.08885298869144,75.4497691450406,7601.0,1408.0,0.0,0.0
39000.0,0.902850023,7.999843053926403E-8,39000.0,87.6923076923077,75.38462023971987,74.78594316331353,75.27175312966874,8601.0,1408.0,0.0,0.0
40000.0,0.921319192,8.183268072449499E-8,40000.0,87.575,75.15,74.51412748064202,75.13134851138355,9601.0,1408.0,0.0,0.0
41000.0,0.94147679,8.344601005444924E-8,41000.0,87.34146341463415,74.68233306145069,74.02532405785496,74.58498604377847,601.0,1408.0,2.0,0.0
