learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.049944894,4.429450046867132E-9,1000.0,91.3,82.0525303869227,81.48936170212767,79.1866028708134,1000.0,6928.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
2000.0,0.137008499,1.273086075907573E-8,2000.0,93.55,86.85288686144777,86.64596273291926,85.2233676975945,2000.0,11536.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
3000.0,0.196973224,1.8487145882758E-8,3000.0,94.23333333333333,88.3306592030852,88.20722563053852,87.19467061435974,3000.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
4000.0,0.2226405,2.0951063777891296E-8,4000.0,95.025,89.95270703860837,89.84175599795815,89.05992303463442,4000.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
5000.0,0.248980627,2.3493908780457242E-8,5000.0,95.42,90.7454675422128,90.66068515497554,89.89854433171594,5000.0,15920.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
6000.0,0.276081453,2.6110190773308273E-8,6000.0,95.95,91.8069101127005,91.70648464163823,91.00333209922252,6000.0,15920.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
7000.0,0.306934936,2.909009082206628E-8,7000.0,96.3,92.51233626672438,92.44897959183673,91.76470588235294,7000.0,15920.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
8000.0,0.334431733,3.1747729305430416E-8,8000.0,96.6125,93.15537735402295,93.1288032454361,92.52413793103449,8000.0,16184.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
9000.0,0.359719863,3.42053447251146E-8,9000.0,96.77777777777777,93.49761140609644,93.47434743474346,92.93716512420846,9000.0,18224.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
10000.0,0.384965066,3.6674410341168857E-8,10000.0,96.87,93.68526590558452,93.66524994940295,93.14198071866784,10000.0,20592.0,0.0,0.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
11000.0,0.414203774,3.942936736127775E-8,11000.0,96.26363636363637,92.49205213720934,92.40576496674058,92.01476588303866,985.0,6928.0,1.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
12000.0,0.440235918,4.1914679888364756E-8,12000.0,96.23333333333333,92.44481876145396,92.34935680433311,92.05903021784962,1985.0,11536.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
13000.0,0.473039847,4.506768295890548E-8,13000.0,96.18461538461538,92.35297182988046,92.26088313309407,92.01673909544502,2985.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
14000.0,0.496629609,4.733505135917622E-8,14000.0,96.27142857142857,92.53209192475725,92.4358788581365,92.26093402520385,3985.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
15000.0,0.520740219,4.966600466606725E-8,15000.0,96.30666666666666,92.60770546451221,92.50743846361914,92.40887914497121,4985.0,15984.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
16000.0,0.543295394,5.184756270479618E-8,16000.0,96.45625,92.91031460447682,92.79634099860246,92.78901182754673,5985.0,15984.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
17000.0,0.566144822,5.405852696047682E-8,17000.0,96.57058823529412,93.14054606541002,93.03631151457239,93.07600950118766,6985.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
18000.0,0.588536475,5.622519583326454E-8,18000.0,96.6888888888889,93.37750347560693,93.29206527855938,93.33258753775591,7985.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
19000.0,0.612336949,5.854251949173502E-8,19000.0,96.7421052631579,93.48413948358174,93.40507138291072,93.45596786129612,8985.0,18448.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
20000.0,0.636373952,6.089595619423314E-8,20000.0,96.82,93.63999917319988,93.56405585913782,93.63490792634106,9985.0,20528.0,0.0,0.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
21000.0,0.662823194,6.338808152769381E-8,21000.0,96.10952380952381,92.21885324917777,92.11313833381601,92.17283004406976,969.0,6928.0,1.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
22000.0,0.685061439,6.548440085722547E-8,22000.0,95.7090909090909,91.41744840013601,91.29873721080284,91.32273186873793,1969.0,6928.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
23000.0,0.706998934,6.755332300780548E-8,23000.0,95.35652173913044,90.71063948307228,90.56703762586118,90.55201698513801,2969.0,6928.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
24000.0,0.728914462,6.96201734536224E-8,24000.0,95.1,90.19577866995357,90.03305364861428,89.98296422487222,3969.0,6928.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
25000.0,0.750791837,7.16834256952318E-8,25000.0,94.808,89.60961115770866,89.42824564261281,89.34668417596849,4969.0,6928.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
