learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.051624964,4.725786924949951E-9,1000.0,92.10000000000001,83.99695334402905,84.92366412213741,82.1266968325792,1000.0,6928.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
2000.0,0.135430224,1.3033573684228792E-8,2000.0,93.65,87.20436542720292,87.46298124383021,86.19565217391305,2000.0,9232.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
3000.0,0.20658966,2.0326334657578008E-8,3000.0,94.36666666666666,88.64280894919774,88.87425938117183,87.68221574344022,3000.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
4000.0,0.256423287,2.5540579364835803E-8,4000.0,95.25,90.43603621017364,90.59871350816428,89.68512486427797,4000.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
5000.0,0.291282713,2.9263130876949678E-8,5000.0,95.89999999999999,91.75082169863859,91.87797147385103,91.1408815903198,5000.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
6000.0,0.31793748,3.216662286306007E-8,6000.0,96.25,92.44789551378142,92.57670735730782,91.83895538628944,6000.0,13840.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
7000.0,0.350023933,3.574718451440541E-8,7000.0,96.41428571428573,92.78501648728448,92.9055963821368,92.25069465884533,7000.0,15760.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
8000.0,0.375998473,3.870242494359819E-8,8000.0,96.625,93.20108349547911,93.3217907494435,92.65505984766051,8000.0,15920.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
9000.0,0.401049,4.1607647182154986E-8,9000.0,96.72222222222221,93.38821323871464,93.49933891582195,92.80312271285679,9000.0,16144.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
10000.0,0.427565351,4.47540997725332E-8,10000.0,96.8,93.540344565288,93.6444885799404,92.94377067254686,10000.0,18128.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
11000.0,0.459216533,4.777822517845573E-8,11000.0,94.7090909090909,89.35330773869843,89.53237410071944,88.56132075471699,601.0,4624.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
12000.0,0.484961622,5.032314210856127E-8,12000.0,94.6,89.15301901360266,89.28748553479913,88.44713852736672,1601.0,9072.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
13000.0,0.509102617,5.277574348414731E-8,13000.0,94.74615384615385,89.46289107698297,89.58047292143401,88.9069351957122,2601.0,11376.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
14000.0,0.531828246,5.513417083937054E-8,14000.0,94.90714285714286,89.79395402097559,89.89512471655328,89.33911483253588,3601.0,11536.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
15000.0,0.554559363,5.754185873549431E-8,15000.0,95.16,90.30581840328479,90.39682539682539,89.9390243902439,4601.0,11536.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
16000.0,0.576987195,5.996546393425514E-8,16000.0,95.375,90.74222867958723,90.82682533779595,90.47864127637673,5601.0,11536.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
17000.0,0.599184898,6.241174925293566E-8,17000.0,95.57058823529412,91.13579685010774,91.21763470958712,90.91786274273309,6601.0,11536.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
18000.0,0.621357643,6.490277903863332E-8,18000.0,95.75,91.49783982152503,91.57303370786518,91.35983736164445,7601.0,11536.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
19000.0,0.643230178,6.74069331753792E-8,19000.0,95.87894736842105,91.75748046461372,91.82160016711927,91.69759304421589,8601.0,11536.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
20000.0,0.665526273,7.000733923936884E-8,20000.0,95.975,91.95000032199998,92.00595829195629,91.94113524877365,9601.0,11536.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
21000.0,0.691078845,7.244877040525278E-8,21000.0,94.73333333333333,89.46654007406438,89.55026455026456,89.40105414470533,601.0,4624.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
22000.0,0.714526659,7.475247880419095E-8,22000.0,94.37727272727273,88.75406141447809,88.82363570654141,88.64616796695734,1601.0,6768.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
23000.0,0.736652629,7.697371300241599E-8,23000.0,94.17826086956522,88.35546408948692,88.41795692414152,88.19744380784488,2601.0,6768.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
24000.0,0.759516451,7.933176555442313E-8,24000.0,93.925,87.84694823366756,87.87828400399069,87.60414895425949,3601.0,9072.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
25000.0,0.783238952,8.184347926753883E-8,25000.0,93.77600000000001,87.54737559340037,87.60554404970529,87.25947760582986,4601.0,11376.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
