learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.030564891,2.446411787085235E-9,1000.0,78.60000000000001,67.80696212052834,67.3780487804878,66.35220125786164,1000.0,7888.0,0.0,15.0
2000.0,0.114586935,9.542443156329295E-9,2000.0,78.9,68.37714821825463,68.36581709145428,67.38794435857805,2000.0,7888.0,0.0,1.0
3000.0,0.150689656,1.2591476821007415E-8,3000.0,79.86666666666666,69.8416185663784,69.9053313403089,69.13643331630045,3000.0,7888.0,0.0,0.0
4000.0,0.201411054,1.6875122090335935E-8,4000.0,80.575,70.90023875286737,70.89887640449437,70.27543993879112,4000.0,7888.0,0.0,0.0
5000.0,0.228865169,1.9193742918637063E-8,5000.0,80.78,71.20838383101184,71.17576484703059,70.78139252052296,5000.0,7888.0,0.0,0.0
6000.0,0.250636018,2.1032386923049472E-8,6000.0,80.81666666666666,71.24331920386217,71.24656507619285,70.83122149011658,6000.0,7888.0,0.0,0.0
7000.0,0.277381082,2.3291125274099822E-8,7000.0,80.88571428571429,71.3143503714127,71.33061924148275,71.01386481802425,7000.0,7888.0,0.0,0.0
8000.0,0.305844198,2.5694960677133252E-8,8000.0,80.65,70.96539158611091,70.94049183405293,70.65402843601895,8000.0,7888.0,0.0,0.0
9000.0,0.330115019,2.7744738318502074E-8,9000.0,80.62222222222222,70.95084674506236,70.99617495426574,70.70876721531742,9000.0,7888.0,0.0,0.0
10000.0,0.353770094,2.9742513500474807E-8,10000.0,80.84,71.26491082673971,71.3001797483523,71.00922983809956,10000.0,7888.0,0.0,0.0
11000.0,0.377244829,3.1725058175830375E-8,11000.0,80.82727272727273,71.23957755465669,71.23567921440261,70.92237694747001,11000.0,7888.0,0.0,0.0
12000.0,0.400676508,3.370396658251062E-8,12000.0,80.7,71.06021875733921,71.08975159156161,70.72430792567313,12000.0,7888.0,0.0,0.0
13000.0,0.424057795,3.56786191630322E-8,13000.0,80.77692307692308,71.17867738456367,71.2229387379088,70.85034410358101,13000.0,7888.0,0.0,0.0
14000.0,0.447620309,3.766857716122435E-8,14000.0,80.91428571428571,71.38775470399639,71.41328768588852,71.05405698190879,14000.0,7888.0,0.0,0.0
15000.0,0.471005646,3.9643571782068657E-8,15000.0,80.92666666666666,71.40672325445925,71.42143641993806,71.115598182736,15000.0,7888.0,0.0,0.0
16000.0,0.494374829,4.1617202126524514E-8,16000.0,80.95625,71.44455780376035,71.46736585822642,71.15402821168229,16000.0,7888.0,0.0,0.0
17000.0,0.517696866,4.3586850783806296E-8,17000.0,80.97647058823529,71.46212908047875,71.49153737658675,71.20982818481261,17000.0,7888.0,0.0,0.0
18000.0,0.540963515,4.555182168074366E-8,18000.0,80.87777777777778,71.31504875573607,71.32622459180273,71.0561722166162,18000.0,7888.0,0.0,0.0
19000.0,0.563691189,4.747127376707891E-8,19000.0,80.85263157894737,71.29004587320847,71.33175728920409,71.06037705830882,19000.0,7888.0,0.0,0.0
20000.0,0.586418512,4.939069620991953E-8,20000.0,80.96,71.44460919701798,71.48206395566538,71.22128174123338,20000.0,7888.0,0.0,0.0
21000.0,0.609060228,5.130288876488183E-8,21000.0,80.94761904761904,71.42286267715667,71.43978870725961,71.1660420870568,21000.0,7888.0,0.0,0.0
22000.0,0.63164544,5.3210309308388577E-8,22000.0,80.86818181818181,71.30989131450166,71.34395424836602,71.04031925141048,22000.0,7888.0,0.0,0.0
23000.0,0.654438607,5.513529256678703E-8,23000.0,80.90434782608695,71.36637949898987,71.40811145107739,71.09955912351121,23000.0,7888.0,0.0,0.0
24000.0,0.67704486,5.704449011533831E-8,24000.0,80.975,71.47438455881864,71.50346377082943,71.20151371807,24000.0,7888.0,0.0,0.0
25000.0,0.699618349,5.8950920599905973E-8,25000.0,80.984,71.48788156999217,71.5124640460211,71.23842942706759,25000.0,7888.0,0.0,0.0
26000.0,0.722317087,6.086792891370339E-8,26000.0,80.99615384615385,71.50223598506227,71.52981849611064,71.25152731715832,26000.0,7888.0,0.0,0.0
27000.0,0.745027368,6.278591208464776E-8,27000.0,81.0037037037037,71.50555579007772,71.53876033516453,71.27737021896175,27000.0,7888.0,0.0,0.0
28000.0,0.768421222,6.476162600362259E-8,28000.0,80.93928571428572,71.40946509980193,71.43086558535411,71.1747231974075,28000.0,7888.0,0.0,0.0
29000.0,0.791374139,6.670010085252838E-8,29000.0,80.92068965517242,71.3897923870901,71.43078432384985,71.17478510028653,29000.0,7888.0,0.0,0.0
30000.0,0.813912445,6.86035599779172E-8,30000.0,80.99,71.48949363594306,71.52628688401818,71.27675648451272,30000.0,7888.0,0.0,0.0
31000.0,0.836461472,7.050792453893563E-8,31000.0,80.98064516129033,71.47332984521425,71.49625332366448,71.2376213473828,31000.0,7888.0,0.0,0.0
32000.0,0.859002137,7.241158289225565E-8,32000.0,80.928125,71.39875975218287,71.43325219996255,71.15375525830694,32000.0,7888.0,0.0,0.0
