learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.055390932,4.2011164232343434E-9,1000.0,80.80000000000001,71.07654021189448,71.68141592920355,69.32907348242813,1000.0,7888.0,0.0,0.0
2000.0,0.224487762,1.7909897097622357E-8,2000.0,80.85,71.17986473348523,72.06418672501823,69.98432601880877,2000.0,7888.0,0.0,0.0
3000.0,0.296164346,2.3689608556470937E-8,3000.0,81.13333333333334,71.66472257961162,72.5376031052887,71.0189452124936,3000.0,7888.0,0.0,0.0
4000.0,0.356223523,2.8555658618542883E-8,4000.0,81.0,71.51313511535541,71.94536729420452,71.00343380389165,4000.0,7888.0,0.0,0.0
5000.0,0.40329934,3.234406375428869E-8,5000.0,80.62,70.94245754959935,71.24629080118694,70.23955773955774,5000.0,7888.0,0.0,0.0
6000.0,0.449936643,3.61151325479274E-8,6000.0,80.66666666666666,70.99885445475095,71.42857142857142,70.46843177189407,6000.0,7888.0,0.0,0.0
7000.0,0.511154207,4.108871938782848E-8,7000.0,80.60000000000001,70.92763565556362,71.20441051738763,70.5295138888889,7000.0,7888.0,0.0,0.0
8000.0,0.572827809,4.606336228950571E-8,8000.0,80.3625,70.57787414933817,70.71761416589003,70.06478658536585,8000.0,7888.0,0.0,0.0
9000.0,0.643881557,5.18228496199391E-8,9000.0,80.35555555555555,70.56103866694345,70.62634989200865,70.09978014544225,9000.0,7888.0,0.0,0.0
10000.0,0.69413012,5.586845196355549E-8,10000.0,80.54,70.83688780618044,70.89875878570359,70.35795887281036,10000.0,7888.0,0.0,0.0
11000.0,0.743668886,5.987597705452807E-8,11000.0,80.67272727272727,71.02803905042732,71.13374066530889,70.62724509533021,11000.0,7888.0,0.0,0.0
12000.0,0.797231041,6.422959980619037E-8,12000.0,80.79166666666666,71.18909480364805,71.33084577114428,70.88175846387064,12000.0,7888.0,0.0,0.0
13000.0,0.842975213,6.792220209931748E-8,13000.0,80.84615384615384,71.25976775015656,71.38588830153986,70.92819614711033,13000.0,7888.0,0.0,0.0
14000.0,0.873523015,7.039986858740035E-8,14000.0,80.64285714285714,70.98757780456408,71.11490087401407,70.56907037358818,14000.0,7888.0,0.0,0.0
15000.0,0.897973463,7.237054352708575E-8,15000.0,80.58,70.8972744922913,71.04661564456812,70.47734873821831,15000.0,7888.0,0.0,0.0
16000.0,0.931253909,7.506571624587394E-8,16000.0,80.63125,70.99787489712475,71.0373831775701,70.4603946239634,16000.0,7888.0,0.0,0.0
17000.0,0.964718036,7.778906157584654E-8,17000.0,80.60000000000001,70.95526123353295,71.03460389952573,70.40825482279051,17000.0,7888.0,0.0,0.0
18000.0,0.998344152,8.050471189786991E-8,18000.0,80.5,70.80955081373645,70.8495972095341,70.25171624713961,18000.0,7888.0,0.0,0.0
19000.0,1.030225075,8.30916926186118E-8,19000.0,80.5421052631579,70.86281629200423,70.95836606441478,70.37422870422309,19000.0,7888.0,0.0,0.0
20000.0,1.057086194,8.525766522246517E-8,20000.0,80.545,70.86654366098611,70.95835199283475,70.3926343022371,20000.0,7888.0,0.0,0.0
21000.0,1.079806527,8.709876974622409E-8,21000.0,80.57619047619048,70.9047506745109,71.02159704461495,70.4890753870641,21000.0,7888.0,0.0,0.0
22000.0,1.103076371,8.896966620590952E-8,22000.0,80.56818181818181,70.88910684864078,71.05423522242535,70.50300144897537,22000.0,7888.0,0.0,0.0
23000.0,1.12396779,9.06573792752251E-8,23000.0,80.56521739130434,70.88637489311198,71.0848049679798,70.4989440337909,23000.0,7888.0,0.0,0.0
24000.0,1.147952776,9.260423906320914E-8,24000.0,80.5625,70.88787760926758,71.03743713913207,70.47655211695464,24000.0,7888.0,0.0,0.0
25000.0,1.175938669,9.486195147446875E-8,25000.0,80.524,70.83045601852224,70.96254770992367,70.42279188433969,25000.0,7888.0,0.0,0.0
26000.0,1.198179421,9.666474630189025E-8,26000.0,80.54615384615384,70.85825122596643,71.02760911902853,70.48835988097323,26000.0,7888.0,0.0,0.0
27000.0,1.220981854,9.849947865842117E-8,27000.0,80.54814814814814,70.86693703797046,71.00585182731588,70.47115708984595,27000.0,7888.0,0.0,0.0
28000.0,1.24466493,1.0041418614869317E-7,28000.0,80.48571428571428,70.77461747255708,70.8788573255876,70.37679587964219,28000.0,7888.0,0.0,0.0
29000.0,1.265374828,1.0209675025968088E-7,29000.0,80.48275862068965,70.76784160673762,70.8502858320029,70.38819713299152,29000.0,7888.0,0.0,0.0
30000.0,1.286390591,1.0379320362745888E-7,30000.0,80.55,70.86716657177567,70.94846900672144,70.50199686567919,30000.0,7888.0,0.0,0.0
31000.0,1.306779188,1.0544687885836181E-7,31000.0,80.60000000000001,70.93866756947378,71.0350142079661,70.59743815390634,31000.0,7888.0,0.0,0.0
32000.0,1.32851597,1.0719748618074176E-7,32000.0,80.65,71.00645349602918,71.11670864819479,70.70955534531693,32000.0,7888.0,0.0,0.0
33000.0,1.349085884,1.0886229162797746E-7,33000.0,80.67575757575757,71.03989635645962,71.1447963800905,70.7758581183264,33000.0,7888.0,0.0,0.0
34000.0,1.369720474,1.1054027477927093E-7,34000.0,80.59411764705882,70.93001358266258,71.03599648814752,70.5997682915961,34000.0,7888.0,0.0,0.0
35000.0,1.390041834,1.1218092626525712E-7,35000.0,80.56857142857143,70.89290853635246,71.00899441578926,70.5597160296091,35000.0,7888.0,0.0,0.0
36000.0,1.410701318,1.1385682909975864E-7,36000.0,80.59166666666667,70.93775249417652,71.00589260519546,70.55005268703897,36000.0,7888.0,0.0,0.0
37000.0,1.432857548,1.1564314324920791E-7,37000.0,80.57837837837837,70.91987032621545,71.00548741123306,70.52381147709093,37000.0,7888.0,0.0,0.0
38000.0,1.454709808,1.1741336220956925E-7,38000.0,80.53421052631579,70.85579537007926,70.92259915877194,70.45100467383054,38000.0,7888.0,0.0,0.0
39000.0,1.475651878,1.190976256413468E-7,39000.0,80.55384615384615,70.8804696926996,70.97366809552969,70.50519192626298,39000.0,7888.0,0.0,0.0
40000.0,1.4970698,1.20828404169956E-7,40000.0,80.5575,70.88558608485104,70.97701149425288,70.51486199575372,40000.0,7888.0,0.0,0.0
41000.0,1.521134311,1.2278261547002525E-7,41000.0,80.57560975609756,70.90833919338722,71.01259372497636,70.56475458308694,41000.0,7888.0,0.0,0.0
42000.0,1.546921265,1.2486165151548054E-7,42000.0,80.57142857142857,70.90010299055724,71.02992863989776,70.57020232985897,42000.0,7888.0,0.0,0.0
43000.0,1.567099197,1.264962356640895E-7,43000.0,80.56976744186046,70.8983686124343,71.04688637072461,70.56647643204397,43000.0,7888.0,0.0,0.0
44000.0,1.589332539,1.2828655817344784E-7,44000.0,80.56590909090909,70.89553110380878,71.0184714455177,70.54933700706046,44000.0,7888.0,0.0,0.0
45000.0,1.609382156,1.2990900493377613E-7,45000.0,80.54444444444444,70.86358182505651,70.9772591659484,70.51791487068965,45000.0,7888.0,0.0,0.0
46000.0,1.629688193,1.315600183478039E-7,46000.0,80.55652173913043,70.87851276064097,71.01374124967592,70.55279359957859,46000.0,7888.0,0.0,0.0
47000.0,1.650185637,1.3321386791267743E-7,47000.0,80.55744680851063,70.88304327362492,71.001523229246,70.54158607350097,47000.0,7888.0,0.0,0.0
48000.0,1.670162435,1.348333988190732E-7,48000.0,80.52291666666666,70.831996759551,70.93063026647182,70.48833612172102,48000.0,7888.0,0.0,0.0
49000.0,1.690952483,1.3650724304249302E-7,49000.0,80.52040816326532,70.82683306359202,70.9126923662959,70.49276616792383,49000.0,7888.0,0.0,0.0
50000.0,1.711506427,1.3816999027964553E-7,50000.0,80.56,70.8851743771016,70.97034315921512,70.55883689232168,50000.0,7888.0,0.0,0.0
51000.0,1.731686444,1.3981025626857245E-7,51000.0,80.5921568627451,70.9311903278151,71.02543836538744,70.61861790548564,51000.0,7888.0,0.0,0.0
52000.0,1.756095312,1.4178121711802976E-7,52000.0,80.62307692307692,70.97303567962496,71.07589849580893,70.68714726246583,52000.0,7888.0,0.0,0.0
53000.0,1.776331118,1.4342325364221299E-7,53000.0,80.63962264150943,70.99449866017169,71.09414614907882,70.72885465696763,53000.0,7888.0,0.0,0.0
54000.0,1.798839293,1.4523794285065594E-7,54000.0,80.58888888888889,70.92617361650942,71.02659074575709,70.61890346451395,54000.0,7888.0,0.0,0.0
55000.0,1.820995925,1.4703281853235427E-7,55000.0,80.57272727272728,70.90262220226292,71.00957755650217,70.59309205999725,55000.0,7888.0,0.0,0.0
56000.0,1.848165986,1.492179673825618E-7,56000.0,80.5875,70.93127642512562,71.00757414124173,70.58632538759166,56000.0,7888.0,0.0,0.0
57000.0,1.870646388,1.510348838874449E-7,57000.0,80.57894736842105,70.91979621357855,71.00728091770992,70.5686863584399,57000.0,7888.0,0.0,0.0
58000.0,1.891567573,1.5273383451801616E-7,58000.0,80.55344827586207,70.88298499237044,70.95810695985787,70.52551807040008,58000.0,7888.0,0.0,0.0
59000.0,1.91198808,1.5438071564797307E-7,59000.0,80.56610169491526,70.89881765596601,70.99124626827911,70.55999178370607,59000.0,7888.0,0.0,0.0
60000.0,1.935333831,1.5627249988267813E-7,60000.0,80.56833333333333,70.90191364279963,70.99318306214857,70.56551375915173,60000.0,7888.0,0.0,0.0
61000.0,1.95973836,1.5823583725129557E-7,61000.0,80.58032786885246,70.91693900705373,71.01683303973381,70.59816331595931,61000.0,7888.0,0.0,0.0
62000.0,1.980882016,1.5994497750081942E-7,62000.0,80.57741935483871,70.91123233189433,71.02850956333452,70.6013036791094,62000.0,7888.0,0.0,0.0
63000.0,2.001659238,1.6163249530474337E-7,63000.0,80.57619047619048,70.90986741243567,71.04011359602414,70.59827006246996,63000.0,7888.0,0.0,0.0
64000.0,2.023385242,1.6338520224455323E-7,64000.0,80.5734375,70.90774081622524,71.02067454490361,70.58600865882798,64000.0,7888.0,0.0,0.0
65000.0,2.047308126,1.6532464469214274E-7,65000.0,80.55846153846153,70.88546706833631,70.99210357175649,70.56370836245051,65000.0,7888.0,0.0,0.0
66000.0,2.069481811,1.6711043871285593E-7,66000.0,80.56666666666666,70.89552745291347,71.01730916979255,70.58729103125646,66000.0,7888.0,0.0,0.0
67000.0,2.089577998,1.6873665399133737E-7,67000.0,80.56716417910448,70.89844333753777,71.00868403473613,70.57893071812717,67000.0,7888.0,0.0,0.0
68000.0,2.109528865,1.7035878976497377E-7,68000.0,80.54117647058824,70.85998060500242,70.95634232533638,70.53859684278494,68000.0,7888.0,0.0,0.0
69000.0,2.129670916,1.7198496468161121E-7,69000.0,80.5391304347826,70.85591416730595,70.94324107934997,70.54100302751087,69000.0,7888.0,0.0,0.0
70000.0,2.150026167,1.7363618805427096E-7,70000.0,80.56714285714285,70.8971477409793,70.98398071713487,70.58747216156024,70000.0,7888.0,0.0,0.0
71000.0,2.170145156,1.7525825258074112E-7,71000.0,80.5887323943662,70.92792058676895,71.0212578060935,70.62785047525682,71000.0,7888.0,0.0,0.0
72000.0,2.190306428,1.7689148712762104E-7,72000.0,80.61111111111111,70.9581841273155,71.05776008624622,70.67719710972946,72000.0,7888.0,0.0,0.0
73000.0,2.210370012,1.7850460014523306E-7,73000.0,80.62191780821918,70.9719248225829,71.06920811518324,70.70554370560583,73000.0,7888.0,0.0,0.0
74000.0,2.231706986,1.8022830737064684E-7,74000.0,80.58513513513513,70.9223771408486,71.02025173471034,70.62563892864445,74000.0,7888.0,0.0,0.0
75000.0,2.260699743,1.8258164761216678E-7,75000.0,80.57333333333332,70.90515409911333,71.00785991443638,70.6066291432145,75000.0,7888.0,0.0,0.0
76000.0,2.281481016,1.8425710783276695E-7,76000.0,80.58552631578947,70.92820911088802,71.00837033835029,70.6034706034706,76000.0,7888.0,0.0,0.0
77000.0,2.302051885,1.8592377866267732E-7,77000.0,80.57922077922079,70.91975528288823,71.00814269096549,70.59020197848447,77000.0,7888.0,0.0,0.0
78000.0,2.322291729,1.8755282230875132E-7,78000.0,80.56025641025641,70.89238942354031,70.97157078587155,70.55785324556805,78000.0,7888.0,0.0,0.0
79000.0,2.342383888,1.8917771364676028E-7,79000.0,80.56962025316456,70.90408826414664,70.99614541606833,70.58316245376669,79000.0,7888.0,0.0,0.0
80000.0,2.362705251,1.9082896379165337E-7,80000.0,80.57125,70.90634109351794,70.99753694581283,70.5870108243131,80000.0,7888.0,0.0,0.0
81000.0,2.383908584,1.925392418778976E-7,81000.0,80.58024691358024,70.91760108381516,71.01529390086604,70.61131455048202,81000.0,7888.0,0.0,0.0
82000.0,2.404156738,1.9418026890841195E-7,82000.0,80.5780487804878,70.9132821350256,71.0241435147281,70.61352523295508,82000.0,7888.0,0.0,0.0
83000.0,2.427463415,1.9605673146701508E-7,83000.0,80.57710843373495,70.9122198995002,71.03300810378596,70.61107667626791,83000.0,7888.0,0.0,0.0
84000.0,2.448900442,1.9779091724746744E-7,84000.0,80.575,70.91057354236095,71.01827676240208,70.60158910329172,84000.0,7888.0,0.0,0.0
85000.0,2.469766501,1.9948720500015537E-7,85000.0,80.5635294117647,70.8935203315948,70.99645377620168,70.58436008831279,85000.0,7888.0,0.0,0.0
86000.0,2.489870317,2.0111104192737063E-7,86000.0,80.56976744186046,70.90114137761073,71.0157496704364,70.60220615400856,86000.0,7888.0,0.0,0.0
87000.0,2.510340116,2.0277232002367977E-7,87000.0,80.57011494252873,70.90331960652644,71.00912396240653,70.59560256053437,87000.0,7888.0,0.0,0.0
88000.0,2.530431265,2.0439238947476763E-7,88000.0,80.55,70.87354500499437,70.96867208304357,70.5642595490739,88000.0,7888.0,0.0,0.0
89000.0,2.549985578,2.0597694081577562E-7,89000.0,80.54831460674158,70.87024241776516,70.95838016473472,70.5658324265506,89000.0,7888.0,0.0,0.0
90000.0,2.570589631,2.0765448755912055E-7,90000.0,80.56888888888889,70.90047601716172,70.98823802651006,70.6000033623052,90000.0,7888.0,0.0,0.0
91000.0,2.591069929,2.0930847958897123E-7,91000.0,80.58571428571429,70.92444609737566,71.0172744721689,70.63135846798325,91000.0,7888.0,0.0,0.0
92000.0,2.610890196,2.1091679715897875E-7,92000.0,80.60326086956522,70.94816649883781,71.04588525441329,70.66993195489958,92000.0,7888.0,0.0,0.0
93000.0,2.635066308,2.1286536096678414E-7,93000.0,80.61182795698925,70.95906147951321,71.05499727100522,70.69226143068445,93000.0,7888.0,0.0,0.0
94000.0,2.664834008,2.1527605861612068E-7,94000.0,80.58297872340425,70.92019543602657,71.016610029536,70.62950566426365,94000.0,7888.0,0.0,0.0
95000.0,2.694540449,2.176663021703974E-7,95000.0,80.57368421052632,70.90662007137912,71.00686534805901,70.61446109262297,95000.0,7888.0,0.0,0.0
96000.0,2.724266297,2.2006955011928238E-7,96000.0,80.58333333333333,70.92485657379638,71.00727928824736,70.61188452867076,96000.0,7888.0,0.0,0.0
97000.0,2.745943019,2.2183066330685374E-7,97000.0,80.57835051546391,70.91818245125621,71.00711009880267,70.60127026731791,97000.0,7888.0,0.0,0.0
98000.0,2.766909165,2.2352180969675372E-7,98000.0,80.56326530612245,70.89642029240565,70.97801410875626,70.57542287788677,98000.0,7888.0,0.0,0.0
99000.0,2.787042842,2.2515355885179496E-7,99000.0,80.57070707070707,70.90571203892154,70.99755737161124,70.59542918290911,99000.0,7888.0,0.0,0.0
100000.0,2.807018848,2.2676235919655186E-7,100000.0,80.572,70.90749655255968,70.99865651589789,70.59838372832108,100000.0,7888.0,0.0,0.0
