learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.197041287,1.83109356894965E-8,1000.0,79.80000000000001,69.76971104632717,70.02967359050446,68.13880126182966,334.0,12304.0,1.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.387776645,3.6893255411266455E-8,2000.0,79.0,68.61309095664684,68.84272997032642,67.05882352941178,420.0,12304.0,1.0,49.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.557048856,5.336947214873922E-8,3000.0,79.10000000000001,68.74939774889336,68.72817955112221,67.54658385093168,655.0,12304.0,2.0,32.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.734653205,7.069603285456076E-8,4000.0,79.45,69.23353896083844,68.93424036281178,68.48159509202453,155.0,12304.0,1.0,45.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.841695298,8.116200746278796E-8,5000.0,79.3,69.00149595485996,68.853445681613,68.38729383017716,291.0,12304.0,2.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.977766971,9.440662902786293E-8,6000.0,79.63333333333334,69.51102495392868,69.38110749185668,68.87417218543047,1291.0,12304.0,0.0,51.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,1.082017108,1.0428828497133942E-7,7000.0,79.61428571428571,69.46576272608105,69.469405220368,68.96476729012615,48.0,12304.0,2.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,1.154340988,1.113439911201824E-7,8000.0,79.7375,69.62544244895011,69.69527014395214,69.25265553869497,787.0,12304.0,1.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,1.244923744,1.20160920441993E-7,9000.0,79.60000000000001,69.4041355410127,69.55223880597016,68.93926577567248,377.0,12304.0,3.0,35.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,1.324464188,1.2790303940526936E-7,10000.0,79.33,69.00779699054463,69.20899746760017,68.60094181983898,730.0,12304.0,2.0,35.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
