learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.160559228,1.5639763377292288E-8,1000.0,79.7,69.50688273218331,68.08176100628931,68.57585139318886,1000.0,12304.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.35912128,3.5828266196888355E-8,2000.0,78.60000000000001,67.91921638938277,66.77018633540374,66.7185069984448,258.0,12304.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.505070888,5.066747662480507E-8,3000.0,79.06666666666666,68.59634670833373,67.37662337662339,67.67884714359238,1258.0,12304.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.666298431,6.654351580115035E-8,4000.0,78.5,67.77001884704363,66.62786185487,66.7825415218231,125.0,12304.0,1.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.750966419,7.488075315810947E-8,5000.0,78.8,68.2055767418395,67.0192906036092,67.44471744471745,1125.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.885158138,8.809458094673438E-8,6000.0,78.51666666666667,67.79509586018324,66.65804449042938,66.96565863659661,144.0,12304.0,1.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.95888339,9.559048685063505E-8,7000.0,78.77142857142857,68.16681007719686,66.99977792582723,67.44084136722174,1144.0,12304.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,1.049273941,1.0474919706682364E-7,8000.0,78.5625,67.86388528437651,66.73132880698351,67.13929871622916,230.0,12304.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,1.100295672,1.0993675606804797E-7,9000.0,78.73333333333333,68.11201645513249,66.95441988950276,67.45451453834382,1230.0,12304.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,1.194165643,1.191801105802382E-7,10000.0,78.58000000000001,67.89019225260195,66.75977653631286,67.23768736616704,127.0,12304.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
