learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.102593939,9.899202784022523E-9,1000.0,80.80000000000001,71.3576902364035,71.47102526002972,70.0,1000.0,12304.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.202701493,1.9999589334577324E-8,2000.0,81.65,72.53321927509403,72.52994011976048,72.09125475285171,2000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.2745006,2.7243785258939285E-8,3000.0,81.33333333333333,72.01970279261685,72.29094507669471,71.67425392008091,3000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.30395302,3.0215397439667334E-8,4000.0,81.0,71.43534211157845,71.7367050948308,71.11364500190042,4000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.353252751,3.522185480966543E-8,5000.0,80.92,71.33655481613482,71.66617166617168,70.91463414634147,5000.0,12304.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.406672316,4.06466871458975E-8,6000.0,80.93333333333334,71.35808972478979,71.59880834160874,70.91278921942539,6000.0,12304.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.437974166,4.382543425969158E-8,7000.0,80.88571428571429,71.3147940412319,71.48945237587897,70.90039147455416,7000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.469182936,4.699472896791373E-8,8000.0,80.9375,71.40329917793392,71.55911973144349,71.09004739336491,8000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.526640384,5.31756545361566E-8,9000.0,80.71111111111111,71.05041630034992,71.19150348489877,70.73499662845583,9000.0,35552.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.599432173,6.105180302641043E-8,10000.0,80.54,70.77964531114212,70.88134071524765,70.44798785117692,10000.0,36896.0,0.0,2.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
11000.0,0.640512941,6.549678553483138E-8,11000.0,80.26363636363637,70.37838270162048,70.48667754214246,70.18676187860477,11000.0,36896.0,0.0,1.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
12000.0,0.680890447,6.958673265451358E-8,12000.0,80.20833333333334,70.29074199163757,70.33474893829629,70.09192796876967,1944.0,12304.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.730601931,7.465475769265658E-8,13000.0,80.0923076923077,70.12097974802957,70.16370763200369,69.93145114441734,2944.0,12304.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.791728606,8.084644442912812E-8,14000.0,80.14285714285714,70.19362312784916,70.25465439760325,70.02372223420315,3944.0,12304.0,0.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.8232589,8.40402334444287E-8,15000.0,80.05333333333333,70.0629242911767,70.15461346633415,69.91755479589786,4944.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.854463616,8.720104378087447E-8,16000.0,80.16875,70.2251975728633,70.3069436646079,70.07450721493916,5944.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.885541557,9.034901273365237E-8,17000.0,80.14117647058823,70.19225115076806,70.31043883563451,70.03372980649742,6944.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.916561772,9.349113446328997E-8,18000.0,80.18888888888888,70.25815424472061,70.37221668328347,70.05123036869068,7944.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.966726301,9.873231971927402E-8,19000.0,80.0421052631579,70.04346479212134,70.17930166719094,69.80651325742494,8944.0,24600.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
20000.0,1.020392333,1.0451038566964783E-7,20000.0,79.96,69.9219818760354,70.05379557680813,69.69834429575867,9944.0,36896.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
21000.0,1.055472852,1.0839921174020198E-7,21000.0,79.96190476190476,69.91859771973044,70.03275886625838,69.68518118291189,10944.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
22000.0,1.087766074,1.1197905397730777E-7,22000.0,79.93181818181819,69.8671060578065,70.00271776056529,69.59156966733246,11944.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
23000.0,1.120011555,1.1555360391969483E-7,23000.0,79.98695652173913,69.9540560341402,70.1317240931802,69.70714050674563,12944.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
24000.0,1.149547992,1.1882784470948701E-7,24000.0,79.9875,69.9543314282776,70.09712364587224,69.72771965208622,13944.0,49192.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
