learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.110076443,1.0026358756905214E-8,1000.0,80.5,70.86643230329986,70.0,69.435736677116,1000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.275736206,2.6030615116392984E-8,2000.0,80.85,71.24701256085142,70.76335877862596,70.40185471406491,2000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.371992377,3.5284425908089094E-8,3000.0,81.03333333333333,71.48744821347233,71.34944612286003,70.70030895983523,3000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.444085983,4.2243064529434255E-8,4000.0,80.75,71.0751570722274,70.78907435508344,70.23579435639738,4000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.519530024,4.948481077786328E-8,5000.0,80.96,71.42773792800918,71.01978691019785,70.69867651585103,5000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.602435045,5.747463792376013E-8,6000.0,81.05,71.53308721541016,71.1787072243346,70.9800918836141,6000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.661287249,6.316907164228251E-8,7000.0,81.14285714285714,71.65989295168656,71.43475438216835,71.14123305640577,7000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.700176474,6.691115808912655E-8,8000.0,80.9875,71.43189860483986,71.14399544678429,70.8955223880597,8000.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.798175318,7.669190001304157E-8,9000.0,80.86666666666666,71.27348063487275,70.91216216216216,70.7540760869565,9000.0,24600.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
10000.0,0.847586273,8.161137932890405E-8,10000.0,80.65,70.93637109486775,70.59270516717325,70.48955314930609,10000.0,24600.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
11000.0,0.966836,9.313496106610944E-8,11000.0,80.35454545454546,70.48743091205162,70.21775082690188,70.065105970356,665.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,1.030391935,9.928925464708357E-8,12000.0,80.35833333333333,70.4953664612869,70.18719959524411,70.05463092364374,673.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,1.076366473,1.0373367223214358E-7,13000.0,80.52307692307691,70.75377324837794,70.40327293980128,70.32696589710535,1673.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,1.130465502,1.0898432002863535E-7,14000.0,80.59285714285714,70.84950004110712,70.51546391752578,70.47381004129538,2673.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,1.168998729,1.1270124217441925E-7,15000.0,80.63333333333334,70.90520953991305,70.62986553432413,70.54947283049474,3673.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,1.207295751,1.1641012225343534E-7,16000.0,80.58125000000001,70.82820162717043,70.52461815767006,70.45454545454545,4673.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.241713098,1.1975695092717805E-7,17000.0,80.68235294117648,70.98900537451176,70.65236818588025,70.62086240830202,5673.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.267490591,1.2225049473173916E-7,18000.0,80.72222222222221,71.04161086385233,70.71729957805907,70.70988435890942,6673.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.294346322,1.248586781572923E-7,19000.0,80.7578947368421,71.09111966797805,70.81270956410667,70.7730434087457,7673.0,12304.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.350020707,1.3022627417188136E-7,20000.0,80.535,70.75790690460802,70.4538554948391,70.4201808373224,65.0,12304.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
