learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.043377332,3.0300511868132487E-9,1000.0,65.10000000000001,20.68470237445911,25.10729613733906,-3.560830860534128,25.0,2960.0,16.0,0.0
2000.0,0.155202377,1.1154764516970349E-8,2000.0,67.2,23.451140006231284,26.29213483146067,0.15220700152208705,49.0,3024.0,16.0,0.0
3000.0,0.237505691,1.713166370238695E-8,3000.0,68.60000000000001,24.762186209595622,28.255902513328262,1.5673981191222586,12.0,2888.0,17.0,0.0
4000.0,0.290009169,2.094600828284605E-8,4000.0,68.10000000000001,24.333889166937478,27.664399092970527,1.2383900928792582,36.0,3000.0,16.0,0.0
5000.0,0.325490699,2.3523939369440907E-8,5000.0,68.46,24.205518107431477,28.83574007220217,2.231866088034713,60.0,3024.0,16.0,0.0
6000.0,0.350352758,2.5330306647651725E-8,6000.0,67.86666666666666,23.176232447681745,27.81729689254961,0.3102378490175804,23.0,3024.0,17.0,0.0
7000.0,0.374311416,2.707103680363132E-8,7000.0,68.04285714285714,23.902320495687025,28.070739549839217,0.5777777777777536,47.0,3024.0,16.0,0.0
8000.0,0.400842112,2.8998035879424877E-8,8000.0,68.4375,24.898799273079845,29.212223156714316,2.697495183044293,10.0,2936.0,17.0,0.0
9000.0,0.424926765,3.074787042927618E-8,9000.0,68.53333333333333,25.548292658304522,30.108588351431393,3.410641200545724,34.0,3016.0,16.0,0.0
10000.0,0.447490059,3.238721960668142E-8,10000.0,68.49,26.00392547883749,29.915480427046255,3.313899969315717,58.0,3024.0,16.0,0.0
11000.0,0.469457064,3.398310867274801E-8,11000.0,68.86363636363636,26.570990990499325,30.7381193124368,4.249370981269193,21.0,3000.0,17.0,0.0
12000.0,0.491453333,3.558126032078018E-8,12000.0,68.89999999999999,26.716557139141628,30.670629760356665,4.234026173979963,45.0,3024.0,16.0,0.0
13000.0,0.512167726,3.7085333372747735E-8,13000.0,68.62307692307692,26.583153636716712,30.03430531732418,3.77447511205471,8.0,2848.0,17.0,0.0
