learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.031431068,2.468254094719887E-9,1000.0,81.5,48.99647110719011,55.95238095238094,39.34426229508196,1000.0,3024.0,0.0,0.0
2000.0,0.143652526,1.1755169397799504E-8,2000.0,82.35,53.784197075704895,59.37859608745685,45.52469135802469,2000.0,3024.0,0.0,0.0
3000.0,0.192712805,1.5815165266133844E-8,3000.0,83.8,58.10229247703382,63.15390447308567,49.999999999999986,3000.0,3024.0,0.0,0.0
4000.0,0.251528023,2.0682433592821987E-8,4000.0,84.425,60.15120793649778,64.56200227531285,52.33358837031368,4000.0,3024.0,0.0,0.0
5000.0,0.303493204,2.498282536509964E-8,5000.0,85.42,62.562042245217484,66.48275862068965,54.804711717296954,5000.0,3024.0,0.0,0.0
6000.0,0.327315761,2.6954267129488286E-8,6000.0,85.56666666666666,63.02310458184726,66.94656488549619,55.291688177594224,6000.0,3024.0,0.0,0.0
7000.0,0.34622683,2.851925745507909E-8,7000.0,85.62857142857143,63.32994509385702,67.33766233766234,55.760773966578725,7000.0,3024.0,0.0,0.0
8000.0,0.374203559,3.083447878004362E-8,8000.0,85.8375,63.6853736672484,67.72079772079772,56.08527131782945,8000.0,3024.0,0.0,0.0
9000.0,0.395844704,3.2625397239476444E-8,9000.0,85.94444444444444,63.97053843870436,67.86077235772358,56.40937284631289,9000.0,3024.0,0.0,0.0
10000.0,0.419425452,3.457682803856002E-8,10000.0,85.99,64.12287523426407,68.21687840290382,56.58506352649519,10000.0,3024.0,0.0,0.0
11000.0,0.438990286,3.619592085302704E-8,11000.0,86.20909090909092,64.93166939880352,68.90118901189012,57.554560716284286,11000.0,3024.0,0.0,0.0
12000.0,0.458750849,3.7831211270677545E-8,12000.0,86.21666666666667,65.03730182387683,68.96810506566604,57.730641451571664,12000.0,3024.0,0.0,0.0
13000.0,0.478738953,3.94853319016637E-8,13000.0,86.33076923076923,65.46140666162316,69.15466064919286,58.247180451127825,13000.0,3024.0,0.0,0.0
14000.0,0.498803815,4.1145804660465146E-8,14000.0,86.3,65.43906176293991,69.06451612903226,58.27713726343268,14000.0,3024.0,0.0,0.0
15000.0,0.518689273,4.279143079561077E-8,15000.0,86.36666666666667,65.56213110222197,69.20180722891567,58.401139137510185,15000.0,3024.0,0.0,0.0
16000.0,0.538282907,4.4412906961403775E-8,16000.0,86.48125,65.90563165905633,69.57377971585315,58.8,16000.0,3024.0,0.0,0.0
17000.0,0.55812586,4.605501558446221E-8,17000.0,86.61176470588235,66.1202095454357,69.74611192343481,58.96141363144609,17000.0,3024.0,0.0,0.0
18000.0,0.578287704,4.772351411334341E-8,18000.0,86.7,66.32719585292833,69.91706458909273,59.18158567774936,18000.0,3024.0,0.0,0.0
19000.0,0.598023339,4.935674160801287E-8,19000.0,86.77894736842106,66.5549702083604,69.9593398708443,59.44462382951243,19000.0,3024.0,0.0,0.0
20000.0,0.619025299,5.109476415017826E-8,20000.0,86.625,66.27206283064567,69.71240942028984,59.179001983824186,20000.0,3024.0,0.0,0.0
21000.0,0.649105687,5.3604493800943916E-8,21000.0,85.39999999999999,64.34552051353613,67.10653363373028,57.058823529411754,994.0,3024.0,1.0,9.0
22000.0,0.677840421,5.600195004142406E-8,22000.0,84.35000000000001,63.034553464081945,64.82068049453356,55.6999485331961,1994.0,3024.0,0.0,0.0
23000.0,0.698039814,5.768726791496905E-8,23000.0,83.35217391304349,61.67123261820191,62.71665043816943,54.28605539637059,2994.0,3024.0,0.0,0.0
24000.0,0.71804046,5.935600351441236E-8,24000.0,82.66666666666667,60.92720585823287,61.2807148175726,53.628358042581645,3994.0,3024.0,0.0,0.0
25000.0,0.737788043,6.100362503399036E-8,25000.0,82.016,60.21101951283463,59.81408652127279,53.10316052988422,4994.0,3024.0,0.0,0.0
26000.0,0.758310824,6.271507500813237E-8,26000.0,81.24615384615385,59.109023106124226,58.214071471420006,52.11156943626006,5994.0,3024.0,0.0,3.0
27000.0,0.778587005,6.440629605379782E-8,27000.0,80.58888888888889,58.22157986559977,56.839331301984686,51.476715118970475,6994.0,3024.0,0.0,4.0
28000.0,0.798655456,6.608019049600593E-8,28000.0,80.01785714285714,57.42465713396423,55.67965779467679,50.886587078651665,7994.0,3024.0,0.0,0.0
29000.0,0.818601833,6.774390283745609E-8,29000.0,79.45862068965516,56.64395212282432,54.60295686633134,50.38727409011409,8994.0,3024.0,0.0,0.0
30000.0,0.838737095,6.942336993505142E-8,30000.0,78.91,55.84929748395845,53.47452018530775,49.8613202313971,9994.0,3024.0,0.0,0.0
31000.0,0.858685088,7.108721706584923E-8,31000.0,78.41612903225807,55.15628618320253,52.4719420372212,49.513317739379765,10994.0,3024.0,0.0,0.0
32000.0,0.878422224,7.273347677246563E-8,32000.0,77.965625,54.48475415166855,51.62927900116624,49.12331337037306,11994.0,3024.0,0.0,0.0
33000.0,0.898127637,7.437709048745118E-8,33000.0,77.5,53.77102062492638,50.707030472017536,48.72237569060774,12994.0,3024.0,0.0,0.0
34000.0,0.917688907,7.600868134294532E-8,34000.0,77.06470588235294,53.07595244647092,49.88109775692527,48.292553544194696,13994.0,3024.0,0.0,0.0
35000.0,0.937660471,7.767449451316975E-8,35000.0,76.64857142857143,52.369896329201005,49.0778816199377,47.75966762543944,14994.0,3024.0,0.0,0.0
36000.0,0.957688307,7.934500128869795E-8,36000.0,76.33333333333333,51.89746240263349,48.46670295772092,47.65620200282606,15994.0,3024.0,0.0,0.0
37000.0,0.977286944,8.097970889762871E-8,37000.0,76.04864864864865,51.46035619104568,47.96547472256474,47.5248697299858,16994.0,3024.0,0.0,0.0
38000.0,0.996851659,8.261158709798835E-8,38000.0,75.76315789473685,51.004166787763296,47.38044906587442,47.40148486579098,17994.0,3024.0,0.0,0.0
39000.0,1.016508071,8.42511136763253E-8,39000.0,75.49743589743589,50.56800398702941,46.905211690187784,47.25687161938403,18994.0,3024.0,0.0,0.0
40000.0,1.036735789,8.593829245951854E-8,40000.0,75.1375,49.92353305874377,46.21416982152516,46.849446849446856,19994.0,3024.0,0.0,0.0
41000.0,1.058039227,8.771554895862521E-8,41000.0,74.67317073170732,49.007203144576245,45.3416149068323,45.86309368646055,661.0,3024.0,1.0,8.0
42000.0,1.077917031,8.937387079132512E-8,42000.0,74.48095238095237,48.61117603836661,45.06688534672749,45.41380188439012,1661.0,3024.0,0.0,0.0
43000.0,1.097087636,9.097319397700327E-8,43000.0,74.27209302325582,48.18197101770187,44.709880553750814,44.93006122753746,2661.0,3024.0,0.0,0.0
44000.0,1.116744178,9.261305684887698E-8,44000.0,74.10681818181818,47.847592407114156,44.42981172568528,44.594660312211246,3661.0,3024.0,0.0,0.0
45000.0,1.130337012,9.374704998969201E-8,45000.0,73.90666666666667,47.43294127494,44.05907575035731,44.10966728544909,4661.0,3024.0,0.0,0.0
46000.0,1.143613944,9.485716177264019E-8,46000.0,73.66304347826087,46.94031516384534,43.664264124622186,43.60132209859876,5661.0,3024.0,0.0,5.0
47000.0,1.156661694,9.59450867597179E-8,47000.0,73.48936170212767,46.5942916602517,43.3353040156442,43.25530558338647,6661.0,3024.0,0.0,6.0
48000.0,1.170891035,9.713153312967053E-8,48000.0,73.32499999999999,46.25336852171507,43.05283757338552,42.84438889384875,7661.0,3024.0,0.0,0.0
49000.0,1.183709802,9.820036545116865E-8,49000.0,73.18163265306123,45.950886008974926,42.8627331623114,42.44229337304542,8661.0,3024.0,0.0,0.0
50000.0,1.196277463,9.924826048525669E-8,50000.0,73.06,45.69559324939864,42.675972423184966,42.12425882959526,9661.0,3024.0,0.0,0.0
51000.0,1.209575798,1.0035707931862106E-7,51000.0,72.8921568627451,45.361041405415605,42.37422366720852,41.813973063973066,10661.0,3024.0,0.0,0.0
52000.0,1.222728462,1.0145375206390186E-7,52000.0,72.75576923076923,45.08230058556645,42.12353950486151,41.50218845486828,11661.0,3024.0,0.0,0.0
