learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.085127845,7.657005703169851E-9,1000.0,84.89999999999999,62.70905157511039,65.68181818181817,53.39506172839504,801.0,4560.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.189995365,1.755051971049979E-8,2000.0,80.80000000000001,48.63735161344258,54.34007134363854,38.064516129032285,545.0,4560.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.257907016,2.395820977753028E-8,3000.0,80.66666666666666,47.80339277946932,54.18641390205371,37.36501079913606,649.0,4560.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.307196227,2.8608402677047996E-8,4000.0,80.5,48.927594060803,54.27901524032826,38.38862559241708,586.0,4560.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.346353368,3.230260392230004E-8,5000.0,79.88,46.73531986234626,53.296193129062196,36.16751269035532,568.0,4560.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.388201021,3.633412632773113E-8,6000.0,80.30000000000001,49.40877028785356,54.46841294298922,38.21223209618401,1568.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.425028185,3.989227386944617E-8,7000.0,81.51428571428572,53.71108048803996,57.166501158556784,41.76417641764177,2568.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.457161431,4.2996906913202255E-8,8000.0,82.625,57.60913379830625,59.80335454019665,45.872274143302185,3568.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.48332312,4.5524583206779015E-8,9000.0,83.15555555555557,59.54350940782421,61.1182354449859,47.45233968804162,4568.0,12224.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.508780977,4.799358275834057E-8,10000.0,83.38,60.66995303680024,61.76673567977915,48.65616311399443,5568.0,13640.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
11000.0,0.544874204,5.1408660169777767E-8,11000.0,81.07272727272728,57.08798970741324,56.92116697703291,45.52590266875981,536.0,4560.0,3.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.568963178,5.368791635743031E-8,12000.0,79.57499999999999,55.40486595805303,53.719788519637454,44.78486145528271,1536.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.596646214,5.633972145955181E-8,13000.0,78.34615384615384,54.10410510843445,51.14543561263449,44.47731755424063,2536.0,9072.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
14000.0,0.623724633,5.89338334375061E-8,14000.0,77.57142857142857,53.298316986504844,49.655282988616314,44.81546572934973,3536.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
15000.0,0.65148383,6.165406156223266E-8,15000.0,76.68666666666667,52.03930467442465,47.84489187173751,44.553670524813704,4536.0,17536.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
16000.0,0.676258279,6.4085904871215E-8,16000.0,76.10625,51.20987201812138,46.65085124197599,44.78625072212593,5536.0,18176.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
17000.0,0.703314738,6.677254666359059E-8,17000.0,75.67647058823529,50.55249940919045,45.97596028220538,44.962065752695324,6536.0,22552.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
18000.0,0.728003939,6.922412538743474E-8,18000.0,75.41666666666667,50.24374256810802,45.52505232057121,45.74546346248161,7536.0,22552.0,0.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
19000.0,0.754361733,7.187330330422975E-8,19000.0,75.0578947368421,49.613528189899405,44.94016498199139,45.92034691315759,8536.0,27208.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
20000.0,0.779200165,7.436992689759987E-8,20000.0,74.655,48.89054882294603,44.21701331572578,45.97676649259299,9536.0,27232.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
21000.0,0.806296858,7.712443834744599E-8,21000.0,73.51904761904761,46.63288075893371,41.91560476289952,43.64041755346103,10536.0,31616.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
22000.0,0.837622302,8.045313754534761E-8,22000.0,72.94545454545455,45.53525656690019,40.99335778725092,42.492753623188406,11536.0,49344.0,0.0,1.0,18.0,11.0,11.0,5.0,0.0,0.0,1.0
23000.0,0.86344702,8.319951082463685E-8,23000.0,72.88695652173914,45.46138388548086,40.930188500520984,42.26460512915471,12536.0,49400.0,0.0,0.0,18.0,11.0,11.0,5.0,0.0,0.0,1.0
24000.0,0.898240617,8.706963600322603E-8,24000.0,72.91666666666666,45.569923134194354,41.187115454216425,42.25302061122955,13536.0,68160.0,0.0,0.0,28.0,16.0,16.0,6.0,0.0,0.0,1.0
25000.0,0.928646636,9.057343033371078E-8,25000.0,73.14399999999999,46.078224103449514,41.77939646201873,42.801158630090306,14536.0,83592.0,0.0,0.0,33.0,20.0,20.0,6.0,0.0,0.0,1.0
26000.0,0.960254365,9.435248589336664E-8,26000.0,73.38076923076923,46.58476247130295,42.48795080604951,43.25188586421776,15536.0,100280.0,0.0,0.0,38.0,24.0,24.0,6.0,0.0,0.0,1.0
27000.0,0.990408834,9.796178215924442E-8,27000.0,73.74074074074073,47.34280974608094,43.496971628944856,44.11602427681879,16536.0,100792.0,0.0,0.0,38.0,24.0,24.0,6.0,0.0,0.0,1.0
28000.0,1.01994975,1.0149800689998805E-7,28000.0,74.01071428571429,47.907073967578015,44.23754789272031,44.63212356387431,17536.0,100840.0,0.0,0.0,38.0,24.0,24.0,6.0,0.0,0.0,1.0
29000.0,1.054452573,1.0574016820702493E-7,29000.0,74.3344827586207,48.56386602187139,45.02548194105917,45.18742175417925,18536.0,113312.0,0.0,0.0,44.0,27.0,27.0,7.0,0.0,0.0,1.0
30000.0,1.075796861,1.0838996122691572E-7,30000.0,74.46333333333334,48.84705085253491,45.368323468587334,45.55468694478005,19536.0,117928.0,0.0,0.0,44.0,27.0,27.0,7.0,0.0,0.0,1.0
31000.0,1.094747585,1.1075448834750593E-7,31000.0,74.11612903225806,48.18286409415409,44.57415210333631,45.34059945504086,20536.0,120352.0,0.0,0.0,44.0,27.0,27.0,7.0,0.0,0.0,1.0
32000.0,1.118218416,1.1377305874911239E-7,32000.0,73.73125,47.43429521402579,43.6708436641426,45.11263467189032,21536.0,135144.0,0.0,0.0,49.0,31.0,31.0,7.0,0.0,0.0,1.0
33000.0,1.137900851,1.1630725710905052E-7,33000.0,73.57575757575758,47.14259977293506,43.28086379601925,45.27769061813618,22536.0,135704.0,0.0,0.0,49.0,31.0,31.0,7.0,0.0,0.0,1.0
34000.0,1.157183015,1.1879299165083922E-7,34000.0,73.40294117647059,46.80829493726632,42.84901725336536,45.33639605875597,23536.0,136320.0,0.0,0.0,49.0,31.0,31.0,7.0,0.0,0.0,1.0
35000.0,1.177716162,1.2143999500323915E-7,35000.0,73.23714285714286,46.484149406375856,42.473745624270705,45.41693374511975,24536.0,136320.0,0.0,0.0,49.0,31.0,31.0,7.0,0.0,0.0,1.0
36000.0,1.200090121,1.2434389131848597E-7,36000.0,73.15277777777777,46.31606667087201,42.27438332437436,45.6319963998425,25536.0,139672.0,0.0,0.0,53.0,33.0,33.0,8.0,0.0,0.0,1.0
37000.0,1.220861698,1.2706320189584875E-7,37000.0,73.1,46.20777625730283,42.2445308419892,45.82221980295029,26536.0,144008.0,0.0,0.0,53.0,33.0,33.0,8.0,0.0,0.0,1.0
38000.0,1.240688769,1.296591497291107E-7,38000.0,73.08947368421053,46.177636995156654,42.13117537207856,46.116556012224684,27536.0,144064.0,0.0,0.0,53.0,33.0,33.0,8.0,0.0,0.0,1.0
39000.0,1.260896656,1.3230525035469274E-7,39000.0,73.06410256410257,46.11896890632808,42.18173812537839,45.81141029608996,28536.0,144120.0,0.0,0.0,53.0,33.0,33.0,8.0,0.0,0.0,1.0
40000.0,1.28123563,1.349737356438343E-7,40000.0,72.9275,45.83253675299146,41.92008581389113,45.20568739563832,29536.0,145112.0,0.0,0.0,53.0,33.0,33.0,8.0,0.0,0.0,1.0
41000.0,1.301968182,1.377040278422108E-7,41000.0,72.51463414634146,44.98929537448782,40.97527760318457,44.05778395552025,30536.0,147008.0,0.0,1.0,53.0,33.0,33.0,8.0,0.0,0.0,1.0
42000.0,1.322740267,1.4044047196468958E-7,42000.0,72.04761904761905,44.039928734279535,39.994888832098134,42.929366584026056,31536.0,147184.0,0.0,0.0,53.0,33.0,33.0,8.0,0.0,0.0,1.0
43000.0,1.344535828,1.4333768257408092E-7,43000.0,71.62790697674419,43.180454457585405,39.13390540810217,41.82442420485432,32536.0,147216.0,0.0,0.0,53.0,33.0,33.0,8.0,0.0,0.0,1.0
44000.0,1.366111103,1.4620596852497508E-7,44000.0,71.22727272727273,42.355850691263605,38.349159970781585,40.730337078651694,33536.0,147280.0,0.0,0.0,53.0,33.0,33.0,8.0,0.0,0.0,1.0
45000.0,1.391519956,1.4861216019918314E-7,45000.0,70.98,41.8328052062915,37.876409304980726,39.97517926089355,421.0,4560.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,1.408445648,1.5021462011795698E-7,46000.0,70.80869565217391,41.473111127682955,37.4685666387259,39.48898201973773,1421.0,4560.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,1.424957145,1.517973780118012E-7,47000.0,70.6531914893617,41.14771487352215,37.17031840750694,38.944712496126776,2421.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
48000.0,1.440468365,1.532842514248027E-7,48000.0,70.53333333333333,40.887868375412715,36.99215965787599,38.504347826086956,3421.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
49000.0,1.457216114,1.5490674393581435E-7,49000.0,70.42244897959183,40.64798751031009,36.70349827488317,38.06145561776144,4421.0,13024.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
50000.0,1.47378844,1.5653402111940916E-7,50000.0,70.342,40.47061295940168,36.549569979889604,37.71682977025496,5421.0,18080.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
