learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.089555563,8.040253327414394E-9,1000.0,80.60000000000001,48.4262016163335,53.25301204819278,39.37500000000001,1000.0,536.0,0.0,6.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
2000.0,0.225771929,2.1329969235066737E-8,2000.0,84.95,64.0291208764944,64.58823529411765,53.83435582822086,2000.0,12880.0,0.0,11.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
3000.0,0.291965876,2.779916466478672E-8,3000.0,87.33333333333333,70.54258998851161,70.38191738113795,60.703205791106505,3000.0,12920.0,0.0,2.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
4000.0,0.353864931,3.364774513317065E-8,4000.0,86.15,68.69136695526372,68.50483229107448,58.093797276853266,185.0,4560.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.401309419,3.8179179304718145E-8,5000.0,81.14,60.371357778980595,57.71300448430493,50.88541666666667,1185.0,4560.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.448580615,4.270120410657178E-8,6000.0,78.28333333333333,55.711314359935024,51.704966641957014,48.579321231254944,2185.0,4560.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.493822688,4.7022097838638973E-8,7000.0,75.75714285714285,51.31291593459119,46.12698412698412,46.483759066540514,492.0,4560.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.539309755,5.1366013429823023E-8,8000.0,73.8375,47.6820629215056,42.24613686534216,44.33510638297872,1492.0,4560.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.590432966,5.625610383493205E-8,9000.0,71.62222222222222,43.34206117667195,38.14482925647856,39.89173923276065,2492.0,4560.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.646046276,6.150996510323138E-8,10000.0,70.44,41.00655509774212,35.90633130962707,37.06621247604855,21.0,4504.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.688228098,6.554286389915066E-8,11000.0,69.6,39.29802215582585,34.59808331703499,35.14352211016291,1021.0,4560.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.734569628,6.99679952065895E-8,12000.0,68.89166666666667,37.81844518461907,33.659143415674414,33.77683164803973,2021.0,4560.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.789830028,7.524558586386343E-8,13000.0,68.53076923076922,37.15850029268449,33.077048912154424,34.38652766639936,726.0,4560.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.856463817,8.16077260875081E-8,14000.0,68.51428571428572,37.124265729774216,33.04981773997571,35.57439345220697,473.0,4560.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.908056881,8.660436986147115E-8,15000.0,68.62,37.268772722911095,33.36636466591167,36.903485254691695,1473.0,9088.0,0.0,8.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
16000.0,0.949370725,9.060567096974701E-8,16000.0,69.0875,38.13136811405982,34.472708002119774,37.715652940435724,2473.0,9104.0,0.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
17000.0,0.981946138,9.371661921090136E-8,17000.0,68.7,37.280197798995836,33.85131775236202,36.25254582484726,591.0,4560.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.008242828,9.623284825898292E-8,18000.0,68.47777777777779,36.772912012894146,33.403755868544614,35.10978956999086,1591.0,4560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.044012672,9.969165333362502E-8,19000.0,68.16842105263157,36.092490947770955,32.71028037383178,33.800350262697016,2591.0,9096.0,0.0,13.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
20000.0,1.070558221,1.0228498539702346E-7,20000.0,68.015,35.75388303852297,32.45697392038856,33.12075274438055,3591.0,13024.0,0.0,1.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
