learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.037572401,2.8362980453400975E-9,1000.0,63.6,22.598315024857847,23.68972746331237,11.435523114355242,477.0,3024.0,2.0,37.0
2000.0,0.150248835,1.1759768239986152E-8,2000.0,64.75,26.862819547234167,29.074446680080474,17.156286721504102,127.0,3024.0,1.0,48.0
3000.0,0.203486273,1.6002819536665662E-8,3000.0,70.19999999999999,39.45517786903897,39.95970449966419,34.64912280701753,1127.0,3024.0,0.0,3.0
4000.0,0.263981506,2.0827450874269837E-8,4000.0,73.6,46.67743890123207,46.558704453441294,43.2258064516129,367.0,3024.0,1.0,20.0
5000.0,0.308001932,2.4337632549115354E-8,5000.0,63.42,28.84829943934483,12.404214559386965,16.86363636363635,879.0,3024.0,2.0,11.0
6000.0,0.340211614,2.6906027400837178E-8,6000.0,61.4,26.065482274284502,-5.753424657534252,-2.659574468085109,1879.0,3024.0,0.0,0.0
7000.0,0.373040094,2.9523765105352636E-8,7000.0,60.62857142857143,21.485859355827536,-3.3370828646419106,-1.847745750184768,2879.0,3024.0,0.0,0.0
8000.0,0.398443555,3.154943299143472E-8,8000.0,60.9,20.57129250224615,1.4492753623188488,2.188868042526588,3879.0,3024.0,0.0,0.0
9000.0,0.420415914,3.3301505356998083E-8,9000.0,63.288888888888884,23.508681672025716,-1.2254901960784392,-1.6928285626346753,4879.0,3024.0,0.0,0.0
10000.0,0.444010956,3.518277487373187E-8,10000.0,65.95,26.49427743378202,-4.064792176039113,-4.6726098985551765,5879.0,3024.0,0.0,1.0
