learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.034477303,2.6325501023108763E-9,1000.0,69.0,35.29480521649104,35.68464730290455,25.659472422062347,1000.0,3024.0,0.0,5.0
2000.0,0.119317155,9.470007265636491E-9,2000.0,70.19999999999999,37.69001409292969,38.36608066184074,28.106151990349804,2000.0,3024.0,0.0,9.0
3000.0,0.162069213,1.2915414721051024E-8,3000.0,70.56666666666666,38.0018480083357,38.892733564013845,27.205276174773285,3000.0,3024.0,0.0,7.0
4000.0,0.20271836,1.619782547287022E-8,4000.0,71.42500000000001,39.78537674967471,41.17344312918169,29.357231149567376,4000.0,3024.0,0.0,5.0
5000.0,0.242556522,1.940823584916898E-8,5000.0,71.24000000000001,39.3727107717407,40.96880131362891,29.02270483711748,5000.0,3024.0,0.0,2.0
6000.0,0.294091058,2.356878640629558E-8,6000.0,71.2,39.201434771079434,41.04401228249744,28.947368421052623,6000.0,3024.0,0.0,7.0
7000.0,0.325144888,2.6075348860776674E-8,7000.0,71.07142857142857,38.75332093104285,40.49368204525419,28.47050512186508,537.0,3024.0,1.0,5.0
8000.0,0.358263871,2.8749220524548243E-8,8000.0,70.72500000000001,37.95467671260459,39.01041666666668,27.604327666151484,355.0,3024.0,1.0,9.0
9000.0,0.387858374,3.112163745958565E-8,9000.0,70.95555555555556,38.59924216546584,39.78346003225064,28.167078867820837,54.0,3008.0,1.0,4.0
10000.0,0.410430059,3.29439229382409E-8,10000.0,70.84,38.34879293025566,39.48952064743723,28.05329385640267,1054.0,3024.0,0.0,6.0
11000.0,0.43192929,3.4683051830170057E-8,11000.0,70.57272727272728,37.760189048771814,39.02806554906763,27.307433191107133,2054.0,3024.0,0.0,10.0
12000.0,0.454332979,3.649478828801877E-8,12000.0,70.55,37.57805686767372,38.868707836014536,26.87771570453136,799.0,3024.0,1.0,7.0
13000.0,0.473873461,3.807514533377356E-8,13000.0,70.44615384615385,37.22159096622389,38.42948717948718,26.327900287631838,1799.0,3024.0,0.0,4.0
14000.0,0.494383162,3.973422856209593E-8,14000.0,70.37142857142857,37.04915189472058,38.273809523809526,26.19217081850535,2799.0,3024.0,0.0,7.0
15000.0,0.51419759,4.1333214586290225E-8,15000.0,70.38666666666667,37.16914908092789,38.62097554235181,26.578512396694205,3799.0,3024.0,0.0,8.0
16000.0,0.533670854,4.290829651347052E-8,16000.0,70.5,37.457855273501956,38.875938875938864,26.968899891691144,4799.0,3024.0,0.0,6.0
17000.0,0.55298796,4.44680291473907E-8,17000.0,70.48823529411766,37.40577730679846,38.80214686508906,26.769814625602116,5799.0,3024.0,0.0,3.0
18000.0,0.572864001,4.60754426092696E-8,18000.0,70.51666666666667,37.4993424495861,38.88057123114132,26.981287837094126,6799.0,3024.0,0.0,2.0
19000.0,0.593090659,4.771154602838474E-8,19000.0,70.71578947368421,37.89250169397973,39.07139728427507,27.33446519524618,7799.0,3024.0,0.0,9.0
20000.0,0.613768671,4.938343126135155E-8,20000.0,70.755,37.979216325354784,39.21853891717759,27.39572989076466,8799.0,3024.0,0.0,11.0
21000.0,0.636155141,5.119433123099722E-8,21000.0,71.2952380952381,39.434074031687025,40.54054054054055,29.447565543071164,954.0,3024.0,1.0,6.0
22000.0,0.656184864,5.2814629240158124E-8,22000.0,72.01818181818182,41.207881623672364,41.96285471858205,31.744095797760274,1954.0,3024.0,0.0,3.0
23000.0,0.676291537,5.4438031128444196E-8,23000.0,72.78260869565217,43.045464324007966,43.63914648419916,34.25060392815881,2954.0,3024.0,0.0,2.0
24000.0,0.69736253,5.614203903605955E-8,24000.0,73.35833333333333,44.44533461980044,44.97891747698134,36.085565773690526,497.0,3024.0,1.0,4.0
25000.0,0.717943654,5.779199167301672E-8,25000.0,73.896,45.69850698086547,46.208374546653474,37.746828198034905,208.0,3024.0,1.0,3.0
26000.0,0.737224239,5.935168840426745E-8,26000.0,74.49230769230769,47.06366153437478,47.502572627246096,39.52767393088356,1208.0,3024.0,0.0,2.0
27000.0,0.758267105,6.105377008927986E-8,27000.0,74.96666666666667,48.21603498494292,48.553813365809106,41.10830356364904,877.0,3024.0,1.0,10.0
28000.0,0.778383884,6.268106883180018E-8,28000.0,75.45714285714286,49.33918301618227,49.70357900900241,42.546609815232834,1877.0,3024.0,0.0,2.0
29000.0,0.798214617,6.428141167976377E-8,29000.0,75.85862068965518,50.2630366580594,50.45293701344657,43.76706827309238,2877.0,3024.0,0.0,2.0
30000.0,0.817670156,6.585445595275818E-8,30000.0,76.23666666666666,51.078930210597605,51.281350372445836,44.706429845652664,3877.0,3024.0,0.0,6.0
31000.0,0.836830565,6.740415350364108E-8,31000.0,76.65806451612903,52.02581392581575,52.215545136366636,45.93544530783024,4877.0,3024.0,0.0,2.0
32000.0,0.856421694,6.898524136806942E-8,32000.0,76.96875,52.72522329835058,52.85613765751934,46.84457266498376,5877.0,3024.0,0.0,5.0
33000.0,0.876931551,7.064323358538664E-8,33000.0,77.2030303030303,53.291352953979185,53.31388854412313,47.684283727399176,879.0,3024.0,1.0,4.0
34000.0,0.896239316,7.220153268252603E-8,34000.0,77.5,53.95236238933484,53.907332650479,48.52990647917649,1879.0,3024.0,0.0,5.0
35000.0,0.915383544,7.374722728277039E-8,35000.0,77.75999999999999,54.53130964438152,54.45023114284041,49.26345978360057,2879.0,3024.0,0.0,6.0
36000.0,0.934158091,7.526307403929324E-8,36000.0,78.07222222222222,55.21756751175779,55.05835468260746,50.129509128814206,3879.0,3024.0,0.0,0.0
37000.0,0.953728303,7.684624055631252E-8,37000.0,78.37297297297297,55.88147907459867,55.70685265138936,51.02215693475334,4879.0,3024.0,0.0,5.0
38000.0,0.973264096,7.84256523348122E-8,38000.0,78.65789473684211,56.4914546382035,56.36735352665841,51.74629618611293,5879.0,3024.0,0.0,1.0
39000.0,0.992370038,7.996821620238531E-8,39000.0,78.93589743589745,57.08784320276018,56.95797967096302,52.48423853317139,6879.0,3024.0,0.0,1.0
40000.0,1.01258993,8.160327016366232E-8,40000.0,79.03750000000001,57.35046652663955,57.105586249232665,52.95668761220826,233.0,3024.0,1.0,5.0
41000.0,1.033832322,8.331713841437673E-8,41000.0,79.31951219512196,58.17821771239045,56.82790224032587,54.83407020721249,865.0,3024.0,1.0,7.0
42000.0,1.053454567,8.490029075961353E-8,42000.0,79.77142857142857,59.29218562193863,56.82049196991258,56.99316628701594,1865.0,3024.0,0.0,0.0
43000.0,1.072718796,8.645455783356602E-8,43000.0,80.20697674418604,60.304381559005314,56.81010859636657,58.963355834136934,2865.0,3024.0,0.0,0.0
44000.0,1.092497304,8.80400842851835E-8,44000.0,80.60000000000001,61.17332768052448,56.77974683544305,60.6943868858498,360.0,3008.0,1.0,0.0
45000.0,1.111963476,8.960061288726205E-8,45000.0,81.00222222222222,62.01554693429932,56.77083333333333,61.637873008750276,1360.0,3016.0,0.0,0.0
46000.0,1.125965113,9.073292308107018E-8,46000.0,81.37826086956522,62.76743390746123,56.81153574669761,61.61154432195036,2360.0,3024.0,0.0,1.0
47000.0,1.138978801,9.178339880317449E-8,47000.0,81.73404255319149,63.44778808836505,56.77675964152653,61.550519527051236,3360.0,3024.0,0.0,2.0
48000.0,1.151813436,9.281942121815557E-8,48000.0,82.08958333333334,64.10223876149259,56.79465272891749,61.52779020853845,4360.0,3024.0,0.0,0.0
49000.0,1.164952957,9.388231135581723E-8,49000.0,82.42040816326531,64.68631558912233,56.81772608782833,61.49479236511554,5360.0,3024.0,0.0,2.0
50000.0,1.178286422,9.4960614179528E-8,50000.0,82.736,65.22359951611942,56.84,61.459123989820064,6360.0,3024.0,0.0,3.0
51000.0,1.191249496,9.600700429744397E-8,51000.0,83.04705882352941,65.7368906001869,56.86059275521404,61.432777232580946,7360.0,3024.0,0.0,1.0
52000.0,1.208925186,9.742403338319932E-8,52000.0,83.33461538461539,66.19136471432186,56.859816806053374,61.384903306300686,553.0,3024.0,1.0,1.0
53000.0,1.229064216,9.903854411906872E-8,53000.0,83.6188679245283,66.63042735109082,56.86177084368479,61.34633364498464,1553.0,3024.0,0.0,0.0
54000.0,1.246434931,1.0043094414097152E-7,54000.0,83.89629629629628,67.0485173783592,56.89073963910369,61.32360789895035,373.0,2984.0,3.0,0.0
55000.0,1.259847885,1.0151364894676538E-7,55000.0,84.15454545454546,67.4213140709569,56.890581717451525,61.282153805144624,1373.0,3024.0,0.0,1.0
56000.0,1.273688607,1.0263088354140105E-7,56000.0,84.42142857142856,67.80626486247917,56.93553164182051,61.27829560585886,2373.0,3024.0,0.0,0.0
57000.0,1.289150346,1.0387896797688263E-7,57000.0,84.66666666666667,68.14339849186865,56.94581280788178,61.24512238382406,3373.0,3024.0,0.0,0.0
58000.0,1.30209536,1.0492390027657357E-7,58000.0,84.91724137931035,68.48851227519526,56.97845972263206,61.23886747308256,4373.0,3024.0,0.0,0.0
59000.0,1.31484539,1.0595309330556747E-7,59000.0,85.15762711864406,68.80921850853824,56.99764289923394,61.22476089266736,5373.0,3024.0,0.0,0.0
60000.0,1.329552396,1.0713995068835093E-7,60000.0,85.13666666666667,68.62538918622147,56.48057778645327,60.63909608509513,305.0,3024.0,4.0,12.0
61000.0,1.343005387,1.0822819823222647E-7,61000.0,85.08360655737704,68.54282898602804,56.64872075849253,60.663179283213,923.0,3024.0,1.0,6.0
62000.0,1.356107428,1.0928800228277634E-7,62000.0,85.11612903225807,68.66723764317554,57.01509223029627,60.98097251585626,1923.0,3024.0,0.0,6.0
63000.0,1.372813695,1.1063948496159371E-7,63000.0,85.1936507936508,68.88577489675197,57.544035319284525,61.37793971513747,2923.0,3024.0,0.0,3.0
