learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.026102832,2.0111522527535754E-9,1000.0,69.1,34.79526980831074,31.78807947019866,17.379679144385012,1000.0,3024.0,0.0,0.0
2000.0,0.102981546,8.492442146949469E-9,2000.0,68.95,34.288912920640904,33.15392895586653,20.689655172413783,2000.0,3024.0,0.0,0.0
3000.0,0.137422608,1.1469997315381963E-8,3000.0,68.33333333333333,32.41692261287085,32.48045486851457,18.803418803418808,3000.0,3024.0,0.0,0.0
4000.0,0.184007342,1.55974928179673E-8,4000.0,67.525,31.033237838170752,31.55953635405691,18.198992443324947,4000.0,3024.0,0.0,0.0
5000.0,0.224789297,1.8918818247589385E-8,5000.0,67.88,32.46083611634498,32.83145127561688,21.620302586627623,401.0,3024.0,2.0,0.0
6000.0,0.247085735,2.0782423580187476E-8,6000.0,71.23333333333333,40.37617589511736,40.23545706371191,32.0472440944882,1401.0,3024.0,0.0,0.0
7000.0,0.271832992,2.2903885616105462E-8,7000.0,73.58571428571429,45.78709200838991,45.18233026978951,39.217619986850764,2401.0,3024.0,0.0,0.0
8000.0,0.299146116,2.530381281280683E-8,8000.0,75.1625,49.33127870435973,48.78865979381443,44.01239785855171,3401.0,3024.0,0.0,0.0
9000.0,0.329840685,2.7771212802639023E-8,9000.0,74.32222222222222,48.59090282175362,42.740336967294354,48.160610139075814,1.0,2256.0,5.0,0.0
10000.0,0.356448156,2.994944203459761E-8,10000.0,75.61,51.381688944710355,39.98523622047244,46.37203166226912,601.0,3008.0,1.0,0.0
11000.0,0.38455433,3.22081907666785E-8,11000.0,77.17272727272727,53.99014591891711,38.81578947368421,45.03064798598948,1.0,2176.0,3.0,0.0
12000.0,0.410449581,3.429011646926403E-8,12000.0,77.21666666666667,53.45669050568978,34.749403341288776,40.74555700043346,1.0,2304.0,3.0,0.0
13000.0,0.432022855,3.603782448659341E-8,13000.0,77.16923076923077,53.29656595885657,36.418166238217644,41.29746835443038,201.0,3024.0,2.0,0.0
14000.0,0.451917375,3.7692147095650436E-8,14000.0,77.85,54.871372079934325,40.18132716049382,44.49615178091998,1201.0,3024.0,0.0,0.0
15000.0,0.471812949,3.9389174503311516E-8,15000.0,78.48666666666666,56.274151970578224,43.09645565156058,46.95051783659379,2201.0,3024.0,0.0,0.0
16000.0,0.492130011,4.1165673457719384E-8,16000.0,78.99374999999999,57.402526197493906,45.650064683053024,48.9364934670313,3201.0,3024.0,0.0,0.0
17000.0,0.513331863,4.286955732048799E-8,17000.0,78.88823529411765,56.81334542868274,43.21202531645569,46.14345738295319,1.0,2176.0,3.0,0.0
18000.0,0.533123861,4.44981508590281E-8,18000.0,80.05,58.45138159858627,43.21631878557876,46.12961296129612,801.0,2976.0,1.0,0.0
19000.0,0.552630104,4.614509484839936E-8,19000.0,80.98421052631579,59.6181927092058,42.90455120101139,45.81583683263349,1801.0,2992.0,0.0,0.0
20000.0,0.572578136,4.787206932616731E-8,20000.0,81.78,60.50167297743852,42.432859399684034,45.359124306492724,2801.0,2992.0,0.0,0.0
