learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.04190744,3.722445454365677E-9,1000.0,64.8,27.15231788079472,26.666666666666668,15.180722891566278,1000.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.16113432,1.4838158065246211E-8,2000.0,66.25,29.153494464526357,29.319371727748695,15.94022415940223,2000.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.217784206,2.0119717493918206E-8,3000.0,65.93333333333334,28.23110987100795,29.565816678153002,15.257048092868992,3000.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.283460077,2.6319988286462092E-8,4000.0,66.57499999999999,29.912188411973737,30.79710144927535,16.69781931464173,4000.0,9096.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.325621149,3.0405176953640246E-8,5000.0,69.19999999999999,35.39713478741797,36.07305936073059,21.548650025471193,5000.0,17584.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
6000.0,0.359979175,3.373429103408422E-8,6000.0,71.15,39.921491862850246,40.392561983471076,26.559185405176084,6000.0,17584.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7000.0,0.399389231,3.755797747751904E-8,7000.0,72.58571428571429,43.23848826849881,43.508978510450405,30.996044588277595,7000.0,18080.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8000.0,0.426679893,4.0205802548403533E-8,8000.0,73.52499999999999,45.33262439538088,45.143745143745136,33.29133858267715,8000.0,18080.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.454002726,4.285697513992587E-8,9000.0,74.45555555555555,47.285924447591334,46.843930635838134,35.47572270558517,9000.0,18112.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.480284371,4.5407609341510876E-8,10000.0,74.83,48.15942264796808,47.801742015761086,36.66331152491191,10000.0,18184.0,0.0,0.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11000.0,0.521323436,4.9340594806015074E-8,11000.0,74.80909090909091,48.40601482174796,47.94288934811198,37.95342588446039,836.0,9104.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
12000.0,0.545865506,5.169258807337739E-8,12000.0,76.075,51.10014455349119,50.71244635193134,41.95309340881522,1836.0,9104.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
13000.0,0.594351739,5.64017905145718E-8,13000.0,76.8923076923077,52.844842675750655,52.69291338582678,44.626728110599075,2836.0,13544.0,0.0,9.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
14000.0,0.625598425,5.9474958423285017E-8,14000.0,77.72142857142858,54.59739579163423,54.61952568019788,47.072798235194306,3836.0,18104.0,0.0,2.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
15000.0,0.649370977,6.181352377465201E-8,15000.0,78.44666666666666,56.112543890171075,56.22799891686975,49.42115143929912,4836.0,18184.0,0.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
