learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.097314061,8.74405783161521E-9,1000.0,64.8,22.734835613972713,26.513569937369518,12.437810945273641,1000.0,4560.0,0.0,31.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.228869101,2.114064949795604E-8,2000.0,66.45,25.544380431598473,29.73821989528796,12.40208877284595,227.0,4560.0,1.0,35.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.319813755,2.9711416121903394E-8,3000.0,67.36666666666666,27.680761161835527,30.46875,15.16464471403813,253.0,4560.0,1.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.380360019,3.54264129608704E-8,4000.0,67.75,29.403420595813245,31.926121372031663,17.041800643086823,472.0,4560.0,1.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.445584806,4.157572885079102E-8,5000.0,68.30000000000001,31.02601950941005,33.347350714886474,18.592706728299955,504.0,4560.0,1.0,41.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.507284124,4.73995631229836E-8,6000.0,67.93333333333334,30.94338254674154,32.3725834797891,18.40542832909246,273.0,4560.0,3.0,42.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.558804623,5.225664167036198E-8,7000.0,67.47142857142858,30.12811992695695,31.353632800723545,17.139737991266372,338.0,4560.0,4.0,28.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.609016973,5.69895635314741E-8,8000.0,67.3625,29.488212973142602,31.50577124868836,16.608112424145656,491.0,4560.0,4.0,31.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.655517444,6.13722256947764E-8,9000.0,67.37777777777778,29.449834731485396,31.465919701213824,16.80362708982715,420.0,4560.0,2.0,26.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.710579514,6.656193118971255E-8,10000.0,67.67999999999999,30.237522672265506,31.97221637549988,17.466802860061264,1420.0,4560.0,0.0,44.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.758988487,7.112537105722767E-8,11000.0,67.58181818181819,29.983855911466307,31.42307692307694,17.22376973073354,549.0,4560.0,2.0,34.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.804737094,7.543754888172159E-8,12000.0,67.77499999999999,30.475949388936268,32.0506062203479,17.82830429239268,203.0,4560.0,2.0,37.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.854227312,8.011029067932525E-8,13000.0,67.74615384615385,30.49318685569535,32.185023451399005,17.897004112003128,865.0,4560.0,2.0,45.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.908781683,8.525191875961921E-8,14000.0,67.88571428571429,30.830416541904114,32.451923076923066,18.358452878155067,1865.0,4560.0,0.0,56.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.947755745,8.892449209616832E-8,15000.0,67.5,29.72076640491749,31.511660578814286,17.274732733751925,242.0,4560.0,3.0,28.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.99351143,9.32357272437898E-8,16000.0,67.3875,29.60278458897294,31.45934585577302,17.161454199079213,896.0,4560.0,1.0,44.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.036326164,9.726985734274612E-8,17000.0,67.21764705882353,29.183336262942593,31.138020511553187,16.696562032884902,233.0,4560.0,2.0,40.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.074129861,1.0083222399847169E-7,18000.0,67.09444444444445,28.859732831176586,30.78990418322038,16.30634449625548,588.0,4560.0,1.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,1.113198159,1.0451432415587414E-7,19000.0,67.0421052631579,28.74589651691653,30.66873339238263,16.21621621621621,521.0,4560.0,2.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,1.139386866,1.0698298512170299E-7,20000.0,67.04,28.89420839983546,30.566673688645462,16.366404465871607,528.0,4560.0,2.0,32.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,1.165192002,1.0941468792666578E-7,21000.0,67.0047619047619,29.01810253269208,30.592006410898513,16.55828516377649,42.0,4544.0,2.0,28.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,1.191660957,1.1188292393560417E-7,22000.0,66.85454545454546,28.856984374115836,30.41984732824427,16.308963617582933,96.0,4560.0,3.0,32.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,1.220260077,1.1457886006112107E-7,23000.0,66.94782608695652,29.110924184732244,30.657666697071967,16.562397102403676,1096.0,4560.0,0.0,43.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,1.244774208,1.16888653547561E-7,24000.0,66.81666666666666,28.828803065616203,30.293216630196945,16.247765275002646,115.0,4560.0,4.0,28.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,1.277707981,1.1999265653329176E-7,25000.0,66.696,28.405832571651413,29.974768713204377,15.898989898989901,192.0,4560.0,4.0,55.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,1.30157405,1.222423755800579E-7,26000.0,66.6923076923077,28.436544907488802,30.03716270803038,15.889665889665903,593.0,4560.0,2.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,1.325236596,1.244723709736785E-7,27000.0,66.69259259259259,28.403771414661925,30.048226509023017,15.898251192368848,545.0,4560.0,2.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,1.354455329,1.2722538541931037E-7,28000.0,66.74642857142857,28.572602748733427,30.1657541438536,16.200162001620015,154.0,4560.0,2.0,42.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,1.383582099,1.2997045840222594E-7,29000.0,66.68275862068965,28.3423610583116,29.97535874764458,16.011821974965233,297.0,4560.0,1.0,45.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,1.406998292,1.321775763393152E-7,30000.0,66.81666666666666,28.67753734514834,30.23337304646437,16.379672406551883,107.0,4552.0,2.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,1.435106007,1.3483155237543707E-7,31000.0,66.83870967741935,28.834027678712822,30.437136283664906,16.619352745559233,266.0,4560.0,2.0,42.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,1.461267015,1.3729803545731432E-7,32000.0,66.953125,29.087458608261578,30.610236220472437,16.784702549575066,551.0,4560.0,1.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,1.484643348,1.3950110606936119E-7,33000.0,66.91818181818182,29.063417365127986,30.61081802580563,16.778472328098797,235.0,4560.0,2.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,1.509801213,1.4187217886798706E-7,34000.0,67.03235294117647,29.411380493326035,30.731677172166588,17.197311073354495,665.0,4560.0,1.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,1.5346685,1.4421977671310307E-7,35000.0,66.89714285714285,29.18313621681989,30.468703114685237,16.886657101865122,131.0,4560.0,4.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,1.563252847,1.4691355118280692E-7,36000.0,66.94444444444444,29.16139242311641,30.498773507767773,16.818118272053674,196.0,4560.0,1.0,43.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,1.595474055,1.4995039502805513E-7,37000.0,66.92702702702704,29.029718031439018,30.459737455248064,16.755102040816347,197.0,4560.0,2.0,44.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,1.632211712,1.534126853920809E-7,38000.0,66.9,28.939177547532363,30.373650705784684,16.663353872656213,388.0,4560.0,1.0,57.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
