learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.054376023,5.079691869877279E-9,1000.0,68.5,28.1320727166533,30.15521064301553,15.322580645161304,1000.0,4560.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.171427837,1.6530174800323116E-8,2000.0,68.75,31.155117983604995,33.93234672304439,19.146183699870626,2000.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.231924932,2.244824586617657E-8,3000.0,69.3,33.50244522315067,37.21881390593046,21.949152542372865,3000.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.31703531,3.08741383658246E-8,4000.0,69.3,33.76474347996693,37.2829417773238,23.00940438871473,4000.0,9096.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.38392608,3.745504276826357E-8,5000.0,70.17999999999999,37.1164143450491,39.21728495719527,28.83054892601432,891.0,9080.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.441077629,4.314484030441485E-8,6000.0,72.85000000000001,43.498121806811454,44.42169907881271,36.54070899883132,1891.0,13592.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.487525635,4.782372999135612E-8,7000.0,74.95714285714286,48.31208699373561,48.757673194972234,42.712418300653596,2891.0,18120.0,0.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
8000.0,0.529432256,5.2045928739948824E-8,8000.0,76.25,51.34644550894723,51.518244450114814,47.06046252438005,3891.0,18192.0,0.0,0.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
9000.0,0.578226117,5.6836612256643264E-8,9000.0,77.78888888888889,55.591278029256884,50.73928043371117,55.44907510586137,965.0,4560.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.613724565,6.032192426550099E-8,10000.0,79.84,59.690375697295515,50.733137829912025,55.23978685612789,1965.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.646734727,6.356293114087027E-8,11000.0,81.52727272727273,62.462920126192564,50.70354196991751,55.044247787610615,2965.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.673568622,6.623519230531115E-8,12000.0,82.68333333333334,63.95127871331393,50.5708848715509,54.46976336546888,3965.0,9088.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
13000.0,0.706890422,6.954700187449448E-8,13000.0,82.3,63.09954450826778,51.00085178875637,53.906249999999986,931.0,9104.0,2.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
14000.0,0.733966743,7.226985471176812E-8,14000.0,82.51428571428572,63.83933344850895,52.886836027713635,55.73236889692586,1931.0,13616.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
15000.0,0.757618784,7.464845251822845E-8,15000.0,82.85333333333334,64.74587422556061,54.718309859154935,57.41016724623281,2931.0,13632.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
16000.0,0.782700625,7.717083999356669E-8,16000.0,82.9875,65.13597378486517,55.997413514387326,58.17455439459127,3931.0,13632.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
17000.0,0.809756459,7.982819038251829E-8,17000.0,83.40588235294118,65.52205080423624,55.39215686274509,57.18621945667021,924.0,4560.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.833559242,8.216603495471593E-8,18000.0,84.3,66.70699465307841,55.38364382696558,57.14285714285713,1924.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.85703553,8.447181207649823E-8,19000.0,85.12105263157895,67.73483952538325,55.381944444444464,57.134192570128896,2924.0,4560.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.883364182,8.708405926389412E-8,20000.0,85.85000000000001,68.5856034258787,55.37685272784613,57.10821461048804,3924.0,8400.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
