learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.054595716,4.4033958850552644E-9,1000.0,55.2,50.21303929391422,50.000000000000014,48.62385321100918,188.0,14952.0,3.0,18.0
2000.0,0.134474581,1.1098930321635887E-8,2000.0,54.7,49.64907181453964,49.88938053097346,48.52272727272728,459.0,15168.0,5.0,22.0
3000.0,0.181033792,1.491716399680409E-8,3000.0,56.8,51.98831122836325,52.2300036859565,50.741163055872285,60.0,14648.0,5.0,25.0
4000.0,0.243820697,2.0193805601056667E-8,4000.0,60.275,55.85347744158538,55.897862892034425,55.100310822266174,1060.0,14784.0,0.0,19.0
5000.0,0.276175536,2.293153715490881E-8,5000.0,63.339999999999996,59.26212937316485,59.28476232785428,58.7255122720108,2060.0,14784.0,0.0,11.0
6000.0,0.297543587,2.470755052956856E-8,6000.0,65.06666666666666,61.17627969477443,61.163609412636646,60.756412656805836,3060.0,14784.0,0.0,7.0
7000.0,0.328849693,2.7313132501881983E-8,7000.0,66.41428571428571,62.67532611801596,62.60537617305552,62.196494613281885,4060.0,14784.0,0.0,4.0
8000.0,0.373362654,3.106563074863826E-8,8000.0,67.45,63.826724174396034,63.81322957198443,63.34975369458127,5060.0,14784.0,0.0,2.0
9000.0,0.406454628,3.384320325783764E-8,9000.0,68.11111111111111,64.56183931599823,64.53287197231833,64.11602900725181,6060.0,14784.0,0.0,2.0
10000.0,0.43446861,3.616730525403594E-8,10000.0,68.60000000000001,65.10520342205048,65.14596514596516,64.69530020238363,7060.0,14784.0,0.0,14.0
11000.0,0.461415762,3.840998345791673E-8,11000.0,68.99090909090908,65.53910538668943,65.56979913192691,65.12983030055204,8060.0,14784.0,0.0,2.0
12000.0,0.484385184,4.032166240192329E-8,12000.0,69.38333333333333,65.97516010729215,66.04122377299196,65.61213028828153,9060.0,14784.0,0.0,2.0
13000.0,0.507229129,4.2264266470393374E-8,13000.0,69.87692307692308,66.5254787707076,66.59843056977141,66.16846652267819,10060.0,14784.0,0.0,6.0
