learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.056915077,4.254874279503193E-9,1000.0,60.5,56.06429517674945,56.111111111111114,54.701834862385326,1.0,3704.0,3.0,0.0
2000.0,0.13460294,1.070051381819985E-8,2000.0,58.15,53.45723236796479,53.57737104825291,52.19874357509995,201.0,15144.0,3.0,0.0
3000.0,0.173860737,1.3974733469602134E-8,3000.0,58.9,54.31514399251554,54.501845018450176,53.43655589123867,401.0,15168.0,2.0,0.0
4000.0,0.240449343,1.926989009157237E-8,4000.0,59.025000000000006,54.46201096065222,54.56057665650125,53.76586741889986,1.0,3472.0,4.0,0.0
5000.0,0.279225375,2.235578555062827E-8,5000.0,58.660000000000004,54.05546028293479,54.22940655447298,53.54012137559002,1.0,3712.0,3.0,0.0
6000.0,0.302149959,2.425666347414669E-8,6000.0,57.65,52.93109953951759,53.0921174081595,52.51354886937022,201.0,14952.0,3.0,0.0
7000.0,0.332491173,2.666947358191427E-8,7000.0,57.714285714285715,52.99660695390701,53.30493768733239,52.49558658321297,1.0,3480.0,4.0,0.0
8000.0,0.361824288,2.900217781445425E-8,8000.0,57.8375,53.135945771634084,53.49510547359713,52.778944421111575,1.0,3488.0,3.0,0.0
9000.0,0.391074346,3.1429130093892E-8,9000.0,57.42222222222222,52.67716636777959,53.010423053341505,52.37385036042754,201.0,15160.0,3.0,0.0
10000.0,0.420753806,3.3789561548305466E-8,10000.0,57.550000000000004,52.82296644230365,53.08873908719195,52.49552372426142,1.0,3512.0,4.0,0.0
11000.0,0.445007114,3.580182028412612E-8,11000.0,57.68181818181818,52.97128789898381,53.23018185471716,52.58225527146786,201.0,15144.0,2.0,0.0
12000.0,0.469286787,3.781631673178946E-8,12000.0,57.74166666666667,53.04041112930218,53.314306757503225,52.664986465042475,201.0,15152.0,3.0,0.0
13000.0,0.493535725,3.974615920935447E-8,13000.0,58.07692307692308,53.4126346512944,53.648579690423546,53.061751787098444,1.0,3720.0,3.0,0.0
14000.0,0.516869615,4.16798655611794E-8,14000.0,57.73571428571429,53.03387620619221,53.25116536304022,52.7093989769821,201.0,14768.0,3.0,0.0
15000.0,0.54058253,4.3572054644055245E-8,15000.0,57.63333333333334,52.92175490965351,53.113472037774834,52.59938837920489,1.0,4536.0,4.0,0.0
