learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.099003583,9.17780831815468E-9,1000.0,51.0,45.508026445288394,45.67627494456763,42.82380396732789,233.0,16568.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.23723961,2.2611355486679824E-8,2000.0,50.949999999999996,45.49751710911274,45.59068219633943,44.1025641025641,337.0,16744.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.317773994,3.0434719501504055E-8,3000.0,52.233333333333334,46.907841819207306,46.7088136853849,45.5960516324981,281.0,16752.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.384624958,3.673264536384286E-8,4000.0,54.074999999999996,48.96627537570002,48.74441964285714,48.063330506078586,1.0,5888.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.470722485,4.510106351851796E-8,5000.0,53.7,48.55553269134787,48.18710832587288,47.576992753623195,393.0,16960.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.579892363,5.569509872662317E-8,6000.0,52.75,47.50007129619947,47.17719396310788,46.44880997355496,49.0,16648.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.677110356,6.513533827358235E-8,7000.0,52.2,46.889327262695616,46.6432785839579,46.0583588586168,185.0,16744.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.746613244,7.188419110931041E-8,8000.0,52.175000000000004,46.8600667638121,46.69824463638897,46.07470049330515,193.0,16736.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.814656537,7.849328621888739E-8,9000.0,52.05555555555556,46.72764822574056,46.53035935563816,45.86626521139129,105.0,16896.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.874152114,8.427459803243063E-8,10000.0,52.629999999999995,47.3644454462645,47.18474746348534,46.583220568335584,465.0,16576.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.937156761,9.039167785346093E-8,11000.0,52.900000000000006,47.66570408085652,47.581950627276406,46.964888934384284,121.0,16736.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,1.002544656,9.673635649792436E-8,12000.0,53.05833333333333,47.842137821109084,47.74582560296846,47.11791212917761,97.0,16656.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,1.063003978,1.0261507127256443E-7,13000.0,53.47692307692308,48.306838571850705,48.20143884892086,47.57281553398058,393.0,16768.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,1.12800867,1.0892673775206424E-7,14000.0,53.08571428571428,47.872185492297234,47.8357556985148,47.15159317669777,49.0,16712.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,1.185464264,1.1451005789761329E-7,15000.0,53.026666666666664,47.80689398189043,47.79193835210433,47.1021021021021,217.0,16928.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,1.244291638,1.2006439045951598E-7,16000.0,53.0375,47.818559126508795,47.84117728724143,47.136625861826374,1.0,6504.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,1.29407833,1.2490010544348093E-7,17000.0,53.352941176470594,48.16915707824268,48.18009540612952,47.46256790777793,201.0,16552.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,1.332984122,1.2867526922048792E-7,18000.0,53.05,47.83197993459603,47.83655329917906,47.17464683085385,81.0,16664.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
