learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.024862539,1.8231252401011685E-9,1000.0,90.2,80.09424764380891,80.12170385395538,78.27050997782705,1000.0,1184.0,0.0,0.0
2000.0,0.128271355,9.83971698631222E-9,2000.0,90.8,81.42702992973564,81.50753768844223,80.25751072961373,2000.0,1184.0,0.0,0.0
3000.0,0.172693769,1.3283488718687247E-8,3000.0,91.16666666666666,82.21089686616418,82.2028206850235,81.20567375886523,3000.0,1184.0,0.0,0.0
4000.0,0.225929112,1.7430850303003356E-8,4000.0,89.325,78.54806038293972,78.56425702811245,77.52631578947367,231.0,1184.0,1.0,6.0
5000.0,0.259263004,2.001907360918406E-8,5000.0,87.5,74.97492687873834,74.88951386098836,74.35371358227329,1050.0,1184.0,1.0,0.0
6000.0,0.293049073,2.2642406378427728E-8,6000.0,88.23333333333333,76.46115596173459,76.38795986622073,76.11637347767252,2050.0,1184.0,0.0,0.0
7000.0,0.320341218,2.4761515835093126E-8,7000.0,88.77142857142857,77.54180298258898,77.42676622630671,77.3747841105354,3050.0,1184.0,0.0,0.0
8000.0,0.345696765,2.6730257369575815E-8,8000.0,88.325,76.6501400991594,76.5621079046424,76.50314465408805,163.0,1184.0,1.0,1.0
9000.0,0.370527446,2.866472057932367E-8,9000.0,86.92222222222222,73.8346915679978,73.76281765492644,73.46708746618576,1163.0,1184.0,0.0,5.0
10000.0,0.394486814,3.05313031319653E-8,10000.0,87.38,74.74598705329613,74.67389123018262,74.3443789388087,2163.0,1184.0,0.0,0.0
11000.0,0.417580485,3.2330442548541145E-8,11000.0,87.8,75.58398874660385,75.49306062819576,75.16654330125833,3163.0,1184.0,0.0,0.0
12000.0,0.440500674,3.411606664725062E-8,12000.0,87.64999999999999,75.28012590789311,75.22153486039123,74.8130523453433,4163.0,1184.0,0.0,2.0
13000.0,0.464335585,3.5966737794530476E-8,13000.0,86.86153846153846,73.71807744824737,73.6379070844266,73.43701399688956,1085.0,1184.0,1.0,0.0
14000.0,0.487622419,3.777485328509369E-8,14000.0,87.21428571428571,74.42642324812427,74.36264680607275,74.2260619150468,2085.0,1184.0,0.0,0.0
15000.0,0.510465579,3.954851953141184E-8,15000.0,87.52,75.03891369352394,74.94311337170392,74.88259761169999,3085.0,1184.0,0.0,0.0
16000.0,0.533564886,4.1348098027151494E-8,16000.0,87.48125,74.96244836004973,74.88716148445336,74.87140885710701,4085.0,1184.0,0.0,2.0
17000.0,0.557574909,4.321236581533941E-8,17000.0,86.68235294117646,73.36113977777066,73.27667610953729,73.121215718865,1104.0,1184.0,1.0,0.0
18000.0,0.584842176,4.532954360979713E-8,18000.0,86.96111111111111,73.91717374629623,73.85832033860548,73.65289627301303,2104.0,1184.0,0.0,0.0
19000.0,0.618567557,4.794816423513617E-8,19000.0,87.22105263157894,74.43598689547858,74.35301573888242,74.1564662054284,3104.0,1184.0,0.0,0.0
20000.0,0.646286145,5.0100385028196296E-8,20000.0,87.45,74.89181071298215,74.80425617345917,74.56167021384414,4104.0,1184.0,0.0,0.0
